MSE, Q-LIKE
449003.86054,   6.50817
41062.56593,   5.31399
 193.69251,   2.67003
 224.76351,   2.74179
9138.73607,   4.56557
1552.13573,   3.68682
 241.81566,   2.77707
 691.74381,   3.28921
 614.77059,   3.23129
 540.61576,   3.16836
 714.57481,   3.30496
 180.16051,   2.63484
93381.01354,   5.72391
 509.09170,   3.13903
3788.47988,   4.12831
54156.68768,   5.45206
22959.51686,   5.02419
151282.76978,   5.96480
21705.70315,   4.99623
1774.86306,   3.75317
36948.89504,   5.26139
14235.89651,   4.78620
36358.01811,   5.25336
86488.64690,   5.68569
236018.99907,   6.18693
83955.30107,   5.67085
110309.49138,   5.80712
104416.66899,   5.77972
153035.78862,   5.97058
55417.48426,   5.46360
30900.41765,   5.17231
223243.00364,   6.15914
41289.54787,   5.31682
14063.61308,   4.78019
8659.78524,   4.53898
425830.20082,   6.48172
31382.82257,   5.18004
14555.20359,   4.79728
26728.93484,   5.10002
69930.43132,   5.57965
15558.10963,   4.83046
21287.41924,   4.98660
15531.50887,   4.82960
113090.97868,   5.81956
15368.48192,   4.82435
42564.68597,   5.33198
11727.04482,   4.68977
7002.28896,   4.43338
4532.63460,   4.21745
35712.64033,   5.24446
12645.19121,   4.72727
4312.60457,   4.19278
15121.96431,   4.81631
45525.06018,   5.36552
9099.60380,   4.56362
7430.96691,   4.46294
10904.79546,   4.65363
23375.74144,   5.03325
21461.99716,   4.99069
12596.28958,   4.72537
12958.66934,   4.73949
12855.65810,   4.73551
21943.87089,   5.00167
43337.14449,   5.34091
10930.98272,   4.65467
15330.14037,   4.82300
15932.61930,   4.84216
15722.99914,   4.83558
45104.78003,   5.36081
 429.81715,   3.05648
18304.15629,   4.91127
10070.43870,   4.61384
24083.97458,   5.04791
36629.80265,   5.25690
13335.15066,   4.75337
29028.49384,   5.14091
4718.99787,   4.23684
47579.61991,   5.38733
46268.95172,   5.37339
2723.62796,   3.96422
19390.38841,   4.93978
9954.90983,   4.60781
10675.92987,   4.64255
9055.10599,   4.56062
6382.42888,   4.38668
10984.66755,   4.65670
 617.23949,   3.23180
  42.00132,   1.94082
1163.17859,   3.54339
25061.90615,   5.06756
 478.68751,   3.10692
12761.93969,   4.73125
1393.31006,   3.63219
 416.21203,   3.03834
 253.16304,   2.79585
1660.01374,   3.71862
 975.57903,   3.45612
   1.96197,   0.62948
1134.10049,   3.53036
 316.51286,   2.90421
5955.72608,   4.35192
3981.46442,   4.15188
 759.21742,   3.33223
 149.38974,   2.53907
 477.20349,   3.10410
4447.29252,   4.20666
2048.36371,   3.82216
 365.54429,   2.97344
 197.27779,   2.67287
1277.61593,   3.58846
2301.26138,   3.87963
 299.81221,   2.87630
1334.41974,   3.60975
 395.52929,   3.01092
1808.05012,   3.75930
3670.06409,   4.11052
 212.56768,   2.70658
 622.85606,   3.23295
 910.49052,   3.42010
 267.89714,   2.81896
14527.84568,   4.79507
21357.65787,   4.98719
11983.45545,   4.69913
4728.89231,   4.23627
5204.94250,   4.28397
7119.50299,   4.43982
7275.19733,   4.45058
4745.40318,   4.23795
13899.55707,   4.77302
20543.43770,   4.96779
1466.28517,   3.65510
12455.11557,   4.71832
11367.14241,   4.67277
2859.24572,   3.98619
2740.50270,   3.96516
2875.00649,   3.98894
27416.00904,   5.11171
17596.82249,   4.89056
39665.24178,   5.29599
24816.76732,   5.06201
84774.57919,   5.67517
127081.58244,   5.87734
88608.66552,   5.69726
102797.14960,   5.77143
8304.88229,   4.51645
43314.20973,   5.33995
63721.22597,   5.53264
98414.20761,   5.74968
77997.22368,   5.63358
57425.38899,   5.48071
87384.56469,   5.69033
27098.26941,   5.10593
129756.07206,   5.88778
174013.27246,   6.03439
1279138.86002,   7.03120
486063.49255,   6.54762
40143.30378,   5.30223
168040.36340,   6.01702
100407.10252,   5.75990
3299499.64932,   7.50489
2737627.23091,   7.41158
3520725.36282,   7.53734
892369.93496,   6.85131
423223.41423,   6.47858
4217483.79615,   7.62762
10502074.98197,   8.08370
13976196.64338,   8.22658
25494698.59380,   8.52711
65676548.67826,   9.00021
257842052.10472,   9.68397
153409215.43916,   9.42437
112493824.93733,   9.26927
6171131.02696,   7.81799
8329698.97881,   7.96792
4552852.49737,   7.66598
57144474.26584,   8.93064
4882239.85317,   7.70089
13550177.98455,   8.21116
2541755.59610,   7.37466
16361936.24837,   8.30542
3003668.15267,   7.45811
8367525.73294,   7.97020
524830.87518,   6.58648
1241956.98990,   7.01680
5481069.51773,   7.75874
3690150.60137,   7.56100
2621410.32145,   7.39009
429427.92334,   6.48630
24330.76263,   5.05478
1263614.90614,   7.02544
1627894.88990,   7.15202
986400.81381,   6.90170
166904.57026,   6.01452
448091.15992,   6.50756
1672397.83423,   7.16550
2291860.47566,   7.32296
751400.60912,   6.76576
51635.16593,   5.42948
425184.52760,   6.48136
796611.81454,   6.79496
1001963.27043,   6.90954
3044.99344,   4.02508
