MSE, Q-LIKE
   0.00001,  -0.31115
   0.00001,  -0.31192
   0.00001,  -0.33473
   0.00001,  -0.33479
   0.00003,  -0.34127
   0.00003,  -0.34331
   0.00006,  -0.34958
   0.00005,  -0.34747
   0.00006,  -0.35041
   0.00005,  -0.34856
   0.00005,  -0.34881
   0.00005,  -0.34798
   0.00018,  -0.37096
   0.00034,  -0.39011
   0.00034,  -0.39066
   0.00041,  -0.39694
   0.00040,  -0.39623
   0.00047,  -0.40220
   0.00047,  -0.40276
   0.00047,  -0.40274
   0.00048,  -0.40361
   0.00048,  -0.40362
   0.00061,  -0.41359
   0.00061,  -0.41366
   0.00065,  -0.41683
   0.00072,  -0.42221
   0.00072,  -0.42210
   0.00074,  -0.42301
   0.00078,  -0.42626
   0.00079,  -0.42676
   0.00095,  -0.43689
   0.00107,  -0.44393
   0.00109,  -0.44510
   0.00108,  -0.44443
   0.00122,  -0.45204
   0.00122,  -0.45223
   0.00140,  -0.46182
   0.00139,  -0.46111
   0.00139,  -0.46125
   0.00141,  -0.46195
   0.00160,  -0.47129
   0.00158,  -0.47053
   0.00191,  -0.48534
   0.00203,  -0.49040
   0.00205,  -0.49088
   0.00203,  -0.49031
   0.00202,  -0.48994
   0.00225,  -0.49916
   0.00246,  -0.50739
   0.00248,  -0.50794
   0.00247,  -0.50768
   0.00257,  -0.51154
   0.00287,  -0.52208
   0.00340,  -0.53982
   0.00467,  -0.57746
   0.00467,  -0.57764
   0.00467,  -0.57748
   0.00470,  -0.57839
   0.00462,  -0.57619
   0.00510,  -0.58903
   0.00583,  -0.60753
   0.00578,  -0.60634
   0.00571,  -0.60470
   0.00573,  -0.60510
   0.00574,  -0.60536
   0.00574,  -0.60527
   0.00574,  -0.60531
   0.00602,  -0.61218
   0.00591,  -0.60957
   0.00592,  -0.60969
   0.00597,  -0.61109
   0.00614,  -0.61498
   0.00615,  -0.61541
   0.00611,  -0.61442
   0.00599,  -0.61150
   0.00605,  -0.61300
   0.00619,  -0.61623
   0.00631,  -0.61910
   0.00637,  -0.62047
   0.00630,  -0.61885
   0.00620,  -0.61659
   0.00626,  -0.61787
   0.00619,  -0.61627
   0.00623,  -0.61716
   0.00600,  -0.61167
   0.00576,  -0.60580
   0.00583,  -0.60751
   0.00581,  -0.60702
   0.00579,  -0.60660
   0.00581,  -0.60699
   0.00581,  -0.60706
   0.00571,  -0.60454
   0.00539,  -0.59653
   0.00468,  -0.57769
   0.00457,  -0.57464
   0.00454,  -0.57381
   0.00290,  -0.52308
   0.00277,  -0.51870
   0.00190,  -0.48485
   0.00144,  -0.46353
   0.00126,  -0.45421
   0.00115,  -0.44827
   0.00104,  -0.44243
   0.00047,  -0.40221
   0.00019,  -0.37335
   0.00009,  -0.35679
   0.00009,  -0.28562
   0.00156,  -0.17333
   0.00624,  -0.02534
   0.00766,   0.00667
   0.00814,   0.01685
   0.00820,   0.01810
   0.00847,   0.02354
   0.00830,   0.02021
   0.01028,   0.05862
   0.01031,   0.05918
   0.01127,   0.07663
   0.01181,   0.08595
   0.01311,   0.10788
   0.01318,   0.10901
   0.01360,   0.11584
   0.01371,   0.11755
   0.01373,   0.11788
   0.01528,   0.14201
   0.01533,   0.14272
   0.01534,   0.14286
   0.01532,   0.14268
   0.01532,   0.14268
   0.01603,   0.15318
   0.01607,   0.15386
   0.01632,   0.15756
   0.01633,   0.15759
   0.01643,   0.15916
   0.01705,   0.16817
   0.01735,   0.17234
   0.01740,   0.17310
   0.01717,   0.16980
   0.01717,   0.16979
   0.01739,   0.17292
   0.01799,   0.18138
   0.01784,   0.17938
   0.01803,   0.18196
