MSE, Q-LIKE
   0.00000,  -0.31812
   0.00000,  -0.31816
   0.00000,  -0.31838
   0.00000,  -0.31812
   0.00000,  -0.31872
   0.00000,  -0.31713
   0.00000,  -0.31747
   0.00000,  -0.31913
   0.00000,  -0.31803
   0.00000,  -0.31681
   0.00000,  -0.31687
   0.00000,  -0.31569
   0.00000,  -0.31524
   0.00000,  -0.31368
   0.00000,  -0.31200
   0.00000,  -0.31126
   0.00000,  -0.31016
   0.00000,  -0.31296
   0.00000,  -0.31236
   0.00000,  -0.31121
   0.00000,  -0.31196
   0.00004,  -0.33455
   0.00000,  -0.33487
   0.00000,  -0.34146
   0.00000,  -0.34356
   0.00000,  -0.34997
   0.00000,  -0.34781
   0.00000,  -0.35084
   0.00000,  -0.34894
   0.00000,  -0.34919
   0.00000,  -0.34834
   0.00004,  -0.37193
   0.00004,  -0.39226
   0.00001,  -0.39313
   0.00000,  -0.39991
   0.00000,  -0.39918
   0.00000,  -0.40563
   0.00000,  -0.40627
   0.00000,  -0.40624
   0.00000,  -0.40719
   0.00000,  -0.40720
   0.00001,  -0.41805
   0.00000,  -0.41820
   0.00000,  -0.42169
   0.00000,  -0.42765
   0.00000,  -0.42755
   0.00000,  -0.42856
   0.00000,  -0.43217
   0.00000,  -0.43273
   0.00001,  -0.44407
   0.00000,  -0.45208
   0.00000,  -0.45345
   0.00000,  -0.45269
   0.00000,  -0.46137
   0.00000,  -0.46162
   0.00001,  -0.47266
   0.00000,  -0.47189
   0.00000,  -0.47206
   0.00000,  -0.47287
   0.00001,  -0.48373
   0.00000,  -0.48290
   0.00002,  -0.50031
   0.00000,  -0.50650
   0.00000,  -0.50711
   0.00000,  -0.50643
   0.00000,  -0.50598
   0.00001,  -0.51707
   0.00000,  -0.52714
   0.00000,  -0.52787
   0.00000,  -0.52755
   0.00000,  -0.53230
   0.00001,  -0.54531
   0.00002,  -0.56760
   0.00012,  -0.61579
   0.00002,  -0.61715
   0.00001,  -0.61716
   0.00000,  -0.61843
   0.00000,  -0.61550
   0.00001,  -0.63273
   0.00003,  -0.65811
   0.00000,  -0.65679
   0.00000,  -0.65451
   0.00000,  -0.65508
   0.00000,  -0.65544
   0.00000,  -0.65531
   0.00000,  -0.65537
   0.00000,  -0.66496
   0.00000,  -0.66132
   0.00000,  -0.66150
   0.00000,  -0.66347
   0.00000,  -0.66894
   0.00000,  -0.66957
   0.00000,  -0.66817
   0.00000,  -0.66404
   0.00000,  -0.66616
   0.00000,  -0.67072
   0.00000,  -0.67480
   0.00000,  -0.67676
   0.00000,  -0.67446
   0.00000,  -0.67124
   0.00000,  -0.67305
   0.00000,  -0.67080
   0.00000,  -0.67205
   0.00000,  -0.66426
   0.00000,  -0.65602
   0.00000,  -0.65845
   0.00000,  -0.65776
   0.00000,  -0.65718
   0.00000,  -0.65771
   0.00000,  -0.65781
   0.00000,  -0.65429
   0.00000,  -0.64312
   0.00003,  -0.61718
   0.00000,  -0.61338
   0.00000,  -0.61231
   0.00018,  -0.54445
   0.00008,  -0.54028
   0.00021,  -0.49758
   0.00020,  -0.47260
   0.00014,  -0.46245
   0.00007,  -0.45644
   0.00003,  -0.45012
   0.00018,  -0.40402
   0.00017,  -0.37333
   0.00010,  -0.35662
   0.00048,  -0.28273
   0.00171,  -0.17227
   0.00485,  -0.03476
   0.00433,  -0.01503
   0.00330,  -0.01370
   0.00211,  -0.01915
   0.00127,  -0.01939
   0.00050,  -0.02539
   0.00043,   0.00242
   0.00003,   0.00124
   0.00000,   0.01369
   0.00000,   0.02032
   0.00002,   0.03585
   0.00000,   0.03658
   0.00000,   0.04134
   0.00000,   0.04252
   0.00000,   0.04276
   0.00003,   0.05950
   0.00000,   0.05987
   0.00000,   0.05997
   0.00000,   0.05984
   0.00000,   0.05984
   0.00001,   0.06700
   0.00000,   0.06745
   0.00000,   0.06996
   0.00000,   0.06997
   0.00000,   0.07104
   0.00001,   0.07713
   0.00000,   0.07990
   0.00000,   0.08040
   0.00000,   0.07820
   0.00000,   0.07819
   0.00000,   0.08029
   0.00001,   0.08594
   0.00000,   0.08460
   0.00000,   0.08632
   0.35946,   1.58204
   0.32633,   1.48549
   0.30136,   1.42091
   0.27600,   1.36166
   0.24986,   1.30658
   0.22326,   1.25614
   0.19640,   1.21039
   0.16943,   1.16920
   0.14265,   1.13261
   0.11666,   1.10085
   0.09180,   1.07374
   0.06855,   1.05111
   0.04769,   1.03301
   0.02988,   1.01920
   0.01585,   1.00947
   0.00615,   1.00343
   0.00115,   1.00060
   0.00000,   1.00000
   0.00005,   1.00002
   0.00001,   1.00000
