MSE, Q-LIKE
   0.00000,  -0.31810
   0.00000,  -0.31816
   0.00000,  -0.31838
   0.00000,  -0.31812
   0.00000,  -0.31871
   0.00000,  -0.31713
   0.00000,  -0.31747
   0.00000,  -0.31913
   0.00000,  -0.31803
   0.00000,  -0.31681
   0.00000,  -0.31686
   0.00000,  -0.31567
   0.00000,  -0.31524
   0.00000,  -0.31367
   0.00000,  -0.31200
   0.00000,  -0.31125
   0.00000,  -0.31015
   0.00000,  -0.31296
   0.00000,  -0.31235
   0.00000,  -0.31121
   0.00000,  -0.31196
   0.00004,  -0.33452
   0.00000,  -0.33488
   0.00000,  -0.34146
   0.00000,  -0.34356
   0.00000,  -0.34996
   0.00000,  -0.34780
   0.00000,  -0.35084
   0.00000,  -0.34893
   0.00000,  -0.34918
   0.00000,  -0.34834
   0.00003,  -0.37200
   0.00003,  -0.39235
   0.00001,  -0.39313
   0.00001,  -0.39989
   0.00000,  -0.39918
   0.00001,  -0.40561
   0.00000,  -0.40626
   0.00000,  -0.40623
   0.00000,  -0.40718
   0.00000,  -0.40720
   0.00001,  -0.41805
   0.00000,  -0.41820
   0.00000,  -0.42169
   0.00000,  -0.42766
   0.00000,  -0.42754
   0.00000,  -0.42855
   0.00000,  -0.43216
   0.00000,  -0.43273
   0.00001,  -0.44404
   0.00000,  -0.45207
   0.00000,  -0.45344
   0.00000,  -0.45268
   0.00000,  -0.46138
   0.00000,  -0.46161
   0.00001,  -0.47266
   0.00000,  -0.47189
   0.00000,  -0.47205
   0.00000,  -0.47287
   0.00001,  -0.48373
   0.00000,  -0.48290
   0.00001,  -0.50037
   0.00000,  -0.50651
   0.00000,  -0.50711
   0.00000,  -0.50643
   0.00000,  -0.50598
   0.00001,  -0.51705
   0.00000,  -0.52716
   0.00000,  -0.52787
   0.00000,  -0.52753
   0.00000,  -0.53230
   0.00001,  -0.54533
   0.00002,  -0.56768
   0.00013,  -0.61572
   0.00004,  -0.61697
   0.00001,  -0.61707
   0.00000,  -0.61843
   0.00000,  -0.61549
   0.00002,  -0.63263
   0.00003,  -0.65808
   0.00000,  -0.65678
   0.00000,  -0.65451
   0.00001,  -0.65497
   0.00000,  -0.65544
   0.00000,  -0.65531
   0.00000,  -0.65537
   0.00001,  -0.66494
   0.00000,  -0.66132
   0.00000,  -0.66150
   0.00000,  -0.66347
   0.00000,  -0.66894
   0.00000,  -0.66957
   0.00000,  -0.66817
   0.00000,  -0.66405
   0.00000,  -0.66616
   0.00000,  -0.67071
   0.00000,  -0.67481
   0.00000,  -0.67676
   0.00000,  -0.67446
   0.00000,  -0.67125
   0.00000,  -0.67303
   0.00000,  -0.67079
   0.00000,  -0.67205
   0.00000,  -0.66426
   0.00000,  -0.65603
   0.00000,  -0.65844
   0.00000,  -0.65776
   0.00000,  -0.65717
   0.00000,  -0.65771
   0.00000,  -0.65779
   0.00000,  -0.65428
   0.00000,  -0.64311
   0.00003,  -0.61714
   0.00001,  -0.61336
   0.00000,  -0.61231
   0.00016,  -0.54473
   0.00012,  -0.53975
   0.00025,  -0.49712
   0.00027,  -0.47184
   0.00026,  -0.46126
   0.00011,  -0.45601
   0.00007,  -0.44971
   0.00026,  -0.40330
   0.00016,  -0.37344
   0.00004,  -0.35713
   0.00033,  -0.28385
   0.00120,  -0.17582
   0.00209,  -0.05153
   0.00082,  -0.03398
   0.00013,  -0.02949
   0.00065,  -0.02629
   0.00984,   0.00247
   0.00007,  -0.02726
   0.00137,   0.00516
   0.00022,   0.00190
   0.00188,   0.01950
   0.00003,   0.02044
   0.00002,   0.03586
   0.00026,   0.03750
   0.00002,   0.04140
   0.00004,   0.04266
   0.00011,   0.04316
   0.00001,   0.05941
   0.00005,   0.06002
   0.00003,   0.06007
   0.00000,   0.05984
   0.00003,   0.05993
   0.00001,   0.06700
   0.00004,   0.06760
   0.00000,   0.06996
   0.00002,   0.07005
   0.00000,   0.07104
   0.00001,   0.07714
   0.00000,   0.07990
   0.00001,   0.08043
   0.00002,   0.07825
   0.00000,   0.07819
   0.00001,   0.08032
   0.00003,   0.08601
   0.00000,   0.08460
   0.00000,   0.08632
