MSE, Q-LIKE
36067.27352,   5.24929
6968.02574,   4.43074
39482.39522,   5.29441
11183.84740,   4.66600
7035.80663,   4.43555
33092.83862,   5.20638
3198.13107,   4.04429
6540.19862,   4.39925
2523.09308,   3.92685
7177.09719,   4.44539
1284.46786,   3.59332
2719.60436,   3.96395
2785.64010,   3.97591
2644.67703,   3.95024
139066.91665,   5.92276
95633.90693,   5.73584
255378.18327,   6.22629
65569.35995,   5.54749
6634.35975,   4.40647
35191.32937,   5.23708
9598.55690,   4.59007
155040.43580,   5.97707
352599.96348,   6.38744
489325.40281,   6.55115
87114.71141,   5.68930
13208.10773,   4.74892
19759.00019,   4.94947
172970.86440,   6.03172
21169.32796,   4.98384
338745.01421,   6.36743
342074.31129,   6.37231
79839.97315,   5.64580
169854.84411,   6.02266
117595.45810,   5.83908
80542.00622,   5.65017
14158.71561,   4.78359
83639.38278,   5.66900
412451.55739,   6.46578
47023.92678,   5.38169
33211.37741,   5.20829
114874.52498,   5.82739
 207.40281,   2.70429
37576.89859,   5.26985
59972.76335,   5.50302
3094.70220,   4.02839
  19.49926,   1.60211
40893.21084,   5.31202
11213.30103,   4.66750
14020.39630,   4.77867
6140.12133,   4.36815
24192.96967,   5.05040
291369.27447,   6.29218
12390.48566,   4.71721
21795.49375,   4.99841
13417.17803,   4.75684
29785.55588,   5.15405
6870.37626,   4.42404
260974.44362,   6.23715
25519.29366,   5.07698
 793.94010,   3.35761
5640.83501,   4.32610
161571.53289,   5.99770
4902.80438,   4.25624
11302.48966,   4.67131
236309.13906,   6.18752
59555.11603,   5.49947
24760.43697,   5.06179
 452.11666,   3.08109
 414.18293,   3.03831
 265.11572,   2.82138
19784.83493,   4.95003
4565.72586,   4.22082
 339.11772,   2.94100
11931.74010,   4.69821
69899.75255,   5.57937
6493.52543,   4.39569
1760.70122,   3.74894
1102.36852,   3.51801
47378.36861,   5.38531
6880.53729,   4.42439
4035.53383,   4.15949
126519.91483,   5.87552
2081.38297,   3.83155
3522.12009,   4.09199
 283.29713,   2.85319
 579.09490,   3.20175
2074.37557,   3.82986
1086.69317,   3.51087
1460.65712,   3.65663
6477.99429,   4.39442
677529.83549,   6.71372
17917.23416,   4.90054
4372.75249,   4.19920
1393.09040,   3.63311
33984.23904,   5.21956
2421.04978,   3.90619
3150.12343,   4.03647
 854.20780,   3.39207
1062.73129,   3.49954
3730.75269,   4.12026
 977.19876,   3.45804
1203.86282,   3.56080
47128.44238,   5.38257
8730.46160,   4.54252
11493.97212,   4.67934
1796.95878,   3.75840
5500.41338,   4.31284
2987.85554,   4.01004
 832.04260,   3.37852
16406.66604,   4.85647
6588.30953,   4.40238
2679.90871,   3.95590
4863.10178,   4.25122
7646.83224,   4.47601
5277.65395,   4.29132
2235.11113,   3.86478
 336.80577,   2.93221
4255.13803,   4.18429
6442.10174,   4.39047
 392.76454,   3.00732
1025.00365,   3.47900
 127.20665,   2.45877
11197.99527,   4.66561
 179.58349,   2.62552
 185.50544,   2.64128
 674.11976,   3.27240
3301.92198,   4.05825
5999.26919,   4.35495
 209.47140,   2.70018
 539.35483,   3.16259
 800.06352,   3.35661
 642.98757,   3.24896
 285.22439,   2.85050
 466.00465,   3.09083
5504.14666,   4.31213
24797.99353,   5.06185
1598.29303,   3.69854
 760.43717,   3.33173
   0.29795,  -0.01170
43291.58328,   5.33985
333734.19811,   6.35977
110665.39367,   5.80839
32045.55122,   5.18979
4221.04623,   4.18033
17045.94160,   4.87503
22075.11500,   5.00391
8049.15967,   4.50134
356077.07887,   6.39215
3816.41289,   4.13031
11077.26243,   4.66031
40371.98070,   5.30503
5905.22181,   4.34725
7165.92142,   4.44352
156143.69167,   5.98036
772374.52285,   6.77911
346268.36350,   6.37823
231056.84409,   6.17613
859398.10633,   6.83247
19937.73523,   4.95335
1455863.20040,   7.09593
656632.97964,   6.69800
711818.78061,   6.73833
558458.73290,   6.61708
814925.01049,   6.80595
1660045.60219,   7.16155
2097538.92471,   7.27848
2798536.46944,   7.42263
66916253.83748,   9.00954
11549559.68976,   8.13126
39638241.71687,   8.74775
56769221.24004,   8.92733
5959228.78620,   7.80048
1337933.47775,   7.05385
21608455.72317,   8.44443
5578967.33405,   7.76755
108384611.53325,   9.25067
137838607.88264,   9.37086
25557310.89970,   8.52836
5936249.98878,   7.79859
2498494.32060,   7.36606
12059031.26663,   8.15287
27396884.80417,   8.56311
65237983.32741,   8.99687
9160009.80494,   8.01542
4184048.21083,   7.62376
7489590.84790,   7.91478
282057.85774,   6.27633
599980.92051,   6.65329
508504.41947,   6.57066
570469.70590,   6.62810
3010603.09086,   7.45926
4440538.10995,   7.65350
488918.98012,   6.55105
2055267.05711,   7.26848
507048.33814,   6.56925
1746310.37497,   7.18708
3635967.66693,   7.55359
116009.02515,   5.83294
153952.60610,   5.97414
688540.75644,   6.72208
34183.19393,   5.22385
56446.10905,   5.47372
