MSE, Q-LIKE
   0.00000,  -0.30495
   0.00000,  -0.30483
   0.00008,  -0.33975
   0.00008,  -0.33942
   0.00009,  -0.34160
   0.00009,  -0.34283
   0.00013,  -0.34974
   0.00014,  -0.35097
   0.00015,  -0.35209
   0.00016,  -0.35445
   0.00011,  -0.34572
   0.00012,  -0.34843
   0.00014,  -0.35033
   0.00014,  -0.35144
   0.00014,  -0.35066
   0.00013,  -0.35006
   0.00018,  -0.35641
   0.00018,  -0.35653
   0.00020,  -0.35979
   0.00020,  -0.35988
   0.00021,  -0.36068
   0.00021,  -0.36126
   0.00023,  -0.36310
   0.00023,  -0.36313
   0.00025,  -0.36545
   0.00024,  -0.36500
   0.00024,  -0.36500
   0.00022,  -0.36255
   0.00023,  -0.36278
   0.00022,  -0.36257
   0.00028,  -0.36928
   0.00030,  -0.37154
   0.00031,  -0.37250
   0.00032,  -0.37356
   0.00034,  -0.37531
   0.00034,  -0.37557
   0.00043,  -0.38391
   0.00043,  -0.38411
   0.00043,  -0.38407
   0.00053,  -0.39255
   0.00057,  -0.39549
   0.00056,  -0.39463
   0.00065,  -0.40153
   0.00067,  -0.40266
   0.00069,  -0.40401
   0.00069,  -0.40448
   0.00074,  -0.40753
   0.00073,  -0.40721
   0.00090,  -0.41807
   0.00093,  -0.41965
   0.00106,  -0.42776
   0.00111,  -0.43037
   0.00187,  -0.46704
   0.00270,  -0.49929
   0.00395,  -0.53959
   0.00396,  -0.53966
   0.00394,  -0.53925
   0.00397,  -0.53994
   0.00395,  -0.53949
   0.00406,  -0.54264
   0.00424,  -0.54798
   0.00430,  -0.54948
   0.00434,  -0.55069
   0.00434,  -0.55074
   0.00433,  -0.55041
   0.00430,  -0.54961
   0.00429,  -0.54927
   0.00445,  -0.55363
   0.00444,  -0.55358
   0.00451,  -0.55540
   0.00459,  -0.55757
   0.00459,  -0.55760
   0.00452,  -0.55565
   0.00448,  -0.55464
   0.00437,  -0.55149
   0.00438,  -0.55167
   0.00436,  -0.55131
   0.00431,  -0.54990
   0.00420,  -0.54662
   0.00393,  -0.53900
   0.00382,  -0.53560
   0.00382,  -0.53569
   0.00382,  -0.53564
   0.00380,  -0.53510
   0.00380,  -0.53489
   0.00386,  -0.53691
   0.00366,  -0.53083
   0.00368,  -0.53124
   0.00370,  -0.53199
   0.00364,  -0.53028
   0.00367,  -0.53110
   0.00367,  -0.53115
   0.00355,  -0.52751
   0.00303,  -0.51067
   0.00278,  -0.50188
   0.00276,  -0.50143
   0.00242,  -0.48908
   0.00240,  -0.48813
   0.00219,  -0.48029
   0.00218,  -0.47984
   0.00199,  -0.47216
   0.00176,  -0.46219
   0.00165,  -0.45713
   0.00125,  -0.43792
   0.00094,  -0.42062
   0.00065,  -0.40166
   0.00002,  -0.29253
   0.00002,  -0.29098
   0.00094,  -0.19375
   0.00115,  -0.18199
   0.00122,  -0.17813
   0.00134,  -0.17176
   0.00152,  -0.16316
   0.00157,  -0.16068
   0.00500,  -0.04582
   0.00670,  -0.00469
   0.00770,   0.01720
   0.00771,   0.01739
   0.00787,   0.02072
   0.00808,   0.02506
   0.00853,   0.03412
   0.00856,   0.03480
   0.00860,   0.03561
   0.00992,   0.06091
   0.00991,   0.06076
   0.00995,   0.06151
   0.01002,   0.06275
   0.01022,   0.06646
   0.01050,   0.07151
   0.01071,   0.07524
   0.01073,   0.07570
   0.01117,   0.08344
   0.01131,   0.08583
   0.01146,   0.08848
   0.01194,   0.09672
   0.01199,   0.09742
   0.01200,   0.09764
   0.01201,   0.09790
   0.01203,   0.09810
   0.01204,   0.09832
   0.01193,   0.09640
   0.01201,   0.09791
