MSE, Q-LIKE
   0.00000,  -0.30981
   0.00000,  -0.30981
   0.00000,  -0.31000
   0.00000,  -0.30992
   0.00000,  -0.30979
   0.00000,  -0.31347
   0.00000,  -0.31319
   0.00000,  -0.31311
   0.00000,  -0.31289
   0.00001,  -0.30316
   0.00000,  -0.30199
   0.00000,  -0.30319
   0.00000,  -0.30188
   0.00000,  -0.29970
   0.00000,  -0.29924
   0.00000,  -0.30173
   0.00000,  -0.30132
   0.00000,  -0.30707
   0.00000,  -0.30536
   0.00000,  -0.30495
   0.00000,  -0.30483
   0.00009,  -0.33964
   0.00002,  -0.33984
   0.00000,  -0.34219
   0.00000,  -0.34348
   0.00000,  -0.35065
   0.00000,  -0.35195
   0.00000,  -0.35313
   0.00000,  -0.35560
   0.00000,  -0.34646
   0.00000,  -0.34930
   0.00000,  -0.35128
   0.00000,  -0.35245
   0.00000,  -0.35164
   0.00000,  -0.35100
   0.00000,  -0.35764
   0.00000,  -0.35779
   0.00000,  -0.36122
   0.00000,  -0.36132
   0.00000,  -0.36216
   0.00000,  -0.36278
   0.00000,  -0.36472
   0.00000,  -0.36476
   0.00000,  -0.36721
   0.00000,  -0.36674
   0.00000,  -0.36673
   0.00000,  -0.36414
   0.00000,  -0.36439
   0.00000,  -0.36417
   0.00000,  -0.37127
   0.00000,  -0.37370
   0.00000,  -0.37473
   0.00000,  -0.37586
   0.00000,  -0.37774
   0.00000,  -0.37802
   0.00000,  -0.38698
   0.00000,  -0.38723
   0.00000,  -0.38718
   0.00000,  -0.39638
   0.00000,  -0.39963
   0.00000,  -0.39869
   0.00000,  -0.40624
   0.00000,  -0.40753
   0.00000,  -0.40902
   0.00000,  -0.40954
   0.00000,  -0.41293
   0.00000,  -0.41258
   0.00001,  -0.42464
   0.00000,  -0.42649
   0.00001,  -0.43563
   0.00000,  -0.43864
   0.00010,  -0.48046
   0.00018,  -0.51875
   0.00039,  -0.56767
   0.00019,  -0.56974
   0.00011,  -0.57009
   0.00007,  -0.57137
   0.00003,  -0.57123
   0.00001,  -0.57552
   0.00001,  -0.58260
   0.00000,  -0.58463
   0.00000,  -0.58624
   0.00000,  -0.58631
   0.00000,  -0.58588
   0.00000,  -0.58482
   0.00000,  -0.58437
   0.00000,  -0.59012
   0.00000,  -0.59007
   0.00000,  -0.59249
   0.00000,  -0.59538
   0.00000,  -0.59542
   0.00000,  -0.59281
   0.00000,  -0.59147
   0.00000,  -0.58729
   0.00000,  -0.58754
   0.00000,  -0.58707
   0.00000,  -0.58520
   0.00000,  -0.58086
   0.00000,  -0.57086
   0.00000,  -0.56648
   0.00000,  -0.56661
   0.00000,  -0.56654
   0.00000,  -0.56584
   0.00000,  -0.56557
   0.00000,  -0.56819
   0.00000,  -0.56031
   0.00000,  -0.56086
   0.00000,  -0.56183
   0.00000,  -0.55962
   0.00000,  -0.56068
   0.00000,  -0.56074
   0.00000,  -0.55605
   0.00002,  -0.53446
   0.00001,  -0.52362
   0.00000,  -0.52316
   0.00001,  -0.50784
   0.00000,  -0.50679
   0.00000,  -0.49722
   0.00000,  -0.49672
   0.00000,  -0.48744
   0.00001,  -0.47555
   0.00000,  -0.46962
   0.00003,  -0.44703
   0.00002,  -0.42740
   0.00002,  -0.40622
   0.00086,  -0.28598
   0.00044,  -0.28791
   0.00161,  -0.18903
   0.00114,  -0.18202
   0.00071,  -0.18148
   0.00040,  -0.17785
   0.00020,  -0.17155
   0.00004,  -0.17025
   0.00096,  -0.07033
   0.00081,  -0.03926
   0.00053,  -0.02397
   0.00014,  -0.02552
   0.00002,  -0.02352
   0.00000,  -0.02032
   0.00000,  -0.01353
   0.00000,  -0.01303
   0.00000,  -0.01244
   0.00004,   0.00638
   0.00000,   0.00612
   0.00000,   0.00667
   0.00000,   0.00758
   0.00000,   0.01029
   0.00000,   0.01396
   0.00000,   0.01665
   0.00000,   0.01699
   0.00000,   0.02258
   0.00000,   0.02429
   0.00000,   0.02619
   0.00000,   0.03208
   0.00000,   0.03257
   0.00000,   0.03272
   0.00000,   0.03291
   0.00000,   0.03305
   0.00000,   0.03321
   0.00000,   0.03185
   0.00000,   0.03292
   0.38470,   1.66504
   0.35638,   1.57249
   0.33500,   1.50950
   0.31320,   1.45072
   0.29062,   1.39508
   0.26749,   1.34308
   0.24391,   1.29482
   0.21989,   1.25012
   0.19557,   1.20904
   0.17131,   1.17192
   0.14727,   1.13862
   0.12364,   1.10903
   0.10093,   1.08334
   0.07953,   1.06148
   0.05997,   1.04342
   0.04269,   1.02898
   0.02853,   1.01822
   0.01823,   1.01104
   0.01194,   1.00696
   0.00786,   1.00445
