MSE, Q-LIKE
   0.00000,  -0.30980
   0.00000,  -0.30981
   0.00000,  -0.30999
   0.00000,  -0.30992
   0.00000,  -0.30979
   0.00000,  -0.31347
   0.00000,  -0.31319
   0.00000,  -0.31311
   0.00000,  -0.31289
   0.00001,  -0.30313
   0.00000,  -0.30199
   0.00000,  -0.30318
   0.00000,  -0.30188
   0.00000,  -0.29970
   0.00000,  -0.29924
   0.00000,  -0.30173
   0.00000,  -0.30132
   0.00000,  -0.30708
   0.00000,  -0.30536
   0.00000,  -0.30495
   0.00000,  -0.30483
   0.00009,  -0.33964
   0.00001,  -0.33985
   0.00000,  -0.34219
   0.00000,  -0.34348
   0.00000,  -0.35064
   0.00000,  -0.35195
   0.00000,  -0.35313
   0.00000,  -0.35560
   0.00001,  -0.34640
   0.00000,  -0.34929
   0.00000,  -0.35129
   0.00000,  -0.35245
   0.00000,  -0.35164
   0.00000,  -0.35099
   0.00000,  -0.35763
   0.00000,  -0.35779
   0.00000,  -0.36122
   0.00000,  -0.36131
   0.00000,  -0.36216
   0.00000,  -0.36278
   0.00000,  -0.36472
   0.00000,  -0.36476
   0.00000,  -0.36721
   0.00000,  -0.36674
   0.00000,  -0.36673
   0.00000,  -0.36414
   0.00000,  -0.36438
   0.00000,  -0.36417
   0.00000,  -0.37127
   0.00000,  -0.37370
   0.00000,  -0.37472
   0.00000,  -0.37586
   0.00000,  -0.37774
   0.00000,  -0.37802
   0.00000,  -0.38699
   0.00000,  -0.38723
   0.00000,  -0.38718
   0.00001,  -0.39637
   0.00000,  -0.39964
   0.00000,  -0.39869
   0.00000,  -0.40625
   0.00000,  -0.40753
   0.00000,  -0.40902
   0.00000,  -0.40954
   0.00000,  -0.41293
   0.00000,  -0.41258
   0.00000,  -0.42467
   0.00000,  -0.42649
   0.00001,  -0.43563
   0.00000,  -0.43864
   0.00011,  -0.48032
   0.00019,  -0.51871
   0.00041,  -0.56746
   0.00026,  -0.56901
   0.00018,  -0.56936
   0.00008,  -0.57125
   0.00005,  -0.57099
   0.00002,  -0.57542
   0.00001,  -0.58256
   0.00000,  -0.58462
   0.00000,  -0.58623
   0.00000,  -0.58627
   0.00000,  -0.58587
   0.00000,  -0.58481
   0.00000,  -0.58437
   0.00000,  -0.59011
   0.00000,  -0.59007
   0.00000,  -0.59249
   0.00000,  -0.59538
   0.00000,  -0.59542
   0.00000,  -0.59280
   0.00000,  -0.59147
   0.00000,  -0.58729
   0.00000,  -0.58754
   0.00000,  -0.58707
   0.00000,  -0.58520
   0.00000,  -0.58086
   0.00000,  -0.57085
   0.00000,  -0.56647
   0.00000,  -0.56660
   0.00000,  -0.56654
   0.00000,  -0.56584
   0.00000,  -0.56557
   0.00000,  -0.56819
   0.00000,  -0.56032
   0.00000,  -0.56086
   0.00000,  -0.56183
   0.00000,  -0.55962
   0.00000,  -0.56068
   0.00000,  -0.56074
   0.00000,  -0.55604
   0.00002,  -0.53446
   0.00001,  -0.52360
   0.00000,  -0.52316
   0.00001,  -0.50784
   0.00000,  -0.50678
   0.00001,  -0.49721
   0.00000,  -0.49671
   0.00001,  -0.48740
   0.00001,  -0.47555
   0.00001,  -0.46959
   0.00002,  -0.44706
   0.00002,  -0.42739
   0.00002,  -0.40628
   0.00084,  -0.28620
   0.00020,  -0.28972
   0.00059,  -0.19611
   0.00002,  -0.18913
   0.00007,  -0.18546
   0.00008,  -0.17977
   0.00688,  -0.14656
   0.00004,  -0.17024
   0.00000,  -0.07499
   0.00006,  -0.04266
   0.00053,  -0.02434
   0.00029,  -0.02487
   0.00001,  -0.02353
   0.00049,  -0.01827
   0.00001,  -0.01350
   0.00002,  -0.01294
   0.00021,  -0.01161
   0.00004,   0.00638
   0.00000,   0.00612
   0.00005,   0.00686
   0.00001,   0.00760
   0.00001,   0.01031
   0.00000,   0.01395
   0.00001,   0.01669
   0.00000,   0.01699
   0.00004,   0.02270
   0.00000,   0.02430
   0.00000,   0.02620
   0.00000,   0.03207
   0.00000,   0.03259
   0.00002,   0.03279
   0.00000,   0.03291
   0.00000,   0.03306
   0.00000,   0.03322
   0.00000,   0.03185
   0.00000,   0.03292
