MSE, Q-LIKE
18162.36187,   4.90645
3283.15699,   4.05509
10034.69045,   4.61080
17344.86141,   4.88350
1476.13860,   3.65874
32092.40029,   5.19037
51461.11885,   5.42602
3227.18174,   4.04654
2591.58311,   3.93767
4667.09809,   4.22997
79346.40615,   5.64228
4241220.28242,   7.63038
16376.32151,   4.85503
3105.18542,   4.02784
2865.15761,   3.98798
166905.63842,   6.01361
22316.85915,   5.00933
6784.13543,   4.41621
192697.73069,   6.08539
1153169.15596,   6.97940
123936.23752,   5.86495
245180.52246,   6.20573
3087302.37867,   7.47164
21986.35900,   5.00193
 917.02735,   3.42446
24238.10745,   5.05055
101011.72847,   5.76283
88326.01440,   5.69582
29265.61004,   5.14457
117419.17817,   5.83800
319315.47990,   6.33772
71525.66726,   5.59050
78141.07335,   5.63466
105602.75894,   5.78504
10710.58862,   4.64363
32230.49238,   5.19272
29892.37303,   5.15517
56955.31206,   5.47681
4919.44638,   4.25659
8468.73238,   4.52674
100166.14763,   5.75865
9664.23987,   4.59247
9154.96197,   4.56552
64581.44818,   5.53953
1325.77089,   3.60665
6752.88036,   4.41409
13544.12712,   4.76055
2864.27842,   3.98805
4109.79205,   4.16726
19830.62643,   4.95054
3005.63291,   4.01194
1715.26289,   3.73400
1077.09986,   3.50408
11421.17813,   4.67564
3687.82038,   4.11348
7905.21410,   4.49250
35621.21379,   5.24265
157223.14416,   5.98381
22011.17425,   5.00259
3270.17888,   4.05390
33918.17005,   5.21822
84976.72209,   5.67656
35692.22387,   5.24364
28710.53308,   5.13503
7349.15908,   4.45612
4312.82591,   4.19112
 297.19203,   2.87149
 370.08504,   2.97861
4619.30126,   4.22518
 233.51559,   2.75385
2912.92447,   3.99623
2985.64913,   4.00847
11991.04390,   4.69974
5637.19264,   4.32407
18721.13304,   4.92173
117567.16719,   5.83859
23667.02838,   5.03861
19882.36867,   4.95173
 511.67695,   3.13699
2517.44983,   3.92371
18232.96052,   4.90854
 511.51508,   3.13677
3265.62104,   4.05270
 638.33047,   3.24543
 517.88459,   3.14261
  23.73725,   1.66446
 819.99780,   3.36875
2649.01105,   3.94885
12432.79653,   4.71769
11846.41374,   4.69363
32442.84504,   5.19588
275806.72851,   6.26450
12220.58809,   4.70913
6433.15884,   4.38970
  66.04483,   2.14461
3593.89852,   4.10029
20088.24057,   4.95681
1277.06560,   3.58747
1605.02109,   3.70051
 635.48550,   3.24315
 360.29898,   2.96453
  79.86071,   2.23451
9564.25659,   4.58698
 652.19614,   3.25574
2356.30356,   3.89064
 363.84883,   2.96918
9511.18196,   4.58420
35486.85717,   5.24058
7421.52415,   4.46070
40824.76890,   5.31049
2467.61600,   3.91349
1494.03402,   3.66487
 680.41664,   3.27652
 258.70708,   2.80202
1392.30732,   3.62962
  60.92623,   2.10300
  68.20789,   2.15691
3182.91215,   4.03954
1687.51716,   3.72477
 188.06521,   2.64567
7398.84740,   4.45889
1063.15410,   3.49595
 147.05428,   2.52599
17616.52556,   4.89112
 332.82522,   2.92413
9474.63728,   4.58201
3018.81636,   4.01309
 811.30514,   3.36239
22736.87334,   5.01834
14934.61329,   4.80876
 570.12788,   3.18845
 465.75002,   3.08898
 254.57603,   2.79300
4281.65541,   4.18671
23959.85754,   5.04447
39257.17777,   5.29087
138152.09108,   5.91907
1856856.37120,   7.21747
14094.70706,   4.77990
5978.39853,   4.35274
 897.86164,   3.41231
17203.50486,   4.87926
32806.83899,   5.20124
14179.16390,   4.78287
241920.77995,   6.19893
3165.16048,   4.03651
3171.10292,   4.03745
8934.56370,   4.55276
4903.77498,   4.25418
101270.36548,   5.76394
16233.19314,   4.85032
1026.35280,   3.47842
36382.88903,   5.25287
36117.75766,   5.24923
21131.74261,   4.98185
79438.77604,   5.64271
66348.16395,   5.55281
147847.07405,   5.95296
41246.37983,   5.31559
661226.65815,   6.70141
1395704.28634,   7.07480
1031861.99781,   6.92384
5336041.22879,   7.74518
208563.92769,   6.12491
319931.30582,   6.33867
1110051.33243,   6.96038
2117445.71180,   7.28318
19915191.65428,   8.40361
21469782.95963,   8.44119
35748509.83963,   8.69610
24551735.13437,   8.50825
7211450.12592,   7.89579
1465166.19825,   7.09920
9566034.56169,   8.03704
2346915.26136,   7.33467
659006.12357,   6.69993
1721094.62053,   7.17967
2023890.87262,   7.26067
11800182.00246,   8.14198
2853091.41379,   7.43231
4590443.70719,   7.67002
2919206.77900,   7.44376
700743.16489,   6.73066
4414227.28001,   7.65046
745343.45035,   6.76150
1471744.77639,   7.10148
866968.46888,   6.83703
804562.76781,   6.79970
382495.45245,   6.42822
309678.03990,   6.32274
1822754.69978,   7.20838
92228.90814,   5.71802
89096.84927,   5.70078
1157802.39520,   6.98158
184946.72597,   6.06533
84889.06903,   5.67665
456521.40973,   6.51660
152566.58261,   5.96925
269502.24875,   6.25335
167289.14218,   6.01524
30979.53306,   5.17402
20607.60163,   4.97098
