MSE, Q-LIKE
   0.00006,  -0.52271
   0.00006,  -0.52284
   0.00005,  -0.52646
   0.00001,  -0.54236
   0.00001,  -0.54785
   0.00000,  -0.55009
   0.00000,  -0.55406
   0.00000,  -0.55663
   0.00000,  -0.55833
   0.00000,  -0.55994
   0.00000,  -0.55888
   0.00000,  -0.55814
   0.00001,  -0.57232
   0.00001,  -0.57562
   0.00001,  -0.57233
   0.00001,  -0.57430
   0.00001,  -0.57489
   0.00001,  -0.57509
   0.00001,  -0.57654
   0.00001,  -0.57744
   0.00002,  -0.57956
   0.00002,  -0.58017
   0.00005,  -0.59212
   0.00005,  -0.59224
   0.00005,  -0.59346
   0.00005,  -0.59253
   0.00006,  -0.59448
   0.00005,  -0.59184
   0.00005,  -0.59247
   0.00005,  -0.59136
   0.00005,  -0.59134
   0.00004,  -0.58954
   0.00004,  -0.58766
   0.00003,  -0.58665
   0.00003,  -0.58581
   0.00004,  -0.58822
   0.00005,  -0.59241
   0.00006,  -0.59436
   0.00006,  -0.59710
   0.00006,  -0.59724
   0.00008,  -0.60105
   0.00008,  -0.60052
   0.00010,  -0.60701
   0.00011,  -0.60828
   0.00011,  -0.60864
   0.00011,  -0.60790
   0.00011,  -0.60871
   0.00010,  -0.60677
   0.00011,  -0.60926
   0.00013,  -0.61247
   0.00013,  -0.61361
   0.00013,  -0.61306
   0.00013,  -0.61300
   0.00020,  -0.62648
   0.00033,  -0.64579
   0.00036,  -0.64883
   0.00035,  -0.64762
   0.00037,  -0.65025
   0.00038,  -0.65124
   0.00046,  -0.66087
   0.00052,  -0.66744
   0.00052,  -0.66772
   0.00052,  -0.66716
   0.00052,  -0.66699
   0.00056,  -0.67117
   0.00058,  -0.67347
   0.00056,  -0.67167
   0.00054,  -0.66976
   0.00057,  -0.67245
   0.00058,  -0.67330
   0.00058,  -0.67311
   0.00058,  -0.67341
   0.00056,  -0.67137
   0.00061,  -0.67598
   0.00060,  -0.67582
   0.00038,  -0.65176
   0.00046,  -0.66110
   0.00051,  -0.66598
   0.00062,  -0.67697
   0.00062,  -0.67763
   0.00063,  -0.67857
   0.00062,  -0.67714
   0.00062,  -0.67744
   0.00065,  -0.67989
   0.00066,  -0.68156
   0.00068,  -0.68295
   0.00067,  -0.68219
   0.00061,  -0.67647
   0.00060,  -0.67549
   0.00061,  -0.67665
   0.00062,  -0.67694
   0.00061,  -0.67667
   0.00061,  -0.67656
   0.00055,  -0.67067
   0.00050,  -0.66531
   0.00043,  -0.65817
   0.00040,  -0.65444
   0.00038,  -0.65116
   0.00021,  -0.62776
   0.00019,  -0.62507
   0.00002,  -0.58239
   0.00002,  -0.58132
   0.00002,  -0.58101
   0.00000,  -0.56756
   0.00000,  -0.56320
   0.00012,  -0.50651
   0.00045,  -0.45821
   0.00132,  -0.38653
   0.00234,  -0.32893
   0.00318,  -0.29110
   0.00315,  -0.29206
   0.00397,  -0.25942
   0.00447,  -0.24117
   0.00451,  -0.23971
   0.00497,  -0.22403
   0.00492,  -0.22558
   0.00604,  -0.18940
   0.00622,  -0.18422
   0.00711,  -0.15817
   0.00708,  -0.15891
   0.00729,  -0.15322
   0.00766,  -0.14301
   0.00783,  -0.13842
   0.00805,  -0.13250
   0.00827,  -0.12669
   0.00853,  -0.11998
   0.00869,  -0.11576
   0.00867,  -0.11626
   0.00904,  -0.10693
   0.00906,  -0.10640
   0.00883,  -0.11240
   0.00888,  -0.11110
   0.00899,  -0.10832
   0.00901,  -0.10786
   0.00906,  -0.10642
   0.00911,  -0.10526
   0.00921,  -0.10282
   0.00938,  -0.09855
   0.00939,  -0.09831
   0.00920,  -0.10313
   0.00920,  -0.10294
   0.00930,  -0.10047
