MSE, Q-LIKE
   0.00000,  -0.53577
   0.00000,  -0.53486
   0.00000,  -0.53608
   0.00000,  -0.53537
   0.00000,  -0.53536
   0.00000,  -0.53676
   0.00000,  -0.53674
   0.00000,  -0.53675
   0.00000,  -0.53704
   0.00000,  -0.53703
   0.00000,  -0.53703
   0.00000,  -0.53527
   0.00000,  -0.53503
   0.00000,  -0.53333
   0.00000,  -0.52931
   0.00000,  -0.52409
   0.00000,  -0.52404
   0.00000,  -0.52403
   0.00000,  -0.52319
   0.00000,  -0.52335
   0.00000,  -0.52348
   0.00000,  -0.52697
   0.00001,  -0.54234
   0.00000,  -0.54790
   0.00000,  -0.55012
   0.00000,  -0.55407
   0.00000,  -0.55664
   0.00000,  -0.55833
   0.00000,  -0.55994
   0.00000,  -0.55888
   0.00000,  -0.55814
   0.00001,  -0.57229
   0.00000,  -0.57575
   0.00000,  -0.57242
   0.00000,  -0.57441
   0.00000,  -0.57501
   0.00000,  -0.57522
   0.00000,  -0.57670
   0.00000,  -0.57761
   0.00000,  -0.57977
   0.00000,  -0.58040
   0.00001,  -0.59259
   0.00000,  -0.59281
   0.00000,  -0.59407
   0.00000,  -0.59311
   0.00000,  -0.59512
   0.00000,  -0.59239
   0.00000,  -0.59304
   0.00000,  -0.59189
   0.00000,  -0.59187
   0.00000,  -0.59002
   0.00000,  -0.58807
   0.00000,  -0.58703
   0.00000,  -0.58617
   0.00000,  -0.58865
   0.00000,  -0.59298
   0.00000,  -0.59500
   0.00000,  -0.59784
   0.00000,  -0.59799
   0.00000,  -0.60194
   0.00000,  -0.60141
   0.00000,  -0.60816
   0.00000,  -0.60953
   0.00000,  -0.60991
   0.00000,  -0.60913
   0.00000,  -0.60998
   0.00000,  -0.60794
   0.00000,  -0.61056
   0.00000,  -0.61395
   0.00000,  -0.61516
   0.00000,  -0.61458
   0.00000,  -0.61451
   0.00001,  -0.62876
   0.00002,  -0.64954
   0.00000,  -0.65312
   0.00000,  -0.65179
   0.00000,  -0.65467
   0.00000,  -0.65577
   0.00000,  -0.66638
   0.00000,  -0.67375
   0.00000,  -0.67409
   0.00000,  -0.67346
   0.00000,  -0.67327
   0.00000,  -0.67795
   0.00000,  -0.68056
   0.00000,  -0.67854
   0.00000,  -0.67638
   0.00000,  -0.67941
   0.00000,  -0.68038
   0.00000,  -0.68016
   0.00000,  -0.68050
   0.00000,  -0.67820
   0.00000,  -0.68339
   0.00000,  -0.68323
   0.00003,  -0.65597
   0.00000,  -0.66669
   0.00000,  -0.67213
   0.00001,  -0.68445
   0.00000,  -0.68527
   0.00000,  -0.68634
   0.00000,  -0.68472
   0.00000,  -0.68506
   0.00000,  -0.68784
   0.00000,  -0.68974
   0.00000,  -0.69132
   0.00000,  -0.69046
   0.00000,  -0.68394
   0.00000,  -0.68285
   0.00000,  -0.68416
   0.00000,  -0.68450
   0.00000,  -0.68419
   0.00000,  -0.68406
   0.00000,  -0.67738
   0.00000,  -0.67137
   0.00000,  -0.66340
   0.00000,  -0.65929
   0.00000,  -0.65568
   0.00002,  -0.62990
   0.00000,  -0.62735
   0.00008,  -0.58164
   0.00000,  -0.58155
   0.00000,  -0.58125
   0.00001,  -0.56747
   0.00000,  -0.56320
   0.00010,  -0.50678
   0.00010,  -0.46195
   0.00019,  -0.39821
   0.00016,  -0.35066
   0.00004,  -0.32134
   0.00002,  -0.32230
   0.00000,  -0.29694
   0.00002,  -0.28289
   0.00010,  -0.28129
   0.00014,  -0.26925
   0.00045,  -0.26865
   0.00037,  -0.24244
   0.00063,  -0.23736
   0.00053,  -0.21919
   0.00059,  -0.21940
   0.00045,  -0.21610
   0.00031,  -0.20954
   0.00024,  -0.20669
   0.00013,  -0.20312
   0.00011,  -0.19914
   0.00004,  -0.19485
   0.00001,  -0.19207
   0.00000,  -0.19246
   0.00000,  -0.18600
   0.00000,  -0.18566
   0.00000,  -0.18980
   0.00000,  -0.18889
   0.00000,  -0.18698
   0.00000,  -0.18665
   0.00000,  -0.18567
   0.00000,  -0.18487
   0.00000,  -0.18318
   0.00001,  -0.18022
   0.00000,  -0.18008
   0.00000,  -0.18340
   0.00000,  -0.18325
   0.00000,  -0.18157
   0.48329,   2.09269
   0.44048,   1.88369
   0.40733,   1.74742
   0.37297,   1.62537
   0.33686,   1.51475
   0.29947,   1.41627
   0.26114,   1.32964
   0.22219,   1.25422
   0.18323,   1.18970
   0.14531,   1.13605
   0.10925,   1.09245
   0.07608,   1.05816
   0.04737,   1.03274
   0.02443,   1.01530
   0.00867,   1.00494
   0.00094,   1.00049
   0.00039,   1.00019
   0.00173,   1.00082
   0.00182,   1.00086
   0.00127,   1.00061
