MSE, Q-LIKE
   0.00007,  -0.53498
   0.00001,  -0.53475
   0.00000,  -0.53610
   0.00002,  -0.53517
   0.00000,  -0.53536
   0.00000,  -0.53676
   0.00000,  -0.53674
   0.00001,  -0.53667
   0.00000,  -0.53704
   0.00001,  -0.53691
   0.00000,  -0.53700
   0.00001,  -0.53517
   0.00000,  -0.53502
   0.00001,  -0.53326
   0.00000,  -0.52932
   0.00002,  -0.52384
   0.00001,  -0.52389
   0.00000,  -0.52402
   0.00002,  -0.52300
   0.00000,  -0.52334
   0.00000,  -0.52347
   0.00000,  -0.52696
   0.00000,  -0.54249
   0.00000,  -0.54790
   0.00000,  -0.55012
   0.00000,  -0.55407
   0.00000,  -0.55658
   0.00000,  -0.55832
   0.00000,  -0.55994
   0.00001,  -0.55880
   0.00000,  -0.55812
   0.00000,  -0.57239
   0.00000,  -0.57575
   0.00000,  -0.57242
   0.00001,  -0.57431
   0.00000,  -0.57501
   0.00001,  -0.57512
   0.00001,  -0.57658
   0.00003,  -0.57725
   0.00001,  -0.57969
   0.00000,  -0.58039
   0.00002,  -0.59249
   0.00000,  -0.59280
   0.00000,  -0.59404
   0.00001,  -0.59296
   0.00000,  -0.59511
   0.00000,  -0.59235
   0.00000,  -0.59299
   0.00000,  -0.59189
   0.00000,  -0.59183
   0.00000,  -0.59002
   0.00000,  -0.58803
   0.00000,  -0.58700
   0.00000,  -0.58615
   0.00002,  -0.58840
   0.00000,  -0.59295
   0.00000,  -0.59500
   0.00000,  -0.59782
   0.00000,  -0.59797
   0.00000,  -0.60195
   0.00000,  -0.60141
   0.00000,  -0.60819
   0.00000,  -0.60953
   0.00000,  -0.60988
   0.00000,  -0.60909
   0.00000,  -0.60997
   0.00000,  -0.60794
   0.00000,  -0.61055
   0.00000,  -0.61394
   0.00002,  -0.61493
   0.00000,  -0.61458
   0.00000,  -0.61449
   0.00000,  -0.62886
   0.00004,  -0.64933
   0.00001,  -0.65298
   0.00000,  -0.65177
   0.00000,  -0.65462
   0.00001,  -0.65564
   0.00003,  -0.66609
   0.00001,  -0.67370
   0.00000,  -0.67408
   0.00000,  -0.67341
   0.00008,  -0.67217
   0.00000,  -0.67796
   0.00000,  -0.68056
   0.00000,  -0.67854
   0.00000,  -0.67637
   0.00000,  -0.67939
   0.00000,  -0.68037
   0.00000,  -0.68010
   0.00000,  -0.68048
   0.00000,  -0.67819
   0.00000,  -0.68336
   0.00000,  -0.68322
   0.00002,  -0.65612
   0.00000,  -0.66668
   0.00000,  -0.67213
   0.00000,  -0.68445
   0.00000,  -0.68526
   0.00000,  -0.68633
   0.00001,  -0.68459
   0.00000,  -0.68502
   0.00000,  -0.68784
   0.00000,  -0.68974
   0.00000,  -0.69130
   0.00000,  -0.69046
   0.00001,  -0.68388
   0.00001,  -0.68277
   0.00000,  -0.68413
   0.00001,  -0.68439
   0.00000,  -0.68418
   0.00000,  -0.68406
   0.00000,  -0.67735
   0.00001,  -0.67131
   0.00000,  -0.66337
   0.00000,  -0.65924
   0.00002,  -0.65539
   0.00005,  -0.62961
   0.00001,  -0.62725
   0.00020,  -0.58009
   0.00001,  -0.58151
   0.00000,  -0.58124
   0.00002,  -0.56739
   0.00004,  -0.56276
   0.00000,  -0.50784
   0.00001,  -0.46292
   0.00017,  -0.39840
   0.00009,  -0.35129
   0.00009,  -0.32104
   0.00035,  -0.32015
   0.00039,  -0.29406
   0.00652,  -0.25295
   0.00003,  -0.28174
   0.00201,  -0.25963
   0.00013,  -0.27045
   0.00116,  -0.23846
   0.00001,  -0.24067
   0.00017,  -0.22104
   0.00006,  -0.22209
   0.00002,  -0.21828
   0.00009,  -0.21071
   0.00009,  -0.20745
   0.00001,  -0.20376
   0.00011,  -0.19916
   0.00005,  -0.19474
   0.00000,  -0.19211
   0.00005,  -0.19218
   0.00001,  -0.18598
   0.00014,  -0.18485
   0.00001,  -0.18974
   0.00004,  -0.18868
   0.00001,  -0.18695
   0.00000,  -0.18666
   0.00001,  -0.18563
   0.00001,  -0.18484
   0.00004,  -0.18300
   0.00002,  -0.18014
   0.00004,  -0.17986
   0.00001,  -0.18333
   0.00000,  -0.18327
   0.00000,  -0.18158
