MSE, Q-LIKE
 505.48100,   3.12883
1949.49447,   3.79587
 445.86162,   3.06710
 404.75323,   3.01958
33067.37667,   5.20515
13144.88771,   4.74507
1562.79593,   3.68632
4595.78660,   4.22182
3413.31421,   4.07397
6353.88827,   4.38300
8576.98200,   4.53244
13665.39179,   4.76452
2865.31185,   3.98723
153548.88866,   5.97185
35769.51276,   5.24443
87667.18814,   5.69194
3897.91116,   4.14019
111958.40381,   5.81408
6720.98785,   4.41115
14223.01079,   4.78450
18303.98603,   4.91026
2153.80145,   3.84572
5982.44855,   4.35325
19481.43967,   4.94136
28422.99522,   5.12975
18614.67117,   4.91866
24705.99690,   5.05984
10831.81517,   4.64881
351009.72118,   6.38494
80438.51352,   5.64899
12878.87482,   4.73508
19389.18356,   4.93901
258915.55608,   6.23289
18330.61201,   4.91103
8529.81626,   4.52986
5089.15726,   4.27287
7445.32225,   4.46217
2992.84472,   4.00908
5307.01394,   4.29372
19424.26490,   4.93994
13838.43102,   4.77092
9233.89994,   4.56938
8610.00137,   4.53454
89540.50168,   5.70254
14148.12658,   4.78197
4013.25280,   4.15487
55090.25141,   5.46004
64460.24470,   5.53845
4197.03405,   4.17711
 967.49944,   3.44990
8044.93734,   4.50074
4381.04754,   4.19839
1164.99579,   3.54160
3831.67540,   4.13180
9451.65815,   4.58097
 895.35042,   3.41166
5679.35935,   4.32749
3941.91559,   4.14594
2153.61992,   3.84586
142220.24793,   5.93361
1019.65131,   3.47587
21299.35252,   4.98591
 185.36393,   2.63972
 175.54735,   2.61290
2073.37687,   3.82703
1192.48097,   3.55316
3106.45942,   4.02760
2111.14583,   3.83595
1433.14251,   3.64407
101091.35128,   5.76301
4564.17257,   4.21825
52582.05987,   5.43662
3056.97104,   4.01898
50256.05042,   5.41402
78148.97669,   5.63445
56548.01821,   5.47291
6653.15130,   4.40574
17385.24425,   4.88436
171808.82751,   6.02794
2888.98131,   3.99104
29476.38635,   5.14777
3437.49765,   4.07740
36284.21759,   5.25146
70968.89452,   5.58635
8348.39286,   4.51886
60711.16577,   5.50841
32693.81480,   5.19947
347510.94512,   6.37989
2462.43011,   3.91172
8895.12959,   4.55046
21688.56505,   4.99472
1842.69111,   3.76791
541260.22222,   6.60132
 353.45725,   2.95300
30443.16436,   5.16389
6031.65050,   4.35705
 306.30549,   2.88286
1585.52944,   3.69342
1107.74162,   3.51585
1845.59465,   3.76865
7004.79751,   4.43148
 240.90588,   2.76526
5021.28346,   4.26579
 490.57457,   3.11395
2189.83028,   3.85346
46195.95977,   5.37200
 420.22731,   3.03768
 236.84881,   2.75669
2256.15988,   3.86799
  52.57231,   2.02815
3018.95315,   4.01263
 813.12092,   3.36254
 931.17584,   3.42953
1173.38010,   3.54360
  30.75502,   1.77143
2250.59335,   3.86639
 139.54082,   2.49678
 231.15152,   2.74302
2079.57292,   3.82717
1347.31420,   3.61189
 657.34521,   3.25682
  36.18712,   1.84777
1143.48446,   3.53058
 237.35416,   2.75580
 286.73260,   2.84842
10226.72489,   4.61961
6649.07469,   4.40511
  75.10242,   2.19655
1189.56532,   3.55009
 278.20371,   2.83357
3753.16725,   4.12048
  23.50471,   1.64394
 943.74865,   3.43503
  74.28814,   2.18959
3186.11368,   4.03877
  78.41804,   2.21566
2368.11942,   3.89131
 182.59108,   2.62644
   0.01564,  -0.72088
2013.66519,   3.81072
   1.40724,   0.40835
1798.31766,   3.75457
 768.26409,   3.33316
3465.83000,   4.08059
  67.21301,   2.14107
7680.17887,   4.47674
 166.58177,   2.58157
3850.77772,   4.13302
1753.84572,   3.74219
  52.91212,   2.02650
3907.12520,   4.14024
  86.51028,   2.26311
17189.74516,   4.87840
 736.69995,   3.31266
4191.23223,   4.17526
46768.58221,   5.37795
24304.73958,   5.05138
17791.02265,   4.89575
1352618.80876,   7.05908
433969.48187,   6.49090
1980528.34223,   7.24970
302390.44381,   6.31041
2881678.39154,   7.43716
448419.56838,   6.50732
216043.21491,   6.14246
2751963.76690,   7.41417
2528673.43910,   7.37189
22065614.37911,   8.45487
63050868.98843,   8.97979
111294940.41970,   9.26390
15779610.80446,   8.28725
33450724.40907,   8.66289
1722991.91079,   7.18023
8558867.28214,   7.98144
25557566.78541,   8.52834
11228104.55464,   8.11714
6876469.47820,   7.87204
2485897.19386,   7.36346
7328566.96787,   7.90388
3102433.71124,   7.47421
2550262.55597,   7.37625
3465490.66925,   7.52952
875980.00360,   6.84223
2239061.14818,   7.31121
767084.92776,   6.77591
335814.66792,   6.36327
1740805.89196,   7.18542
927025.04854,   6.87054
51722.56636,   5.42968
412714.61045,   6.46627
1952539.39070,   7.24279
1014752.33553,   6.91572
80351.17607,   5.64939
402473.55301,   6.45372
923763.45875,   6.86878
466039.10351,   6.52697
276270.91189,   6.26581
50757.35296,   5.42029
4663.58637,   4.23327
15180.39132,   4.81915
1739.06460,   3.74605
1587.36655,   3.70113
