MSE, Q-LIKE
   0.00002,  -0.62590
   0.00002,  -0.62607
   0.00002,  -0.62667
   0.00000,  -0.64051
   0.00001,  -0.63163
   0.00001,  -0.63346
   0.00001,  -0.63451
   0.00001,  -0.63514
   0.00001,  -0.63541
   0.00021,  -0.72315
   0.00021,  -0.72409
   0.00020,  -0.72199
   0.00023,  -0.72804
   0.00024,  -0.72867
   0.00026,  -0.73170
   0.00025,  -0.73054
   0.00026,  -0.73145
   0.00026,  -0.73157
   0.00013,  -0.70833
   0.00013,  -0.70825
   0.00014,  -0.70949
   0.00014,  -0.70885
   0.00014,  -0.70903
   0.00014,  -0.70877
   0.00014,  -0.71026
   0.00014,  -0.70876
   0.00014,  -0.70942
   0.00014,  -0.70942
   0.00013,  -0.70807
   0.00013,  -0.70773
   0.00013,  -0.70788
   0.00012,  -0.70642
   0.00013,  -0.70748
   0.00013,  -0.70747
   0.00012,  -0.70511
   0.00012,  -0.70545
   0.00012,  -0.70549
   0.00012,  -0.70538
   0.00014,  -0.70947
   0.00014,  -0.71032
   0.00014,  -0.71035
   0.00014,  -0.71005
   0.00015,  -0.71228
   0.00015,  -0.71210
   0.00015,  -0.71302
   0.00015,  -0.71296
   0.00020,  -0.72128
   0.00020,  -0.72128
   0.00036,  -0.74742
   0.00035,  -0.74564
   0.00036,  -0.74638
   0.00037,  -0.74778
   0.00036,  -0.74743
   0.00059,  -0.77430
   0.00072,  -0.78769
   0.00078,  -0.79341
   0.00076,  -0.79193
   0.00077,  -0.79258
   0.00075,  -0.79087
   0.00075,  -0.79094
   0.00081,  -0.79663
   0.00081,  -0.79619
   0.00081,  -0.79614
   0.00085,  -0.79969
   0.00085,  -0.79971
   0.00085,  -0.79957
   0.00086,  -0.80050
   0.00085,  -0.80030
   0.00087,  -0.80141
   0.00087,  -0.80142
   0.00087,  -0.80200
   0.00090,  -0.80437
   0.00134,  -0.83883
   0.00135,  -0.83964
   0.00137,  -0.84074
   0.00137,  -0.84079
   0.00135,  -0.83945
   0.00136,  -0.84028
   0.00142,  -0.84417
   0.00144,  -0.84547
   0.00144,  -0.84565
   0.00144,  -0.84544
   0.00144,  -0.84564
   0.00144,  -0.84552
   0.00144,  -0.84590
   0.00138,  -0.84131
   0.00139,  -0.84192
   0.00136,  -0.83985
   0.00136,  -0.84002
   0.00133,  -0.83794
   0.00137,  -0.84111
   0.00138,  -0.84115
   0.00138,  -0.84141
   0.00120,  -0.82839
   0.00116,  -0.82504
   0.00113,  -0.82296
   0.00056,  -0.77138
   0.00056,  -0.77152
   0.00024,  -0.72815
   0.00022,  -0.72601
   0.00006,  -0.68815
   0.00004,  -0.67995
   0.00004,  -0.68026
   0.00000,  -0.64860
   0.00001,  -0.63167
   0.00033,  -0.55383
   0.00138,  -0.45537
   0.00404,  -0.31794
   0.00467,  -0.29329
   0.00670,  -0.22295
   0.00671,  -0.22253
   0.00776,  -0.19030
   0.00980,  -0.13370
   0.01055,  -0.11438
   0.01164,  -0.08755
   0.01179,  -0.08383
   0.01321,  -0.05096
   0.01343,  -0.04582
   0.01411,  -0.03078
   0.01488,  -0.01414
   0.01490,  -0.01380
   0.01569,   0.00286
   0.01570,   0.00303
   0.01591,   0.00730
   0.01663,   0.02205
   0.01679,   0.02521
   0.01680,   0.02535
   0.01684,   0.02628
   0.01755,   0.04027
   0.01754,   0.04003
   0.01752,   0.03978
   0.01778,   0.04488
   0.01826,   0.05411
   0.01829,   0.05464
   0.01797,   0.04852
   0.01798,   0.04864
   0.01798,   0.04875
   0.01780,   0.04523
   0.01777,   0.04452
   0.01767,   0.04258
   0.01759,   0.04104
   0.01761,   0.04152
