MSE, Q-LIKE
   0.00000,  -0.63228
   0.00000,  -0.63342
   0.00000,  -0.62760
   0.00000,  -0.62627
   0.00000,  -0.62676
   0.00000,  -0.62695
   0.00000,  -0.62696
   0.00000,  -0.62915
   0.00000,  -0.62931
   0.00000,  -0.63392
   0.00000,  -0.63606
   0.00000,  -0.63606
   0.00000,  -0.63648
   0.00000,  -0.63611
   0.00000,  -0.62851
   0.00000,  -0.62893
   0.00000,  -0.62928
   0.00000,  -0.63067
   0.00000,  -0.62675
   0.00000,  -0.62615
   0.00000,  -0.62632
   0.00000,  -0.62690
   0.00001,  -0.64043
   0.00000,  -0.63171
   0.00000,  -0.63357
   0.00000,  -0.63460
   0.00000,  -0.63522
   0.00000,  -0.63550
   0.00029,  -0.72204
   0.00017,  -0.72469
   0.00009,  -0.72356
   0.00006,  -0.73053
   0.00002,  -0.73174
   0.00001,  -0.73522
   0.00000,  -0.73410
   0.00000,  -0.73511
   0.00000,  -0.73524
   0.00002,  -0.70991
   0.00000,  -0.71010
   0.00000,  -0.71144
   0.00000,  -0.71076
   0.00000,  -0.71095
   0.00000,  -0.71067
   0.00000,  -0.71226
   0.00000,  -0.71066
   0.00000,  -0.71136
   0.00000,  -0.71136
   0.00000,  -0.70992
   0.00000,  -0.70956
   0.00000,  -0.70973
   0.00000,  -0.70818
   0.00000,  -0.70930
   0.00000,  -0.70929
   0.00000,  -0.70678
   0.00000,  -0.70715
   0.00000,  -0.70718
   0.00000,  -0.70708
   0.00000,  -0.71141
   0.00000,  -0.71233
   0.00000,  -0.71235
   0.00000,  -0.71204
   0.00000,  -0.71441
   0.00000,  -0.71422
   0.00000,  -0.71520
   0.00000,  -0.71514
   0.00000,  -0.72403
   0.00000,  -0.72407
   0.00002,  -0.75229
   0.00000,  -0.75069
   0.00000,  -0.75152
   0.00000,  -0.75307
   0.00000,  -0.75269
   0.00003,  -0.78252
   0.00002,  -0.79809
   0.00000,  -0.80504
   0.00000,  -0.80335
   0.00000,  -0.80410
   0.00000,  -0.80210
   0.00000,  -0.80219
   0.00000,  -0.80882
   0.00000,  -0.80833
   0.00000,  -0.80827
   0.00000,  -0.81244
   0.00000,  -0.81247
   0.00000,  -0.81231
   0.00000,  -0.81340
   0.00000,  -0.81316
   0.00000,  -0.81447
   0.00000,  -0.81449
   0.00000,  -0.81517
   0.00000,  -0.81797
   0.00004,  -0.85883
   0.00001,  -0.86047
   0.00000,  -0.86199
   0.00000,  -0.86208
   0.00000,  -0.86042
   0.00000,  -0.86146
   0.00000,  -0.86627
   0.00000,  -0.86790
   0.00000,  -0.86812
   0.00000,  -0.86785
   0.00000,  -0.86811
   0.00000,  -0.86796
   0.00000,  -0.86843
   0.00000,  -0.86272
   0.00000,  -0.86348
   0.00000,  -0.86092
   0.00000,  -0.86113
   0.00000,  -0.85856
   0.00000,  -0.86247
   0.00000,  -0.86253
   0.00000,  -0.86285
   0.00001,  -0.84670
   0.00000,  -0.84276
   0.00000,  -0.84025
   0.00010,  -0.77776
   0.00002,  -0.77941
   0.00011,  -0.72959
   0.00003,  -0.72878
   0.00008,  -0.68764
   0.00002,  -0.68013
   0.00000,  -0.68076
   0.00005,  -0.64796
   0.00001,  -0.63170
   0.00019,  -0.55562
   0.00057,  -0.46566
   0.00153,  -0.34831
   0.00103,  -0.33545
   0.00112,  -0.28504
   0.00046,  -0.29022
   0.00023,  -0.26966
   0.00019,  -0.23197
   0.00002,  -0.22039
   0.00000,  -0.20315
   0.00003,  -0.20061
   0.00001,  -0.17995
   0.00005,  -0.17654
   0.00003,  -0.16727
   0.00001,  -0.15715
   0.00001,  -0.15695
   0.00000,  -0.14684
   0.00000,  -0.14674
   0.00000,  -0.14416
   0.00001,  -0.13526
   0.00000,  -0.13340
   0.00000,  -0.13331
   0.00000,  -0.13276
   0.00001,  -0.12441
   0.00000,  -0.12458
   0.00000,  -0.12473
   0.00000,  -0.12171
   0.00000,  -0.11627
   0.00000,  -0.11597
   0.00000,  -0.11956
   0.00000,  -0.11950
   0.00000,  -0.11943
   0.00000,  -0.12151
   0.00000,  -0.12193
   0.00000,  -0.12307
   0.00000,  -0.12398
   0.00000,  -0.12370
   0.45671,   1.95815
   0.41748,   1.78706
   0.38735,   1.67427
   0.35629,   1.57220
   0.32380,   1.47863
   0.29028,   1.39427
   0.25600,   1.31900
   0.22117,   1.25240
   0.18623,   1.19432
   0.15199,   1.14490
   0.11902,   1.10360
   0.08807,   1.06993
   0.06030,   1.04371
   0.03671,   1.02432
   0.01844,   1.01119
   0.00630,   1.00352
   0.00072,   1.00038
   0.00009,   1.00004
   0.00020,   1.00010
   0.00007,   1.00003
