MSE, Q-LIKE
   0.00002,  -0.63196
   0.00000,  -0.63340
   0.00000,  -0.62762
   0.00001,  -0.62621
   0.00000,  -0.62676
   0.00000,  -0.62695
   0.00000,  -0.62697
   0.00000,  -0.62915
   0.00000,  -0.62932
   0.00001,  -0.63382
   0.00000,  -0.63602
   0.00001,  -0.63599
   0.00000,  -0.63648
   0.00000,  -0.63609
   0.00000,  -0.62854
   0.00000,  -0.62886
   0.00000,  -0.62924
   0.00000,  -0.63068
   0.00001,  -0.62663
   0.00000,  -0.62614
   0.00000,  -0.62631
   0.00000,  -0.62690
   0.00000,  -0.64053
   0.00000,  -0.63172
   0.00000,  -0.63357
   0.00000,  -0.63460
   0.00000,  -0.63519
   0.00000,  -0.63550
   0.00028,  -0.72221
   0.00013,  -0.72522
   0.00008,  -0.72365
   0.00006,  -0.73052
   0.00002,  -0.73181
   0.00002,  -0.73514
   0.00001,  -0.73397
   0.00000,  -0.73511
   0.00000,  -0.73519
   0.00001,  -0.71006
   0.00000,  -0.71008
   0.00000,  -0.71138
   0.00000,  -0.71076
   0.00000,  -0.71094
   0.00000,  -0.71067
   0.00000,  -0.71225
   0.00000,  -0.71059
   0.00000,  -0.71136
   0.00000,  -0.71134
   0.00000,  -0.70992
   0.00000,  -0.70956
   0.00000,  -0.70971
   0.00000,  -0.70818
   0.00000,  -0.70925
   0.00000,  -0.70927
   0.00000,  -0.70676
   0.00000,  -0.70708
   0.00000,  -0.70718
   0.00000,  -0.70707
   0.00000,  -0.71142
   0.00000,  -0.71232
   0.00000,  -0.71235
   0.00000,  -0.71204
   0.00000,  -0.71441
   0.00000,  -0.71422
   0.00000,  -0.71519
   0.00000,  -0.71513
   0.00000,  -0.72402
   0.00000,  -0.72407
   0.00002,  -0.75238
   0.00000,  -0.75067
   0.00001,  -0.75142
   0.00000,  -0.75307
   0.00000,  -0.75268
   0.00001,  -0.78272
   0.00002,  -0.79798
   0.00001,  -0.80490
   0.00000,  -0.80333
   0.00000,  -0.80409
   0.00000,  -0.80207
   0.00000,  -0.80213
   0.00000,  -0.80882
   0.00000,  -0.80832
   0.00000,  -0.80824
   0.00003,  -0.81189
   0.00000,  -0.81247
   0.00000,  -0.81231
   0.00000,  -0.81339
   0.00000,  -0.81315
   0.00000,  -0.81446
   0.00000,  -0.81448
   0.00000,  -0.81516
   0.00000,  -0.81798
   0.00004,  -0.85887
   0.00001,  -0.86038
   0.00000,  -0.86199
   0.00000,  -0.86206
   0.00000,  -0.86042
   0.00000,  -0.86144
   0.00000,  -0.86628
   0.00000,  -0.86789
   0.00000,  -0.86812
   0.00000,  -0.86779
   0.00000,  -0.86809
   0.00000,  -0.86796
   0.00000,  -0.86843
   0.00000,  -0.86273
   0.00000,  -0.86347
   0.00000,  -0.86090
   0.00000,  -0.86110
   0.00000,  -0.85856
   0.00000,  -0.86246
   0.00000,  -0.86252
   0.00000,  -0.86285
   0.00001,  -0.84665
   0.00000,  -0.84274
   0.00000,  -0.84025
   0.00007,  -0.77830
   0.00006,  -0.77869
   0.00015,  -0.72882
   0.00007,  -0.72806
   0.00022,  -0.68533
   0.00006,  -0.67961
   0.00003,  -0.68035
   0.00008,  -0.64740
   0.00001,  -0.63173
   0.00013,  -0.55642
   0.00040,  -0.46758
   0.00120,  -0.35180
   0.00003,  -0.34431
   0.00002,  -0.29375
   0.00010,  -0.29300
   0.00044,  -0.26814
   0.00648,  -0.20568
   0.00001,  -0.22043
   0.00133,  -0.19682
   0.00013,  -0.20009
   0.00144,  -0.17345
   0.00000,  -0.17676
   0.00014,  -0.16675
   0.00022,  -0.15598
   0.00003,  -0.15685
   0.00002,  -0.14672
   0.00012,  -0.14614
   0.00001,  -0.14413
   0.00002,  -0.13519
   0.00005,  -0.13314
   0.00000,  -0.13331
   0.00003,  -0.13261
   0.00000,  -0.12444
   0.00008,  -0.12418
   0.00000,  -0.12472
   0.00005,  -0.12149
   0.00000,  -0.11628
   0.00000,  -0.11596
   0.00000,  -0.11957
   0.00001,  -0.11946
   0.00003,  -0.11929
   0.00000,  -0.12149
   0.00002,  -0.12184
   0.00001,  -0.12302
   0.00000,  -0.12398
   0.00000,  -0.12370
