MSE, Q-LIKE
 375.88746,   2.98224
20308.08284,   4.96180
416019.64192,   6.46978
 128.02106,   2.45626
10803.66887,   4.64705
9876.43211,   4.60235
7845.52574,   4.48766
4600.76546,   4.22196
2109.59709,   3.83446
 601.71284,   3.21346
 997.92707,   3.46339
 115.47691,   2.40533
 880.29260,   3.40136
2440.23075,   3.90668
3686.45878,   4.11175
2450.65661,   3.90885
11763.02602,   4.68947
9477.49226,   4.58180
30555.22647,   5.16558
12745.66897,   4.72948
6939.72494,   4.42659
9434.87546,   4.57965
46492.26295,   5.37513
7940.30686,   4.49375
8828.99163,   4.54659
6994.21263,   4.43057
14835.15463,   4.80523
4752.23141,   4.23821
12363.51318,   4.71438
7470.26342,   4.46338
83092.95361,   5.66507
1944.00729,   3.79415
13405.79929,   4.75473
14308.66431,   4.78723
4128.60584,   4.16827
146192.93865,   5.94726
41072.26166,   5.31328
41398.55832,   5.31723
2877.97841,   3.98899
54838.05810,   5.45758
15262.89642,   4.81944
1402.96639,   3.63256
23230.94715,   5.02894
29959.87711,   5.15584
51407.96840,   5.42533
19871.94359,   4.95103
9291.22102,   4.57206
7399.26145,   4.45865
70579.93918,   5.58357
4874.39790,   4.25089
 102.25417,   2.34790
20372.07545,   4.96341
5419.25031,   4.30358
 838.63789,   3.37786
 639.04408,   3.24380
108833.53769,   5.79986
21961.00905,   5.00090
8766.72658,   4.54316
63169.83305,   5.52821
1045.05357,   3.48696
18435.09966,   4.91364
22070.82253,   5.00341
4629.28561,   4.22528
 665.19371,   3.26349
1307.42788,   3.59751
   4.19537,   0.87714
  93.04648,   2.30230
8279.58637,   4.51460
4485.78881,   4.20952
 371.31588,   2.97856
539226.76693,   6.59948
47289.52520,   5.38381
692761.63378,   6.72469
33117.35718,   5.20604
14145.51864,   4.78183
82993.73072,   5.66461
4450.86093,   4.20617
12119.24010,   4.70476
  91.36059,   2.29699
  47.51232,   1.98511
1651.40027,   3.71410
801230.79639,   6.79738
46115.63566,   5.37123
  21.35976,   1.61085
32316755.58263,   8.64562
1249475.06662,   7.01945
 165.60178,   2.58374
 544.77201,   3.16601
6416.39996,   4.38791
 113.61722,   2.40038
 828.49120,   3.37245
1336.99679,   3.60902
3194.90611,   4.04108
 188.19454,   2.64499
  91.28487,   2.29414
  96.80102,   2.32240
 181.62540,   2.62737
 852.97554,   3.38664
  17.86973,   1.52412
  31.38301,   1.78592
 982.98323,   3.45661
6263.79230,   4.37577
   3.87832,   0.84709
 320.33658,   2.90442
 290.82449,   2.85698
  27.53647,   1.72362
14961.81863,   4.80952
  86.19302,   2.26587
 261.85755,   2.80559
  21.43745,   1.60695
 225.83932,   2.73329
 291.88470,   2.85868
 130.68995,   2.46687
  18.92716,   1.54771
 366.09651,   2.96900
 641.04992,   3.24481
 304.96425,   2.87926
 167.42976,   2.58602
  94.52027,   2.30831
 160.56716,   2.56528
 165.33579,   2.57917
 284.49514,   2.84467
 607.11835,   3.21763
  70.67216,   2.16756
19211.88818,   4.93402
3099.84177,   4.02546
 360.20575,   2.96058
20175.27794,   4.95842
2000.90246,   3.80802
  51.65970,   2.01753
 337.73006,   2.92896
4016.60689,   4.15427
5869.14921,   4.34323
27147.69988,   5.10661
 106.81831,   2.36852
466647.38495,   6.52717
7772.93443,   4.48311
11640.85711,   4.68433
 290.19116,   2.85551
 412.71452,   3.02842
4034672.27087,   7.60539
11519.75895,   4.67920
11743.31174,   4.68878
2452.14977,   3.90948
122715.20888,   5.85982
3883.46481,   4.13790
125741.07736,   5.87199
36307.82657,   5.25175
16165.06730,   4.84808
343475.68077,   6.37404
8419.03093,   4.52298
5692.36506,   4.32812
223358.23571,   6.15902
11064.92507,   4.65913
43256.93998,   5.33917
6528.69408,   4.39641
27972.54784,   5.12167
150652.52864,   5.96232
18803.82906,   4.92377
21145.02955,   4.98229
15063.40925,   4.81332
77988.00408,   5.63362
1350144.34382,   7.05822
3197717.41517,   7.48922
593648.96565,   6.64759
2607278.58332,   7.38719
2929831.89354,   7.44552
2164801.00073,   7.29426
23939795.73030,   8.49567
29280247.25559,   8.59635
883073641.22713,  10.29949
1057203339.97214,  10.38947
484153423.17907,   9.99899
141323835.53808,   9.38335
3835699.96807,   7.58035
5774521.68042,   7.78482
128054242.88434,   9.33406
56744223.75272,   8.92714
18018639.08789,   8.35365
239497.92442,   6.19485
729154.12242,   6.75080
2687216.49311,   7.40252
2478685.99602,   7.36215
473501.84580,   6.53519
2460914.31079,   7.35856
10112392.85698,   8.06490
801271.36107,   6.79794
3567611.49615,   7.54416
5086563.62329,   7.72144
1144861.25324,   6.97621
807908.32254,   6.80207
5904100.85868,   7.79594
1019106.26992,   6.91809
6285479.72790,   7.82723
982199.65384,   6.89966
27645.05174,   5.11885
3278.23225,   4.06273
25517.71592,   5.07904
37205.13174,   5.26664
261753.61901,   6.23929
117502.70636,   5.83968
515176.69418,   6.57737
