MSE, Q-LIKE
   0.00002,  -0.71992
   0.00002,  -0.71990
   0.00001,  -0.73072
   0.00000,  -0.74645
   0.00000,  -0.74703
   0.00000,  -0.74660
   0.00000,  -0.74446
   0.00000,  -0.74667
   0.00000,  -0.74845
   0.00039,  -0.63138
   0.00039,  -0.63195
   0.00039,  -0.63153
   0.00036,  -0.63572
   0.00037,  -0.63463
   0.00037,  -0.63448
   0.00037,  -0.63488
   0.00030,  -0.64548
   0.00030,  -0.64593
   0.00030,  -0.64566
   0.00031,  -0.64483
   0.00030,  -0.64630
   0.00028,  -0.64979
   0.00026,  -0.65220
   0.00026,  -0.65257
   0.00026,  -0.65253
   0.00019,  -0.66678
   0.00019,  -0.66680
   0.00013,  -0.68098
   0.00010,  -0.68688
   0.00008,  -0.69530
   0.00007,  -0.69805
   0.00006,  -0.70201
   0.00006,  -0.70228
   0.00005,  -0.70367
   0.00003,  -0.71463
   0.00003,  -0.71517
   0.00003,  -0.71620
   0.00003,  -0.71428
   0.00003,  -0.71396
   0.00003,  -0.71381
   0.00001,  -0.72472
   0.00001,  -0.72487
   0.00001,  -0.72600
   0.00001,  -0.72640
   0.00001,  -0.73031
   0.00001,  -0.73063
   0.00001,  -0.73098
   0.00001,  -0.73196
   0.00001,  -0.73203
   0.00001,  -0.73087
   0.00001,  -0.73048
   0.00000,  -0.73474
   0.00000,  -0.73682
   0.00000,  -0.75218
   0.00003,  -0.77728
   0.00004,  -0.77959
   0.00004,  -0.77976
   0.00004,  -0.78211
   0.00006,  -0.78930
   0.00008,  -0.79514
   0.00013,  -0.80934
   0.00011,  -0.80543
   0.00011,  -0.80403
   0.00011,  -0.80397
   0.00010,  -0.80227
   0.00010,  -0.80187
   0.00010,  -0.80178
   0.00010,  -0.80275
   0.00010,  -0.80163
   0.00009,  -0.79913
   0.00009,  -0.80025
   0.00010,  -0.80358
   0.00000,  -0.75702
   0.00001,  -0.75862
   0.00000,  -0.75783
   0.00000,  -0.75748
   0.00000,  -0.75628
   0.00000,  -0.75665
   0.00000,  -0.75034
   0.00000,  -0.74763
   0.00000,  -0.74681
   0.00001,  -0.73126
   0.00001,  -0.73164
   0.00000,  -0.73276
   0.00000,  -0.73380
   0.00000,  -0.73293
   0.00000,  -0.73360
   0.00000,  -0.73303
   0.00000,  -0.73379
   0.00000,  -0.73365
   0.00001,  -0.73199
   0.00001,  -0.73207
   0.00001,  -0.73089
   0.00001,  -0.73117
   0.00002,  -0.72283
   0.00002,  -0.71864
   0.00006,  -0.69914
   0.00013,  -0.68038
   0.00048,  -0.61919
   0.00052,  -0.61475
   0.00082,  -0.58127
   0.00092,  -0.57159
   0.00101,  -0.56287
   0.00175,  -0.50573
   0.00190,  -0.49528
   0.00266,  -0.44988
   0.00508,  -0.33693
   0.00586,  -0.30670
   0.02804,   0.21381
   0.03611,   0.34307
   0.05070,   0.54432
   0.05229,   0.56437
   0.05290,   0.57193
   0.05295,   0.57264
   0.05505,   0.59853
   0.05519,   0.60018
   0.05790,   0.63278
   0.05800,   0.63397
   0.05842,   0.63901
   0.05895,   0.64524
   0.05992,   0.65662
   0.06020,   0.65993
   0.06085,   0.66747
   0.06257,   0.68734
   0.06279,   0.68977
   0.06379,   0.70125
   0.06502,   0.71512
   0.06553,   0.72078
   0.06560,   0.72158
   0.06737,   0.74125
   0.06758,   0.74350
   0.06906,   0.75973
   0.06930,   0.76238
   0.06915,   0.76077
   0.06908,   0.75994
   0.06911,   0.76029
   0.06912,   0.76044
   0.06936,   0.76298
   0.06943,   0.76375
   0.06943,   0.76380
   0.07065,   0.77700
   0.07223,   0.79387
