MSE, Q-LIKE
   0.00000,  -0.73436
   0.00000,  -0.73221
   0.00000,  -0.73561
   0.00000,  -0.73628
   0.00000,  -0.73576
   0.00000,  -0.73752
   0.00000,  -0.73817
   0.00000,  -0.74044
   0.00000,  -0.74048
   0.00000,  -0.74303
   0.00000,  -0.74444
   0.00000,  -0.74779
   0.00000,  -0.74775
   0.00000,  -0.74007
   0.00000,  -0.73253
   0.00000,  -0.73236
   0.00000,  -0.72459
   0.00000,  -0.72325
   0.00000,  -0.71853
   0.00000,  -0.72023
   0.00000,  -0.72021
   0.00000,  -0.73075
   0.00001,  -0.74631
   0.00000,  -0.74703
   0.00000,  -0.74660
   0.00000,  -0.74446
   0.00000,  -0.74667
   0.00000,  -0.74845
   0.00041,  -0.63110
   0.00025,  -0.63427
   0.00017,  -0.63511
   0.00009,  -0.64003
   0.00005,  -0.63962
   0.00002,  -0.63994
   0.00000,  -0.64050
   0.00000,  -0.65011
   0.00000,  -0.65054
   0.00000,  -0.65029
   0.00000,  -0.64954
   0.00000,  -0.65087
   0.00000,  -0.65406
   0.00000,  -0.65625
   0.00000,  -0.65660
   0.00000,  -0.65656
   0.00001,  -0.66961
   0.00000,  -0.66972
   0.00001,  -0.68287
   0.00000,  -0.68849
   0.00000,  -0.69647
   0.00000,  -0.69912
   0.00000,  -0.70290
   0.00000,  -0.70317
   0.00000,  -0.70450
   0.00000,  -0.71503
   0.00000,  -0.71561
   0.00000,  -0.71661
   0.00000,  -0.71474
   0.00000,  -0.71444
   0.00000,  -0.71428
   0.00000,  -0.72486
   0.00000,  -0.72507
   0.00000,  -0.72618
   0.00000,  -0.72657
   0.00000,  -0.73041
   0.00000,  -0.73073
   0.00000,  -0.73108
   0.00000,  -0.73204
   0.00000,  -0.73212
   0.00000,  -0.73097
   0.00000,  -0.73058
   0.00000,  -0.73478
   0.00000,  -0.73685
   0.00001,  -0.75208
   0.00002,  -0.77745
   0.00000,  -0.78020
   0.00000,  -0.78038
   0.00000,  -0.78281
   0.00000,  -0.79028
   0.00000,  -0.79642
   0.00001,  -0.81138
   0.00000,  -0.80732
   0.00000,  -0.80584
   0.00000,  -0.80578
   0.00000,  -0.80397
   0.00000,  -0.80354
   0.00000,  -0.80345
   0.00000,  -0.80448
   0.00000,  -0.80329
   0.00000,  -0.80064
   0.00000,  -0.80183
   0.00000,  -0.80535
   0.00007,  -0.75589
   0.00002,  -0.75842
   0.00000,  -0.75783
   0.00000,  -0.75756
   0.00000,  -0.75634
   0.00000,  -0.75672
   0.00000,  -0.75033
   0.00000,  -0.74763
   0.00000,  -0.74681
   0.00001,  -0.73124
   0.00000,  -0.73173
   0.00000,  -0.73283
   0.00000,  -0.73386
   0.00000,  -0.73300
   0.00000,  -0.73366
   0.00000,  -0.73311
   0.00000,  -0.73385
   0.00000,  -0.73372
   0.00000,  -0.73207
   0.00000,  -0.73215
   0.00000,  -0.73099
   0.00000,  -0.73127
   0.00000,  -0.72305
   0.00000,  -0.71897
   0.00001,  -0.69999
   0.00001,  -0.68223
   0.00012,  -0.62482
   0.00003,  -0.62211
   0.00007,  -0.59249
   0.00002,  -0.58484
   0.00001,  -0.57761
   0.00012,  -0.52917
   0.00002,  -0.52184
   0.00006,  -0.48577
   0.00042,  -0.39890
   0.00025,  -0.37943
   0.00955,  -0.00917
   0.01164,   0.06059
   0.01749,   0.17589
   0.01533,   0.16823
   0.01285,   0.15566
   0.01021,   0.14100
   0.00860,   0.14264
   0.00595,   0.13071
   0.00471,   0.13848
   0.00285,   0.13156
   0.00164,   0.12917
   0.00085,   0.12903
   0.00041,   0.13235
   0.00010,   0.13277
   0.00001,   0.13563
   0.00000,   0.14384
   0.00000,   0.14482
   0.00000,   0.14953
   0.00000,   0.15518
   0.00000,   0.15748
   0.00000,   0.15780
   0.00001,   0.16577
   0.00000,   0.16666
   0.00001,   0.17317
   0.00000,   0.17421
   0.00000,   0.17356
   0.00000,   0.17323
   0.00000,   0.17337
   0.00000,   0.17343
   0.00000,   0.17445
   0.00000,   0.17476
   0.00000,   0.17477
   0.00001,   0.18005
   0.00001,   0.18671
   0.31136,   1.44598
   0.27483,   1.35906
   0.24765,   1.30217
   0.22040,   1.25103
   0.19277,   1.20457
   0.16521,   1.16316
   0.13810,   1.12679
   0.11172,   1.09522
   0.08655,   1.06841
   0.06334,   1.04640
   0.04267,   1.02896
   0.02522,   1.01585
   0.01189,   1.00693
   0.00338,   1.00183
   0.00009,   1.00004
   0.00061,   1.00029
   0.00176,   1.00083
   0.00266,   1.00124
   0.00230,   1.00108
   0.00141,   1.00067
