MSE, Q-LIKE
   0.00001,  -0.73422
   0.00000,  -0.73220
   0.00000,  -0.73558
   0.00000,  -0.73628
   0.00000,  -0.73576
   0.00000,  -0.73752
   0.00000,  -0.73817
   0.00000,  -0.74045
   0.00000,  -0.74048
   0.00000,  -0.74302
   0.00000,  -0.74443
   0.00000,  -0.74774
   0.00000,  -0.74775
   0.00000,  -0.74003
   0.00000,  -0.73255
   0.00000,  -0.73235
   0.00000,  -0.72455
   0.00000,  -0.72324
   0.00000,  -0.71847
   0.00000,  -0.72022
   0.00000,  -0.72021
   0.00001,  -0.73072
   0.00000,  -0.74638
   0.00000,  -0.74703
   0.00000,  -0.74659
   0.00000,  -0.74446
   0.00000,  -0.74667
   0.00000,  -0.74845
   0.00043,  -0.63076
   0.00030,  -0.63345
   0.00019,  -0.63479
   0.00012,  -0.63961
   0.00007,  -0.63926
   0.00003,  -0.63979
   0.00001,  -0.64044
   0.00000,  -0.65012
   0.00000,  -0.65053
   0.00000,  -0.65029
   0.00000,  -0.64953
   0.00000,  -0.65087
   0.00000,  -0.65406
   0.00000,  -0.65625
   0.00000,  -0.65660
   0.00000,  -0.65656
   0.00000,  -0.66965
   0.00000,  -0.66972
   0.00001,  -0.68280
   0.00000,  -0.68848
   0.00000,  -0.69646
   0.00000,  -0.69911
   0.00000,  -0.70290
   0.00000,  -0.70315
   0.00000,  -0.70450
   0.00000,  -0.71504
   0.00000,  -0.71560
   0.00000,  -0.71661
   0.00000,  -0.71474
   0.00000,  -0.71442
   0.00000,  -0.71428
   0.00000,  -0.72488
   0.00000,  -0.72507
   0.00000,  -0.72618
   0.00000,  -0.72658
   0.00000,  -0.73040
   0.00000,  -0.73073
   0.00000,  -0.73108
   0.00000,  -0.73204
   0.00000,  -0.73211
   0.00000,  -0.73097
   0.00000,  -0.73057
   0.00000,  -0.73478
   0.00000,  -0.73685
   0.00000,  -0.75214
   0.00002,  -0.77745
   0.00000,  -0.78015
   0.00000,  -0.78037
   0.00000,  -0.78281
   0.00000,  -0.79022
   0.00000,  -0.79637
   0.00001,  -0.81139
   0.00000,  -0.80733
   0.00000,  -0.80584
   0.00001,  -0.80566
   0.00000,  -0.80397
   0.00000,  -0.80354
   0.00000,  -0.80345
   0.00000,  -0.80447
   0.00000,  -0.80329
   0.00000,  -0.80064
   0.00000,  -0.80183
   0.00000,  -0.80536
   0.00007,  -0.75585
   0.00002,  -0.75841
   0.00001,  -0.75781
   0.00000,  -0.75756
   0.00000,  -0.75634
   0.00000,  -0.75672
   0.00000,  -0.75034
   0.00000,  -0.74763
   0.00000,  -0.74681
   0.00000,  -0.73131
   0.00000,  -0.73171
   0.00000,  -0.73283
   0.00000,  -0.73386
   0.00000,  -0.73300
   0.00000,  -0.73366
   0.00000,  -0.73310
   0.00000,  -0.73384
   0.00000,  -0.73372
   0.00000,  -0.73206
   0.00000,  -0.73215
   0.00000,  -0.73098
   0.00000,  -0.73126
   0.00000,  -0.72304
   0.00000,  -0.71898
   0.00001,  -0.70006
   0.00002,  -0.68208
   0.00013,  -0.62465
   0.00006,  -0.62175
   0.00013,  -0.59169
   0.00004,  -0.58460
   0.00003,  -0.57737
   0.00015,  -0.52872
   0.00001,  -0.52198
   0.00003,  -0.48615
   0.00033,  -0.39973
   0.00008,  -0.38090
   0.00676,  -0.03116
   0.00612,   0.02287
   0.00858,   0.12121
   0.01091,   0.14170
   0.00091,   0.09773
   0.00291,   0.10627
   0.00003,   0.10673
   0.00030,   0.10828
   0.00080,   0.12326
   0.00085,   0.12433
   0.00009,   0.12402
   0.00134,   0.13072
   0.00007,   0.13132
   0.00004,   0.13261
   0.00068,   0.13770
   0.00007,   0.14401
   0.00001,   0.14485
   0.00018,   0.15005
   0.00004,   0.15529
   0.00013,   0.15784
   0.00001,   0.15783
   0.00019,   0.16626
   0.00000,   0.16665
   0.00014,   0.17352
   0.00001,   0.17423
   0.00001,   0.17360
   0.00000,   0.17323
   0.00000,   0.17338
   0.00006,   0.17360
   0.00002,   0.17449
   0.00003,   0.17483
   0.00003,   0.17484
   0.00001,   0.18004
   0.00002,   0.18673
