MSE, Q-LIKE
   0.00004,  -0.33029
   0.00004,  -0.32998
   0.00002,  -0.33451
   0.00002,  -0.33792
   0.00024,  -0.29360
   0.00024,  -0.29336
   0.00017,  -0.30319
   0.00015,  -0.30546
   0.00015,  -0.30526
   0.00018,  -0.30176
   0.00017,  -0.30242
   0.00018,  -0.30194
   0.00013,  -0.30954
   0.00009,  -0.31573
   0.00009,  -0.31637
   0.00009,  -0.31596
   0.00009,  -0.31580
   0.00009,  -0.31680
   0.00009,  -0.31671
   0.00009,  -0.31661
   0.00009,  -0.31661
   0.00011,  -0.31329
   0.00005,  -0.32569
   0.00005,  -0.32522
   0.00005,  -0.32505
   0.00005,  -0.32639
   0.00005,  -0.32675
   0.00013,  -0.30920
   0.00014,  -0.30801
   0.00012,  -0.31163
   0.00010,  -0.31408
   0.00009,  -0.31621
   0.00009,  -0.31632
   0.00011,  -0.31338
   0.00010,  -0.31527
   0.00008,  -0.31765
   0.00005,  -0.32671
   0.00005,  -0.32694
   0.00005,  -0.32623
   0.00004,  -0.32792
   0.00003,  -0.33284
   0.00003,  -0.33307
   0.00001,  -0.33828
   0.00001,  -0.33869
   0.00001,  -0.33865
   0.00001,  -0.33894
   0.00001,  -0.33885
   0.00001,  -0.34052
   0.00000,  -0.34572
   0.00000,  -0.34843
   0.00000,  -0.34918
   0.00000,  -0.35677
   0.00000,  -0.35876
   0.00001,  -0.36302
   0.00004,  -0.37696
   0.00004,  -0.37771
   0.00004,  -0.37722
   0.00004,  -0.37814
   0.00006,  -0.38218
   0.00008,  -0.38754
   0.00008,  -0.38816
   0.00008,  -0.38780
   0.00007,  -0.38588
   0.00007,  -0.38555
   0.00007,  -0.38565
   0.00004,  -0.37827
   0.00004,  -0.37782
   0.00005,  -0.38112
   0.00006,  -0.38189
   0.00005,  -0.38176
   0.00007,  -0.38495
   0.00007,  -0.38495
   0.00007,  -0.38496
   0.00005,  -0.38099
   0.00003,  -0.37414
   0.00003,  -0.37407
   0.00003,  -0.37320
   0.00003,  -0.37375
   0.00001,  -0.36641
   0.00001,  -0.36641
   0.00001,  -0.36193
   0.00001,  -0.34258
   0.00001,  -0.34257
   0.00001,  -0.34162
   0.00000,  -0.34663
   0.00000,  -0.34811
   0.00001,  -0.33913
   0.00001,  -0.33896
   0.00002,  -0.33810
   0.00001,  -0.34056
   0.00001,  -0.33991
   0.00001,  -0.33912
   0.00001,  -0.34015
   0.00026,  -0.29140
   0.00044,  -0.27206
   0.00044,  -0.27231
   0.00034,  -0.28138
   0.00028,  -0.28854
   0.00061,  -0.25770
   0.00062,  -0.25663
   0.00174,  -0.19167
   0.00180,  -0.18888
   0.00179,  -0.18958
   0.00199,  -0.18043
   0.00199,  -0.18063
   0.00198,  -0.18089
   0.00371,  -0.11734
   0.00527,  -0.07223
   0.01518,   0.12358
   0.01734,   0.15640
   0.02220,   0.22335
   0.02202,   0.22103
   0.02340,   0.23872
   0.02451,   0.25267
   0.03025,   0.31987
   0.03189,   0.33785
   0.03489,   0.36966
   0.03604,   0.38148
   0.03641,   0.38518
   0.03641,   0.38522
   0.03745,   0.39573
   0.03751,   0.39632
   0.03843,   0.40541
   0.04115,   0.43176
   0.04115,   0.43177
   0.04376,   0.45628
   0.04379,   0.45658
   0.04290,   0.44836
   0.04190,   0.43893
   0.04220,   0.44177
   0.04285,   0.44782
   0.04302,   0.44940
   0.04323,   0.45141
   0.04338,   0.45283
   0.04333,   0.45235
   0.04370,   0.45576
   0.04387,   0.45737
   0.04361,   0.45493
   0.04379,   0.45662
   0.04363,   0.45509
   0.04372,   0.45597
   0.04409,   0.45934
