MSE, Q-LIKE
   0.00000,  -0.34611
   0.00000,  -0.34340
   0.00000,  -0.34419
   0.00000,  -0.34375
   0.00000,  -0.34349
   0.00000,  -0.34276
   0.00000,  -0.34324
   0.00000,  -0.34118
   0.00000,  -0.33931
   0.00000,  -0.33833
   0.00000,  -0.33322
   0.00000,  -0.33325
   0.00000,  -0.33288
   0.00000,  -0.33314
   0.00000,  -0.33420
   0.00000,  -0.33428
   0.00000,  -0.33105
   0.00000,  -0.33124
   0.00000,  -0.33121
   0.00000,  -0.33055
   0.00000,  -0.33024
   0.00000,  -0.33467
   0.00000,  -0.33802
   0.00014,  -0.29431
   0.00003,  -0.29486
   0.00000,  -0.30440
   0.00000,  -0.30657
   0.00000,  -0.30638
   0.00000,  -0.30304
   0.00000,  -0.30366
   0.00000,  -0.30321
   0.00001,  -0.31043
   0.00000,  -0.31640
   0.00000,  -0.31703
   0.00000,  -0.31664
   0.00000,  -0.31648
   0.00000,  -0.31744
   0.00000,  -0.31736
   0.00000,  -0.31727
   0.00000,  -0.31726
   0.00000,  -0.31406
   0.00001,  -0.32598
   0.00000,  -0.32560
   0.00000,  -0.32544
   0.00000,  -0.32674
   0.00000,  -0.32710
   0.00002,  -0.30999
   0.00000,  -0.30900
   0.00000,  -0.31246
   0.00000,  -0.31482
   0.00000,  -0.31687
   0.00000,  -0.31698
   0.00000,  -0.31414
   0.00000,  -0.31597
   0.00000,  -0.31826
   0.00000,  -0.32702
   0.00000,  -0.32728
   0.00000,  -0.32658
   0.00000,  -0.32823
   0.00000,  -0.33303
   0.00000,  -0.33327
   0.00000,  -0.33837
   0.00000,  -0.33879
   0.00000,  -0.33875
   0.00000,  -0.33904
   0.00000,  -0.33896
   0.00000,  -0.34060
   0.00000,  -0.34574
   0.00000,  -0.34844
   0.00000,  -0.34918
   0.00000,  -0.35675
   0.00000,  -0.35877
   0.00000,  -0.36306
   0.00001,  -0.37715
   0.00000,  -0.37802
   0.00000,  -0.37752
   0.00000,  -0.37845
   0.00000,  -0.38261
   0.00000,  -0.38813
   0.00000,  -0.38878
   0.00000,  -0.38841
   0.00000,  -0.38643
   0.00000,  -0.38609
   0.00000,  -0.38619
   0.00000,  -0.37856
   0.00000,  -0.37813
   0.00000,  -0.38151
   0.00000,  -0.38231
   0.00000,  -0.38218
   0.00000,  -0.38546
   0.00000,  -0.38546
   0.00000,  -0.38547
   0.00000,  -0.38138
   0.00000,  -0.37433
   0.00000,  -0.37429
   0.00000,  -0.37341
   0.00000,  -0.37396
   0.00000,  -0.36647
   0.00000,  -0.36650
   0.00000,  -0.36196
   0.00003,  -0.34245
   0.00000,  -0.34262
   0.00000,  -0.34169
   0.00000,  -0.34664
   0.00000,  -0.34812
   0.00000,  -0.33919
   0.00000,  -0.33906
   0.00000,  -0.33822
   0.00000,  -0.34064
   0.00000,  -0.34000
   0.00000,  -0.33922
   0.00000,  -0.34024
   0.00016,  -0.29206
   0.00014,  -0.27426
   0.00005,  -0.27511
   0.00000,  -0.28383
   0.00001,  -0.29050
   0.00006,  -0.26157
   0.00000,  -0.26101
   0.00028,  -0.20178
   0.00006,  -0.20069
   0.00001,  -0.20162
   0.00001,  -0.19375
   0.00000,  -0.19400
   0.00000,  -0.19421
   0.00023,  -0.14021
   0.00019,  -0.10465
   0.00272,   0.04801
   0.00191,   0.06600
   0.00219,   0.10979
   0.00091,   0.10361
   0.00039,   0.11299
   0.00007,   0.12068
   0.00020,   0.16204
   0.00000,   0.17216
   0.00002,   0.19083
   0.00000,   0.19763
   0.00000,   0.19976
   0.00000,   0.19978
   0.00001,   0.20582
   0.00000,   0.20615
   0.00000,   0.21134
   0.00004,   0.22629
   0.00000,   0.22621
   0.00003,   0.23992
   0.00000,   0.24001
   0.00000,   0.23546
   0.00001,   0.23023
   0.00000,   0.23179
   0.00001,   0.23518
   0.00000,   0.23604
   0.00000,   0.23715
   0.00000,   0.23794
   0.00000,   0.23767
   0.00000,   0.23956
   0.00000,   0.24045
   0.00000,   0.23910
   0.00000,   0.24003
   0.00000,   0.23918
   0.00000,   0.23968
   0.00000,   0.24153
   0.28346,   1.37847
   0.24779,   1.30246
   0.22137,   1.25275
   0.19500,   1.20813
   0.16837,   1.16767
   0.14196,   1.13171
   0.11613,   1.10025
   0.09126,   1.07319
   0.06790,   1.05052
   0.04684,   1.03231
   0.02875,   1.01838
   0.01441,   1.00854
   0.00474,   1.00261
   0.00033,   1.00017
   0.00044,   1.00021
   0.00174,   1.00082
   0.00342,   1.00158
   0.00461,   1.00211
   0.00407,   1.00187
   0.00287,   1.00134
