MSE, Q-LIKE
   0.00002,  -0.34594
   0.00000,  -0.34337
   0.00000,  -0.34417
   0.00001,  -0.34371
   0.00000,  -0.34348
   0.00000,  -0.34276
   0.00000,  -0.34324
   0.00001,  -0.34113
   0.00000,  -0.33931
   0.00001,  -0.33830
   0.00000,  -0.33324
   0.00001,  -0.33321
   0.00000,  -0.33288
   0.00000,  -0.33312
   0.00000,  -0.33419
   0.00001,  -0.33423
   0.00001,  -0.33097
   0.00000,  -0.33124
   0.00001,  -0.33116
   0.00000,  -0.33054
   0.00000,  -0.33024
   0.00000,  -0.33466
   0.00000,  -0.33802
   0.00015,  -0.29426
   0.00005,  -0.29475
   0.00000,  -0.30440
   0.00000,  -0.30655
   0.00000,  -0.30638
   0.00000,  -0.30303
   0.00000,  -0.30363
   0.00000,  -0.30320
   0.00000,  -0.31046
   0.00000,  -0.31642
   0.00000,  -0.31703
   0.00000,  -0.31661
   0.00000,  -0.31648
   0.00001,  -0.31741
   0.00000,  -0.31734
   0.00002,  -0.31716
   0.00001,  -0.31721
   0.00000,  -0.31407
   0.00002,  -0.32591
   0.00000,  -0.32560
   0.00000,  -0.32543
   0.00000,  -0.32671
   0.00000,  -0.32709
   0.00001,  -0.31008
   0.00000,  -0.30900
   0.00000,  -0.31246
   0.00000,  -0.31480
   0.00000,  -0.31687
   0.00000,  -0.31696
   0.00000,  -0.31415
   0.00000,  -0.31597
   0.00001,  -0.31817
   0.00001,  -0.32701
   0.00000,  -0.32728
   0.00000,  -0.32656
   0.00000,  -0.32823
   0.00000,  -0.33304
   0.00000,  -0.33327
   0.00000,  -0.33839
   0.00000,  -0.33879
   0.00000,  -0.33875
   0.00000,  -0.33902
   0.00000,  -0.33895
   0.00000,  -0.34059
   0.00000,  -0.34575
   0.00000,  -0.34844
   0.00001,  -0.34912
   0.00000,  -0.35676
   0.00000,  -0.35877
   0.00000,  -0.36306
   0.00002,  -0.37709
   0.00000,  -0.37799
   0.00000,  -0.37752
   0.00000,  -0.37845
   0.00001,  -0.38254
   0.00001,  -0.38804
   0.00000,  -0.38878
   0.00000,  -0.38841
   0.00000,  -0.38642
   0.00003,  -0.38582
   0.00000,  -0.38619
   0.00001,  -0.37855
   0.00000,  -0.37813
   0.00000,  -0.38149
   0.00000,  -0.38231
   0.00000,  -0.38218
   0.00000,  -0.38546
   0.00000,  -0.38546
   0.00000,  -0.38547
   0.00000,  -0.38139
   0.00000,  -0.37432
   0.00000,  -0.37428
   0.00000,  -0.37341
   0.00000,  -0.37395
   0.00000,  -0.36647
   0.00000,  -0.36650
   0.00000,  -0.36196
   0.00001,  -0.34259
   0.00000,  -0.34262
   0.00000,  -0.34168
   0.00000,  -0.34665
   0.00000,  -0.34812
   0.00000,  -0.33920
   0.00000,  -0.33906
   0.00000,  -0.33819
   0.00000,  -0.34061
   0.00001,  -0.33995
   0.00000,  -0.33921
   0.00000,  -0.34024
   0.00018,  -0.29197
   0.00016,  -0.27412
   0.00005,  -0.27507
   0.00000,  -0.28383
   0.00000,  -0.29053
   0.00008,  -0.26150
   0.00001,  -0.26096
   0.00042,  -0.20090
   0.00008,  -0.20062
   0.00002,  -0.20155
   0.00002,  -0.19370
   0.00001,  -0.19397
   0.00003,  -0.19404
   0.00010,  -0.14092
   0.00028,  -0.10420
   0.00162,   0.04313
   0.00075,   0.06136
   0.00065,   0.10417
   0.00136,   0.10523
   0.00478,   0.12321
   0.00003,   0.12057
   0.00057,   0.16288
   0.00000,   0.17215
   0.00105,   0.19321
   0.00001,   0.19765
   0.00022,   0.20029
   0.00012,   0.20009
   0.00001,   0.20584
   0.00007,   0.20632
   0.00015,   0.21171
   0.00001,   0.22623
   0.00006,   0.22634
   0.00016,   0.24022
   0.00000,   0.24001
   0.00001,   0.23547
   0.00003,   0.23028
   0.00006,   0.23193
   0.00000,   0.23516
   0.00006,   0.23617
   0.00000,   0.23715
   0.00000,   0.23794
   0.00000,   0.23767
   0.00001,   0.23958
   0.00004,   0.24054
   0.00000,   0.23911
   0.00003,   0.24009
   0.00001,   0.23920
   0.00000,   0.23968
   0.00000,   0.24153
