MSE, Q-LIKE
7321.83846,   4.45470
7214.13196,   4.44733
   4.18348,   0.92407
7382.32837,   4.45879
  58.30385,   2.09201
 566.82737,   3.18929
 950.05850,   3.44318
 449.72422,   3.07596
 733.05411,   3.31556
2206.06024,   3.85928
3561.14093,   4.09663
2151.47630,   3.84682
26989.14893,   5.10439
3496.18567,   4.08746
64932.85850,   5.54240
200039.49022,   6.10419
22295.20529,   5.00923
2490688.92955,   7.36434
105157.91411,   5.78308
38701.81460,   5.28424
158382.73616,   5.98758
84483.78788,   5.67381
134273.02029,   5.90513
27186.91730,   5.10817
484444.67226,   6.54607
240784.91871,   6.19681
56215.77232,   5.47051
4204.76034,   4.17940
25592.98720,   5.07807
34628.78085,   5.22883
6953.54563,   4.42931
465939.97149,   6.52662
8793.55880,   4.54606
4848.24162,   4.25014
 875.55964,   3.40374
85976.18905,   5.68257
23132.69427,   5.02770
19969.14226,   4.95438
10399.32681,   4.62948
55442.71465,   5.46362
19338.03845,   4.93841
192777.61321,   6.08576
437385.07946,   6.49502
19040.79530,   4.93070
29929.33620,   5.15611
56203.52948,   5.47042
34461.65493,   5.22642
 786.67637,   3.35118
9344.80085,   4.57632
2947.92325,   4.00337
28507.70650,   5.13185
 782.93909,   3.34882
4378.46945,   4.19957
15820.69537,   4.83841
3861.53916,   4.13725
13911.47947,   4.77439
304402.49783,   6.31394
71412.75015,   5.58996
36274.25000,   5.25201
12120.21451,   4.70578
6477.02505,   4.39409
3410.16866,   4.07564
36405.87624,   5.25376
10426.41942,   4.63074
6633.17227,   4.40570
 985.23992,   3.46134
1682.04969,   3.72520
 257.67653,   2.80461
  28.51568,   1.75944
4139.06510,   4.17138
15087.59763,   4.81463
62528.28409,   5.52357
162799.38190,   6.00129
127197.95312,   5.87803
112840.65382,   5.81822
17011.20342,   4.87429
33771.13608,   5.21614
2957.63827,   4.00428
2702.77737,   3.95958
6706.67971,   4.41088
12526.98359,   4.72181
36411.49500,   5.25366
1038.06708,   3.48627
108221.54400,   5.79732
2409.52268,   3.90260
36723.28647,   5.25787
 423.93632,   3.04597
 897.87824,   3.41460
29226.39980,   5.14397
  88.84717,   2.28919
  58.28607,   2.08799
117976.05168,   5.84037
5380.86628,   4.30116
24814.63381,   5.06232
6442.14372,   4.39064
2377.26949,   3.89562
1480.18141,   3.66088
4553.12427,   4.21802
2289.05367,   3.87670
42164.06645,   5.32670
  58.28802,   2.08512
5038.77878,   4.26818
 790.48761,   3.35057
   2.28957,   0.65653
  58.13101,   2.08309
 509.63592,   3.13454
 260.11338,   2.80531
  18.77392,   1.55572
12552.01228,   4.72236
1666.83984,   3.71903
1327.77637,   3.60646
1184.97099,   3.55014
1601.70339,   3.69906
1337.83737,   3.60989
 676.95210,   3.27264
 336.37282,   2.92865
1384.05196,   3.62605
 437.69183,   3.05789
8229.82714,   4.51174
 117.16569,   2.41413
16441.78223,   4.85648
2811.17916,   3.97714
 300.67092,   2.87274
4128.08261,   4.16813
3760.76529,   4.12179
9263.80630,   4.57051
16057.20188,   4.84467
2935.36189,   3.99866
1775.89977,   3.74921
3252.62777,   4.04969
 434.13600,   3.05327
5421.60485,   4.30379
 295.31716,   2.86410
1665.14612,   3.71734
 813.75015,   3.36303
11138.18103,   4.66235
11762.60513,   4.68954
5953.42738,   4.35035
10506.82827,   4.63337
4790.91031,   4.24228
12584.85211,   4.72324
52262.36466,   5.43355
548384.43591,   6.60784
14207.10635,   4.78368
5845.78528,   4.34131
131948.03585,   5.89605
10116.86061,   4.61448
2441.10976,   3.90720
35548.55582,   5.24120
1183953.02942,   6.99251
40258.04515,   5.30329
5513.22559,   4.31220
21128.55194,   4.98162
4734.50479,   4.23664
727645.80853,   6.74923
20563.60679,   4.96831
15797.08670,   4.83690
2358.12245,   3.89086
27397.10120,   5.11155
14266.56822,   4.78629
399097.01963,   6.44915
363544.83736,   6.40254
504907.45584,   6.56667
671513.33776,   6.70920
278601.07018,   6.26966
3700424.53685,   7.56223
2872206.77533,   7.43560
10169136.24748,   8.06760
45404792.41303,   8.81566
166008460.54212,   9.46382
56588202.29249,   8.92574
13238060.35712,   8.19948
4945295.20116,   7.70726
1670012.67901,   7.16468
9055195.69154,   8.00966
62399459.85289,   8.97462
41944048.64872,   8.77603
2065517.15502,   7.27095
10258822.39431,   8.07205
12757669.65424,   8.18102
3328882.16194,   7.50947
5804010.61937,   7.78733
6744684.13328,   7.86242
14773583.10364,   8.25438
21769957.32656,   8.44819
16670214.41638,   8.31476
837959.11068,   6.82021
794601.67203,   6.79367
4337300.36149,   7.64175
5882216.54414,   7.79405
3213875.69641,   7.49193
2889602.03860,   7.43878
1515550.17158,   7.11629
1996086.13252,   7.25391
1147340.63679,   6.97722
1343889.86412,   7.05623
831618.81756,   6.81644
272896.19861,   6.25995
817220.87401,   6.80771
290105.28868,   6.29050
4020591.79361,   7.60387
1395000.38306,   7.07489
