MSE, Q-LIKE
   0.00002,  -0.40442
   0.00002,  -0.40445
   0.00000,  -0.42467
   0.00000,  -0.42647
   0.00002,  -0.44397
   0.00003,  -0.44773
   0.00006,  -0.45649
   0.00005,  -0.45500
   0.00007,  -0.45980
   0.00004,  -0.45028
   0.00004,  -0.45034
   0.00002,  -0.44511
   0.00006,  -0.45640
   0.00014,  -0.47338
   0.00015,  -0.47577
   0.00019,  -0.48147
   0.00020,  -0.48291
   0.00028,  -0.49424
   0.00030,  -0.49675
   0.00029,  -0.49517
   0.00029,  -0.49516
   0.00028,  -0.49485
   0.00034,  -0.50165
   0.00034,  -0.50165
   0.00035,  -0.50257
   0.00043,  -0.51137
   0.00043,  -0.51132
   0.00043,  -0.51138
   0.00046,  -0.51427
   0.00045,  -0.51335
   0.00062,  -0.52865
   0.00063,  -0.52877
   0.00063,  -0.52908
   0.00064,  -0.53018
   0.00069,  -0.53418
   0.00068,  -0.53346
   0.00088,  -0.54785
   0.00088,  -0.54832
   0.00093,  -0.55136
   0.00099,  -0.55552
   0.00133,  -0.57638
   0.00138,  -0.57906
   0.00154,  -0.58790
   0.00154,  -0.58787
   0.00155,  -0.58863
   0.00156,  -0.58895
   0.00153,  -0.58745
   0.00160,  -0.59106
   0.00177,  -0.59960
   0.00178,  -0.60007
   0.00180,  -0.60100
   0.00188,  -0.60510
   0.00219,  -0.61939
   0.00231,  -0.62474
   0.00356,  -0.67273
   0.00360,  -0.67442
   0.00360,  -0.67439
   0.00362,  -0.67481
   0.00355,  -0.67243
   0.00402,  -0.68841
   0.00464,  -0.70801
   0.00474,  -0.71112
   0.00465,  -0.70836
   0.00468,  -0.70928
   0.00468,  -0.70927
   0.00468,  -0.70914
   0.00470,  -0.70993
   0.00458,  -0.70624
   0.00458,  -0.70605
   0.00447,  -0.70265
   0.00444,  -0.70184
   0.00445,  -0.70211
   0.00445,  -0.70230
   0.00443,  -0.70146
   0.00432,  -0.69801
   0.00448,  -0.70312
   0.00449,  -0.70328
   0.00452,  -0.70437
   0.00386,  -0.68319
   0.00431,  -0.69768
   0.00428,  -0.69671
   0.00428,  -0.69680
   0.00431,  -0.69771
   0.00435,  -0.69901
   0.00427,  -0.69655
   0.00422,  -0.69499
   0.00415,  -0.69270
   0.00418,  -0.69366
   0.00413,  -0.69192
   0.00417,  -0.69316
   0.00415,  -0.69260
   0.00411,  -0.69134
   0.00405,  -0.68951
   0.00324,  -0.66146
   0.00239,  -0.62804
   0.00238,  -0.62780
   0.00199,  -0.61047
   0.00198,  -0.60993
   0.00136,  -0.57834
   0.00116,  -0.56649
   0.00087,  -0.54712
   0.00066,  -0.53188
   0.00064,  -0.53027
   0.00016,  -0.47703
   0.00002,  -0.44417
   0.00000,  -0.41814
   0.00019,  -0.36755
   0.00092,  -0.29907
   0.00450,  -0.14610
   0.00481,  -0.13644
   0.00569,  -0.11132
   0.00583,  -0.10733
   0.00611,  -0.09993
   0.00760,  -0.06239
   0.01256,   0.04103
   0.01316,   0.05210
   0.01374,   0.06245
   0.01440,   0.07397
   0.01456,   0.07685
   0.01480,   0.08094
   0.01568,   0.09579
   0.01594,   0.10003
   0.01638,   0.10715
   0.02072,   0.17362
   0.02073,   0.17377
   0.02124,   0.18101
   0.02124,   0.18110
   0.02153,   0.18514
   0.02189,   0.19016
   0.02288,   0.20403
   0.02306,   0.20652
   0.02378,   0.21620
   0.02418,   0.22161
   0.02438,   0.22433
   0.02490,   0.23119
   0.02490,   0.23120
   0.02491,   0.23130
   0.02513,   0.23413
   0.02511,   0.23391
   0.02653,   0.25227
   0.02661,   0.25328
   0.02670,   0.25439
