MSE, Q-LIKE
   0.00000,  -0.41101
   0.00000,  -0.41118
   0.00000,  -0.41108
   0.00000,  -0.41107
   0.00000,  -0.41184
   0.00000,  -0.41246
   0.00000,  -0.41137
   0.00000,  -0.41236
   0.00000,  -0.41247
   0.00000,  -0.41275
   0.00000,  -0.41278
   0.00000,  -0.41199
   0.00000,  -0.41091
   0.00000,  -0.40958
   0.00000,  -0.40383
   0.00000,  -0.40193
   0.00000,  -0.39954
   0.00000,  -0.40193
   0.00000,  -0.40095
   0.00000,  -0.40462
   0.00000,  -0.40466
   0.00003,  -0.42446
   0.00000,  -0.42646
   0.00001,  -0.44403
   0.00000,  -0.44798
   0.00000,  -0.45697
   0.00000,  -0.45546
   0.00000,  -0.46042
   0.00000,  -0.45057
   0.00000,  -0.45067
   0.00000,  -0.44531
   0.00001,  -0.45683
   0.00002,  -0.47445
   0.00000,  -0.47710
   0.00000,  -0.48311
   0.00000,  -0.48466
   0.00001,  -0.49668
   0.00000,  -0.49946
   0.00000,  -0.49777
   0.00000,  -0.49776
   0.00000,  -0.49743
   0.00000,  -0.50473
   0.00000,  -0.50476
   0.00000,  -0.50575
   0.00000,  -0.51531
   0.00000,  -0.51529
   0.00000,  -0.51536
   0.00000,  -0.51852
   0.00000,  -0.51751
   0.00001,  -0.53431
   0.00000,  -0.53458
   0.00000,  -0.53492
   0.00000,  -0.53615
   0.00000,  -0.54063
   0.00000,  -0.53983
   0.00001,  -0.55598
   0.00000,  -0.55663
   0.00000,  -0.56011
   0.00000,  -0.56488
   0.00003,  -0.58887
   0.00000,  -0.59230
   0.00001,  -0.60277
   0.00000,  -0.60280
   0.00000,  -0.60372
   0.00000,  -0.60411
   0.00000,  -0.60231
   0.00000,  -0.60662
   0.00000,  -0.61688
   0.00000,  -0.61749
   0.00000,  -0.61862
   0.00000,  -0.62359
   0.00001,  -0.64105
   0.00000,  -0.64783
   0.00014,  -0.70778
   0.00003,  -0.71151
   0.00001,  -0.71175
   0.00001,  -0.71240
   0.00000,  -0.70932
   0.00002,  -0.73055
   0.00003,  -0.75730
   0.00001,  -0.76201
   0.00000,  -0.75825
   0.00000,  -0.75954
   0.00000,  -0.75951
   0.00000,  -0.75933
   0.00000,  -0.76044
   0.00000,  -0.75528
   0.00000,  -0.75503
   0.00000,  -0.75031
   0.00000,  -0.74919
   0.00000,  -0.74956
   0.00000,  -0.74982
   0.00000,  -0.74867
   0.00000,  -0.74389
   0.00000,  -0.75094
   0.00000,  -0.75118
   0.00000,  -0.75270
   0.00003,  -0.72330
   0.00000,  -0.74339
   0.00000,  -0.74212
   0.00000,  -0.74224
   0.00000,  -0.74350
   0.00000,  -0.74529
   0.00000,  -0.74189
   0.00000,  -0.73976
   0.00000,  -0.73663
   0.00000,  -0.73794
   0.00000,  -0.73556
   0.00000,  -0.73725
   0.00000,  -0.73649
   0.00000,  -0.73477
   0.00000,  -0.73228
   0.00005,  -0.69410
   0.00012,  -0.65029
   0.00005,  -0.65105
   0.00007,  -0.62922
   0.00001,  -0.62935
   0.00008,  -0.59049
   0.00003,  -0.57723
   0.00004,  -0.55482
   0.00002,  -0.53785
   0.00000,  -0.53624
   0.00017,  -0.47664
   0.00014,  -0.44305
   0.00010,  -0.41728
   0.00019,  -0.36753
   0.00037,  -0.30360
   0.00192,  -0.16649
   0.00099,  -0.16550
   0.00063,  -0.14858
   0.00016,  -0.14825
   0.00001,  -0.14346
   0.00002,  -0.11546
   0.00046,  -0.04036
   0.00002,  -0.03478
   0.00000,  -0.02787
   0.00001,  -0.02013
   0.00002,  -0.01817
   0.00001,  -0.01549
   0.00000,  -0.00570
   0.00000,  -0.00292
   0.00000,   0.00174
   0.00023,   0.04504
   0.00000,   0.04431
   0.00000,   0.04882
   0.00000,   0.04888
   0.00000,   0.05139
   0.00000,   0.05450
   0.00001,   0.06308
   0.00000,   0.06459
   0.00000,   0.07051
   0.00000,   0.07379
   0.00000,   0.07544
   0.00000,   0.07960
   0.00000,   0.07959
   0.00000,   0.07966
   0.00000,   0.08137
   0.00000,   0.08123
   0.00002,   0.09231
   0.00001,   0.09285
   0.00000,   0.09350
   0.35690,   1.57408
   0.31696,   1.46048
   0.28692,   1.38643
   0.25654,   1.32010
   0.22544,   1.26007
   0.19418,   1.20682
   0.16313,   1.16022
   0.13264,   1.11995
   0.10332,   1.08592
   0.07607,   1.05815
   0.05160,   1.03624
   0.03075,   1.01984
   0.01467,   1.00871
   0.00427,   1.00233
   0.00013,   1.00006
   0.00079,   1.00038
   0.00248,   1.00116
   0.00393,   1.00181
   0.00366,   1.00169
   0.00258,   1.00121
