MSE, Q-LIKE
   0.00002,  -0.41082
   0.00000,  -0.41117
   0.00000,  -0.41106
   0.00000,  -0.41106
   0.00000,  -0.41184
   0.00000,  -0.41246
   0.00000,  -0.41137
   0.00000,  -0.41235
   0.00000,  -0.41247
   0.00000,  -0.41272
   0.00000,  -0.41278
   0.00000,  -0.41195
   0.00000,  -0.41091
   0.00000,  -0.40956
   0.00000,  -0.40385
   0.00001,  -0.40188
   0.00001,  -0.39950
   0.00000,  -0.40193
   0.00001,  -0.40089
   0.00000,  -0.40459
   0.00000,  -0.40465
   0.00003,  -0.42440
   0.00000,  -0.42648
   0.00002,  -0.44402
   0.00000,  -0.44799
   0.00001,  -0.45695
   0.00000,  -0.45544
   0.00000,  -0.46042
   0.00001,  -0.45055
   0.00000,  -0.45063
   0.00000,  -0.44527
   0.00000,  -0.45688
   0.00001,  -0.47452
   0.00000,  -0.47710
   0.00001,  -0.48307
   0.00000,  -0.48466
   0.00002,  -0.49661
   0.00001,  -0.49941
   0.00000,  -0.49774
   0.00000,  -0.49773
   0.00000,  -0.49743
   0.00000,  -0.50473
   0.00000,  -0.50476
   0.00000,  -0.50575
   0.00000,  -0.51535
   0.00000,  -0.51529
   0.00000,  -0.51535
   0.00000,  -0.51850
   0.00000,  -0.51751
   0.00002,  -0.53422
   0.00000,  -0.53458
   0.00000,  -0.53489
   0.00000,  -0.53614
   0.00000,  -0.54063
   0.00000,  -0.53981
   0.00001,  -0.55596
   0.00000,  -0.55663
   0.00000,  -0.56011
   0.00000,  -0.56489
   0.00003,  -0.58887
   0.00000,  -0.59229
   0.00000,  -0.60282
   0.00000,  -0.60280
   0.00000,  -0.60371
   0.00000,  -0.60410
   0.00000,  -0.60231
   0.00000,  -0.60661
   0.00000,  -0.61690
   0.00000,  -0.61749
   0.00000,  -0.61858
   0.00000,  -0.62360
   0.00001,  -0.64108
   0.00000,  -0.64786
   0.00015,  -0.70766
   0.00006,  -0.71113
   0.00002,  -0.71155
   0.00001,  -0.71237
   0.00000,  -0.70927
   0.00003,  -0.73036
   0.00003,  -0.75728
   0.00001,  -0.76195
   0.00000,  -0.75821
   0.00002,  -0.75918
   0.00000,  -0.75951
   0.00000,  -0.75933
   0.00000,  -0.76044
   0.00000,  -0.75529
   0.00000,  -0.75503
   0.00000,  -0.75029
   0.00000,  -0.74918
   0.00000,  -0.74956
   0.00000,  -0.74982
   0.00000,  -0.74867
   0.00000,  -0.74389
   0.00000,  -0.75093
   0.00000,  -0.75118
   0.00000,  -0.75269
   0.00002,  -0.72333
   0.00000,  -0.74339
   0.00000,  -0.74212
   0.00000,  -0.74219
   0.00000,  -0.74347
   0.00000,  -0.74529
   0.00000,  -0.74188
   0.00000,  -0.73976
   0.00000,  -0.73663
   0.00000,  -0.73794
   0.00000,  -0.73555
   0.00000,  -0.73725
   0.00000,  -0.73646
   0.00000,  -0.73477
   0.00000,  -0.73228
   0.00005,  -0.69402
   0.00013,  -0.65012
   0.00005,  -0.65098
   0.00006,  -0.62943
   0.00005,  -0.62885
   0.00012,  -0.58998
   0.00008,  -0.57664
   0.00014,  -0.55361
   0.00004,  -0.53760
   0.00002,  -0.53608
   0.00020,  -0.47632
   0.00006,  -0.44377
   0.00001,  -0.41811
   0.00008,  -0.36844
   0.00028,  -0.30427
   0.00065,  -0.17512
   0.00001,  -0.17141
   0.00004,  -0.15192
   0.00037,  -0.14709
   0.01201,  -0.10383
   0.00001,  -0.11552
   0.00061,  -0.04015
   0.00003,  -0.03475
   0.00239,  -0.02003
   0.00006,  -0.01994
   0.00013,  -0.01777
   0.00030,  -0.01429
   0.00002,  -0.00565
   0.00006,  -0.00271
   0.00021,   0.00255
   0.00016,   0.04478
   0.00002,   0.04436
   0.00012,   0.04922
   0.00000,   0.04887
   0.00008,   0.05167
   0.00002,   0.05458
   0.00019,   0.06371
   0.00000,   0.06458
   0.00007,   0.07074
   0.00000,   0.07379
   0.00001,   0.07547
   0.00001,   0.07961
   0.00000,   0.07960
   0.00005,   0.07981
   0.00002,   0.08142
   0.00002,   0.08130
   0.00009,   0.09250
   0.00000,   0.09284
   0.00000,   0.09351
