MSE, Q-LIKE
1952.53714,   3.79691
2060.07622,   3.82350
 646.51728,   3.25048
 219.09788,   2.71991
9221.77907,   4.56859
113376.56634,   5.82036
 283.44394,   2.84577
5155.75636,   4.27918
11521.38053,   4.67949
28117.72966,   5.12432
1498.59822,   3.66584
6510.13974,   4.39525
146668.60373,   5.94895
2737.24876,   3.96456
1229.81940,   3.56806
11643.33173,   4.68475
5474.19059,   4.30900
 133.87944,   2.48084
8403.54715,   4.52233
7501.38503,   4.46579
43600.90070,   5.34323
1250.86876,   3.57649
2842.12910,   3.98325
8786.47618,   4.54453
44716.04832,   5.35583
1180.66269,   3.54787
8798.83653,   4.54521
49499.43820,   5.40656
6002.87038,   4.35487
3681.30356,   4.11175
22047.72071,   5.00303
10253.16695,   4.62142
6876.12616,   4.42248
5040.60799,   4.26798
4905.82078,   4.25450
1788.74952,   3.75359
 971.09168,   3.45127
3905.14322,   4.14104
6864.07666,   4.42157
2925.52529,   3.99759
3443.95293,   4.07862
5896.59449,   4.34598
13839.71596,   4.77086
4107.12917,   4.16614
 388.13705,   2.99976
7276.86549,   4.45066
14406.34466,   4.79086
 404.92300,   3.02045
 853.69233,   3.38761
5003.24539,   4.26423
1736.95919,   3.73891
 167.93888,   2.59038
2895.13723,   3.99234
4508.56731,   4.21243
  27.83974,   1.73237
1464.80398,   3.65452
33052.10221,   5.20498
 609.28679,   3.22130
18782.20907,   4.92307
 215.04605,   2.71081
1685.85985,   3.72414
 620.53821,   3.23030
 676.16953,   3.27256
 649.96019,   3.25301
   8.86997,   1.21137
3045.21210,   4.01743
17613.31053,   4.89102
 184.38341,   2.63582
8592.75066,   4.53337
 109.40911,   2.38283
3479.64596,   4.08367
6049.02029,   4.35852
1403.35513,   3.63304
13598.65978,   4.76198
 435.65187,   3.05568
6280.20265,   4.37713
1060.19968,   3.49402
1752.97508,   3.74298
 539.95036,   3.16086
 921.90680,   3.42480
1205.79902,   3.55758
1786.20321,   3.75226
5959.51628,   4.35097
1065.17843,   3.49627
 710.25124,   3.29606
6845.27311,   4.41994
1765.68667,   3.74656
 671.29702,   3.26822
 131.36794,   2.46959
4045.52807,   4.15822
 263.73003,   2.80899
 572.71252,   3.18975
  32.74286,   1.80416
2275.52980,   3.87230
 613.35521,   3.22352
 202.96812,   2.68062
3978.59075,   4.14981
2258.10813,   3.86839
16558.64965,   4.86000
 741.75995,   3.31682
46175.55828,   5.37167
 339.76220,   2.93228
 384.99002,   2.99366
 153.86616,   2.54488
 119.13660,   2.42055
  96.03157,   2.31570
  17.67384,   1.51258
   7.07896,   1.09763
  62.83168,   2.11110
 829.15868,   3.37160
 595.48487,   3.20812
 790.97683,   3.34834
1179.77181,   3.54615
 643.88730,   3.24646
  41.28715,   1.90913
 106.40590,   2.36419
 139.33562,   2.49520
 232.39866,   2.74489
 910.35839,   3.41740
 441.35376,   3.05999
1137.26245,   3.52759
4256.65491,   4.18300
 215.04631,   2.70665
89120.57123,   5.69992
1443.56615,   3.64563
 379.49774,   2.98534
 206.47858,   2.68664
 304.59200,   2.87725
  86.77712,   2.26459
 916.60026,   3.42056
5010.45393,   4.26402
9293.47249,   4.57175
 121.14610,   2.42633
 984.72943,   3.45598
 174.76817,   2.60482
 769.63499,   3.33391
6049.46953,   4.35772
2096.86723,   3.83062
5732.46247,   4.33087
 482.01808,   3.10259
 553.83055,   3.17110
 124.07059,   2.43716
55746.00248,   5.46555
1703.67499,   3.72754
3520.46861,   4.08823
 948.96426,   3.43756
54821.14239,   5.45722
10815.36357,   4.64730
22468.77807,   5.01198
89953.18966,   5.70453
1108.08536,   3.51428
22028.43154,   5.00209
15646.57845,   4.83142
11570.85874,   4.68093
1414.28639,   3.63524
4622.99822,   4.22386
2774.57219,   3.97005
 631.63711,   3.23660
69854.06327,   5.57834
44149.10571,   5.34927
1562314.62947,   7.13112
1129320.07778,   6.96889
2138075.82307,   7.28795
112579.64889,   5.81675
143489.35810,   5.93793
74556.54111,   5.61096
70329.62930,   5.58191
1398797.73679,   7.07590
5034813.49359,   7.71613
7345779.85889,   7.90498
4316168.81115,   7.63915
5883079.25571,   7.79397
243104.73376,   6.20151
854608.49909,   6.82967
1986059.81280,   7.25114
5153825.04501,   7.72782
245069.73604,   6.20558
4857853.54303,   7.69826
7861931.76019,   7.93894
941055.62325,   6.87786
945931.74054,   6.88044
207009.62981,   6.12130
1321321.80045,   7.04748
1599249.29355,   7.14290
1220661.56217,   7.00789
4904779.79890,   7.70308
234003.93344,   6.18254
1362985.39440,   7.06301
155330.71722,   5.97788
140497.07618,   5.92777
730391.97684,   6.75124
174643.05754,   6.03641
81405.29663,   5.65530
104238.43103,   5.77873
18291.70516,   4.91071
300049.89367,   6.30674
256752.86523,   6.22889
9245.40312,   4.57098
71890.83762,   5.59326
50735.25229,   5.41934
6208.10842,   4.37296
18881.25212,   4.92649
