MSE, Q-LIKE
   0.00000,  -0.67176
   0.00000,  -0.67182
   0.00000,  -0.67406
   0.00000,  -0.67877
   0.00000,  -0.67614
   0.00000,  -0.67592
   0.00000,  -0.67592
   0.00000,  -0.67477
   0.00000,  -0.67642
   0.00000,  -0.67664
   0.00000,  -0.67663
   0.00003,  -0.69849
   0.00003,  -0.69843
   0.00003,  -0.70287
   0.00004,  -0.70707
   0.00005,  -0.70980
   0.00009,  -0.72197
   0.00011,  -0.72748
   0.00013,  -0.73166
   0.00013,  -0.73248
   0.00013,  -0.73238
   0.00013,  -0.73179
   0.00011,  -0.72655
   0.00011,  -0.72794
   0.00011,  -0.72768
   0.00011,  -0.72792
   0.00011,  -0.72792
   0.00011,  -0.72812
   0.00011,  -0.72817
   0.00014,  -0.73349
   0.00014,  -0.73416
   0.00017,  -0.73985
   0.00017,  -0.74020
   0.00017,  -0.74082
   0.00017,  -0.74094
   0.00022,  -0.75000
   0.00023,  -0.75145
   0.00023,  -0.75276
   0.00025,  -0.75568
   0.00038,  -0.77582
   0.00038,  -0.77555
   0.00038,  -0.77504
   0.00038,  -0.77570
   0.00039,  -0.77706
   0.00040,  -0.77839
   0.00050,  -0.79088
   0.00050,  -0.79040
   0.00049,  -0.78973
   0.00055,  -0.79629
   0.00054,  -0.79496
   0.00054,  -0.79509
   0.00051,  -0.79210
   0.00050,  -0.79016
   0.00068,  -0.81038
   0.00079,  -0.82090
   0.00081,  -0.82327
   0.00081,  -0.82275
   0.00086,  -0.82721
   0.00085,  -0.82684
   0.00083,  -0.82490
   0.00083,  -0.82485
   0.00081,  -0.82321
   0.00097,  -0.83692
   0.00100,  -0.83944
   0.00101,  -0.84085
   0.00102,  -0.84159
   0.00102,  -0.84151
   0.00102,  -0.84152
   0.00107,  -0.84559
   0.00106,  -0.84506
   0.00107,  -0.84523
   0.00107,  -0.84522
   0.00110,  -0.84815
   0.00113,  -0.85050
   0.00116,  -0.85234
   0.00125,  -0.85988
   0.00143,  -0.87274
   0.00147,  -0.87548
   0.00156,  -0.88189
   0.00144,  -0.87319
   0.00146,  -0.87467
   0.00141,  -0.87131
   0.00142,  -0.87179
   0.00141,  -0.87110
   0.00141,  -0.87150
   0.00124,  -0.85905
   0.00124,  -0.85854
   0.00123,  -0.85776
   0.00124,  -0.85896
   0.00131,  -0.86415
   0.00131,  -0.86411
   0.00132,  -0.86451
   0.00133,  -0.86524
   0.00137,  -0.86812
   0.00131,  -0.86410
   0.00131,  -0.86423
   0.00101,  -0.84025
   0.00095,  -0.83583
   0.00044,  -0.78298
   0.00036,  -0.77241
   0.00019,  -0.74469
   0.00017,  -0.74115
   0.00018,  -0.74251
   0.00015,  -0.73746
   0.00017,  -0.74030
   0.00011,  -0.72641
   0.00001,  -0.65888
   0.00011,  -0.61527
   0.00038,  -0.56829
   0.00083,  -0.51815
   0.00082,  -0.51933
   0.00084,  -0.51740
   0.00099,  -0.50444
   0.00101,  -0.50217
   0.00101,  -0.50217
   0.00100,  -0.50331
   0.00181,  -0.44527
   0.00168,  -0.45319
   0.00194,  -0.43699
   0.00201,  -0.43285
   0.00204,  -0.43127
   0.00241,  -0.41042
   0.00243,  -0.40937
   0.00270,  -0.39492
   0.00271,  -0.39466
   0.00275,  -0.39246
   0.00275,  -0.39238
   0.00279,  -0.39035
   0.00294,  -0.38324
   0.00304,  -0.37834
   0.00307,  -0.37659
   0.00305,  -0.37791
   0.00305,  -0.37774
   0.00316,  -0.37232
   0.00315,  -0.37279
   0.00316,  -0.37225
   0.00306,  -0.37723
   0.00302,  -0.37894
   0.00302,  -0.37915
   0.00302,  -0.37928
   0.00302,  -0.37933
   0.00303,  -0.37871
