MSE, Q-LIKE
   0.00000,  -0.66588
   0.00000,  -0.66513
   0.00000,  -0.66420
   0.00000,  -0.66456
   0.00000,  -0.66463
   0.00000,  -0.66517
   0.00000,  -0.66898
   0.00000,  -0.66979
   0.00000,  -0.67044
   0.00000,  -0.67421
   0.00000,  -0.67554
   0.00000,  -0.67543
   0.00000,  -0.67629
   0.00000,  -0.67537
   0.00000,  -0.67240
   0.00000,  -0.67387
   0.00000,  -0.67102
   0.00000,  -0.67296
   0.00000,  -0.67177
   0.00000,  -0.67176
   0.00000,  -0.67182
   0.00000,  -0.67406
   0.00000,  -0.67878
   0.00000,  -0.67614
   0.00000,  -0.67593
   0.00000,  -0.67593
   0.00000,  -0.67477
   0.00000,  -0.67643
   0.00000,  -0.67666
   0.00000,  -0.67665
   0.00002,  -0.69860
   0.00000,  -0.69879
   0.00000,  -0.70337
   0.00000,  -0.70770
   0.00000,  -0.71055
   0.00000,  -0.72321
   0.00000,  -0.72909
   0.00000,  -0.73353
   0.00000,  -0.73442
   0.00000,  -0.73431
   0.00000,  -0.73368
   0.00000,  -0.72812
   0.00000,  -0.72959
   0.00000,  -0.72932
   0.00000,  -0.72958
   0.00000,  -0.72957
   0.00000,  -0.72979
   0.00000,  -0.72984
   0.00000,  -0.73548
   0.00000,  -0.73621
   0.00000,  -0.74228
   0.00000,  -0.74268
   0.00000,  -0.74334
   0.00000,  -0.74347
   0.00000,  -0.75321
   0.00000,  -0.75483
   0.00000,  -0.75625
   0.00000,  -0.75943
   0.00001,  -0.78144
   0.00000,  -0.78136
   0.00000,  -0.78080
   0.00000,  -0.78154
   0.00000,  -0.78306
   0.00000,  -0.78455
   0.00001,  -0.79852
   0.00000,  -0.79808
   0.00000,  -0.79733
   0.00000,  -0.80477
   0.00000,  -0.80327
   0.00000,  -0.80343
   0.00000,  -0.80002
   0.00000,  -0.79781
   0.00001,  -0.82078
   0.00001,  -0.83319
   0.00000,  -0.83610
   0.00000,  -0.83549
   0.00000,  -0.84075
   0.00000,  -0.84032
   0.00000,  -0.83802
   0.00000,  -0.83798
   0.00000,  -0.83603
   0.00001,  -0.85218
   0.00000,  -0.85535
   0.00000,  -0.85705
   0.00000,  -0.85794
   0.00000,  -0.85785
   0.00000,  -0.85786
   0.00000,  -0.86276
   0.00000,  -0.86213
   0.00000,  -0.86233
   0.00000,  -0.86232
   0.00000,  -0.86587
   0.00000,  -0.86873
   0.00000,  -0.87097
   0.00000,  -0.88019
   0.00001,  -0.89607
   0.00000,  -0.89962
   0.00000,  -0.90769
   0.00000,  -0.89670
   0.00000,  -0.89862
   0.00000,  -0.89440
   0.00000,  -0.89501
   0.00000,  -0.89415
   0.00000,  -0.89465
   0.00001,  -0.87909
   0.00000,  -0.87858
   0.00000,  -0.87762
   0.00000,  -0.87909
   0.00000,  -0.88548
   0.00000,  -0.88545
   0.00000,  -0.88594
   0.00000,  -0.88685
   0.00000,  -0.89043
   0.00000,  -0.88543
   0.00000,  -0.88559
   0.00002,  -0.85589
   0.00000,  -0.85094
   0.00010,  -0.78767
   0.00006,  -0.77668
   0.00010,  -0.74563
   0.00005,  -0.74281
   0.00002,  -0.74488
   0.00001,  -0.73958
   0.00000,  -0.74278
   0.00001,  -0.72788
   0.00016,  -0.65658
   0.00022,  -0.61365
   0.00034,  -0.56882
   0.00048,  -0.52290
   0.00025,  -0.52686
   0.00012,  -0.52682
   0.00007,  -0.51628
   0.00001,  -0.51495
   0.00000,  -0.51507
   0.00000,  -0.51604
   0.00011,  -0.46643
   0.00000,  -0.47402
   0.00001,  -0.46076
   0.00000,  -0.45747
   0.00000,  -0.45620
   0.00001,  -0.43940
   0.00000,  -0.43870
   0.00001,  -0.42725
   0.00000,  -0.42711
   0.00000,  -0.42538
   0.00000,  -0.42533
   0.00000,  -0.42374
   0.00000,  -0.41820
   0.00000,  -0.41440
   0.00000,  -0.41305
   0.00000,  -0.41407
   0.00000,  -0.41394
   0.00000,  -0.40975
   0.00000,  -0.41012
   0.00000,  -0.40971
   0.00000,  -0.41354
   0.00000,  -0.41487
   0.00000,  -0.41503
   0.00000,  -0.41514
   0.00000,  -0.41517
   0.00000,  -0.41469
   0.57333,   2.70295
   0.55481,   2.55346
   0.54057,   2.44805
   0.52581,   2.34658
   0.51019,   2.24716
   0.49376,   2.15042
   0.47646,   2.05652
   0.45824,   1.96545
   0.43906,   1.87746
   0.41903,   1.79327
   0.39811,   1.71286
   0.37626,   1.63629
   0.35366,   1.56414
   0.33040,   1.49666
   0.30674,   1.43428
   0.28293,   1.37725
   0.25982,   1.32689
   0.23895,   1.28524
   0.22210,   1.25406
   0.20723,   1.22823
