MSE, Q-LIKE
   0.00000,  -0.66588
   0.00000,  -0.66513
   0.00000,  -0.66420
   0.00000,  -0.66456
   0.00000,  -0.66463
   0.00000,  -0.66517
   0.00000,  -0.66899
   0.00000,  -0.66979
   0.00000,  -0.67044
   0.00000,  -0.67421
   0.00000,  -0.67554
   0.00000,  -0.67543
   0.00000,  -0.67629
   0.00000,  -0.67537
   0.00000,  -0.67240
   0.00000,  -0.67387
   0.00000,  -0.67102
   0.00000,  -0.67296
   0.00000,  -0.67177
   0.00000,  -0.67176
   0.00000,  -0.67182
   0.00000,  -0.67406
   0.00000,  -0.67878
   0.00000,  -0.67615
   0.00000,  -0.67593
   0.00000,  -0.67593
   0.00000,  -0.67478
   0.00000,  -0.67643
   0.00000,  -0.67666
   0.00000,  -0.67665
   0.00002,  -0.69863
   0.00000,  -0.69879
   0.00000,  -0.70336
   0.00000,  -0.70771
   0.00000,  -0.71055
   0.00001,  -0.72321
   0.00000,  -0.72909
   0.00000,  -0.73353
   0.00000,  -0.73442
   0.00000,  -0.73431
   0.00000,  -0.73368
   0.00000,  -0.72812
   0.00000,  -0.72959
   0.00000,  -0.72932
   0.00000,  -0.72958
   0.00000,  -0.72957
   0.00000,  -0.72979
   0.00000,  -0.72984
   0.00000,  -0.73548
   0.00000,  -0.73621
   0.00000,  -0.74228
   0.00000,  -0.74268
   0.00000,  -0.74334
   0.00000,  -0.74346
   0.00000,  -0.75321
   0.00000,  -0.75483
   0.00000,  -0.75625
   0.00000,  -0.75943
   0.00001,  -0.78144
   0.00000,  -0.78136
   0.00000,  -0.78080
   0.00000,  -0.78154
   0.00000,  -0.78306
   0.00000,  -0.78455
   0.00001,  -0.79853
   0.00000,  -0.79808
   0.00000,  -0.79733
   0.00000,  -0.80477
   0.00000,  -0.80327
   0.00000,  -0.80343
   0.00000,  -0.80002
   0.00000,  -0.79781
   0.00001,  -0.82078
   0.00001,  -0.83318
   0.00000,  -0.83609
   0.00000,  -0.83549
   0.00000,  -0.84075
   0.00000,  -0.84032
   0.00000,  -0.83802
   0.00000,  -0.83798
   0.00000,  -0.83603
   0.00001,  -0.85219
   0.00000,  -0.85534
   0.00000,  -0.85705
   0.00000,  -0.85794
   0.00000,  -0.85785
   0.00000,  -0.85786
   0.00000,  -0.86276
   0.00000,  -0.86213
   0.00000,  -0.86233
   0.00000,  -0.86232
   0.00000,  -0.86587
   0.00000,  -0.86873
   0.00000,  -0.87097
   0.00000,  -0.88019
   0.00001,  -0.89609
   0.00000,  -0.89962
   0.00000,  -0.90768
   0.00000,  -0.89670
   0.00000,  -0.89862
   0.00000,  -0.89440
   0.00000,  -0.89501
   0.00000,  -0.89415
   0.00000,  -0.89465
   0.00001,  -0.87909
   0.00000,  -0.87858
   0.00000,  -0.87762
   0.00000,  -0.87909
   0.00000,  -0.88549
   0.00000,  -0.88545
   0.00000,  -0.88594
   0.00000,  -0.88685
   0.00000,  -0.89043
   0.00000,  -0.88543
   0.00000,  -0.88559
   0.00002,  -0.85590
   0.00001,  -0.85091
   0.00011,  -0.78751
   0.00008,  -0.77627
   0.00015,  -0.74484
   0.00008,  -0.74224
   0.00004,  -0.74441
   0.00003,  -0.73929
   0.00000,  -0.74277
   0.00001,  -0.72790
   0.00015,  -0.65663
   0.00020,  -0.61404
   0.00017,  -0.57108
   0.00018,  -0.52675
   0.00001,  -0.52973
   0.00004,  -0.52776
   0.00066,  -0.51110
   0.00000,  -0.51506
   0.00015,  -0.51367
   0.00002,  -0.51581
   0.00000,  -0.46753
   0.00001,  -0.47395
   0.00000,  -0.46082
   0.00003,  -0.45720
   0.00000,  -0.45616
   0.00001,  -0.43949
   0.00001,  -0.43857
   0.00000,  -0.42730
   0.00000,  -0.42709
   0.00000,  -0.42535
   0.00000,  -0.42533
   0.00000,  -0.42373
   0.00000,  -0.41820
   0.00000,  -0.41438
   0.00000,  -0.41306
   0.00000,  -0.41406
   0.00000,  -0.41394
   0.00000,  -0.40975
   0.00000,  -0.41011
   0.00000,  -0.40970
   0.00000,  -0.41354
   0.00000,  -0.41487
   0.00000,  -0.41503
   0.00000,  -0.41513
   0.00000,  -0.41517
   0.00000,  -0.41469
