MSE, Q-LIKE
 294.92578,   2.87415
2511.59627,   3.92501
5034.41809,   4.26957
29800.91876,   5.15425
14937.15308,   4.81018
743189.50430,   6.75998
  63.42471,   2.14065
  62.62753,   2.13475
17730.48270,   4.89554
 420.32682,   3.04636
 413.49231,   3.03833
  16.42399,   1.52514
   2.38165,   0.74050
 414.49252,   3.03941
1995.19651,   3.81120
17476.83446,   4.88837
9311.23360,   4.57505
9583.53370,   4.58939
70130.52463,   5.58109
5932.52875,   4.35108
7299.22586,   4.45407
49630.28308,   5.40864
1792237.53587,   7.19990
951470.11225,   6.88344
557488.56182,   6.61634
133207.31994,   5.90134
37661.85979,   5.27104
70399.79620,   5.58305
 444.61482,   3.07462
473416.43377,   6.53467
300367.08844,   6.30739
52621.41091,   5.43786
23868.24798,   5.04375
12485.33384,   4.72113
325982.66153,   6.34827
507001.04817,   6.56892
51203.73773,   5.42425
72870.22323,   5.60028
25239.22139,   5.07166
149804.87067,   5.96002
265175.56958,   6.24519
356099.04713,   6.39245
150456.59055,   5.96220
131065.21852,   5.89332
101077.70950,   5.76364
1792610.66829,   7.20002
87881.87018,   5.69382
29667.38383,   5.15226
754524.35385,   6.76759
17861.44981,   4.89951
34418.92035,   5.22629
21578.89555,   4.99366
23095.83329,   5.02750
19472.06546,   4.94250
17047.77634,   4.87631
1308237.96966,   7.04260
126883.79523,   5.87714
75888.98464,   5.62062
2420099.55518,   7.35003
19792.36440,   4.95065
40810.53658,   5.31121
382053.94711,   6.42760
64611.81232,   5.54036
3890.87146,   4.14246
2379.71654,   3.89912
13298.30667,   4.75267
11663.59067,   4.68743
3268.37343,   4.05605
9151.32839,   4.56683
39150.42395,   5.29049
16163.49969,   4.84978
10131.40457,   4.61741
170923.67584,   6.02587
13636.50684,   4.76513
12265.96570,   4.71244
5794.75816,   4.33983
46716.95738,   5.37856
12054.74539,   4.70385
30768.90774,   5.17045
162635.95448,   6.00108
259756.32550,   6.23490
216403.44091,   6.14371
60374.87837,   5.50655
66210.72073,   5.55261
246088.16179,   6.20792
50760.84312,   5.42008
662183.40581,   6.70238
23552.94768,   5.03738
64192.44310,   5.53717
898642.95970,   6.85495
154401.77293,   5.97517
621406.02946,   6.67062
599607.66409,   6.65278
20675.10619,   4.97246
152809.58846,   5.96999
51750.96409,   5.42970
2987.17762,   4.01181
18947.78052,   4.92901
27723.56291,   5.11856
3310.69722,   4.06268
6826.82779,   4.42139
4205.43083,   4.18109
4595.49748,   4.22503
 179.70615,   2.63865
  78.43895,   2.24567
6044.31893,   4.36095
8016.06689,   4.50113
2113.30820,   3.84055
  27.96040,   1.77018
3392.80862,   4.07456
2854.13067,   3.98896
3798.34679,   4.13030
15386.68405,   4.82515
2774.17211,   3.97461
2717.84678,   3.96437
9216.19696,   4.57011
6091.74124,   4.36441
4194.85520,   4.17932
 265.99493,   2.82521
 504.01559,   3.13569
  15.58818,   1.50543
1542.60103,   3.68451
 501.63119,   3.13370
6565.30199,   4.40168
 655.03081,   3.26408
26612.05970,   5.09799
2442.27379,   3.91163
 688.25459,   3.28823
 793.76714,   3.35810
1030.95809,   3.48643
 468.40131,   3.10026
17635.19781,   4.89303
 129.31259,   2.47940
7738900.89646,   7.93109
59648.76536,   5.50041
2255.15414,   3.87225
1144.84533,   3.53800
23423.33679,   5.03441
2919.61383,   3.99998
9365.16421,   4.57818
2960.71747,   4.00694
10146.83941,   4.61807
7209.93287,   4.44826
1599.55194,   3.70283
90697.52540,   5.70952
3702.86366,   4.11770
23089.33761,   5.02729
10455.27280,   4.63297
2977.26575,   4.00976
67272.44115,   5.56044
3632.58916,   4.10822
420521.56292,   6.47549
30698.96965,   5.16919
39222.38898,   5.29137
7126.64709,   4.44256
8195.25979,   4.51196
26932.26630,   5.10404
73694.19940,   5.60596
339452.06642,   6.36852
69097.50808,   5.57381
59536.40333,   5.49956
258264.08474,   6.23201
429829.42015,   6.48646
25337.47189,   5.07370
533403.22024,   6.59432
397979.07277,   6.44803
1072072.20922,   6.94317
3271343.44836,   7.50073
10861493.23901,   8.10058
4480419.24758,   7.65795
5279083.12094,   7.73995
25729965.04661,   8.53173
50900625.91954,   8.87280
63785008.62312,   8.98561
66596767.01316,   9.00718
9256493.21569,   8.02067
22413577.86677,   8.46276
31836729.56846,   8.63821
24935353.79009,   8.51606
13360318.34217,   8.20412
7872615.85666,   7.93973
16745473.50580,   8.31701
30221899.13924,   8.61218
15801763.90379,   8.28801
1141671.27677,   6.97474
1700865.54264,   7.17393
1944077.86198,   7.24071
2950761.74203,   7.44924
1349367.88590,   7.05826
1793190.15652,   7.20035
8140258.77284,   7.95645
1180251.81715,   6.99136
352406.07983,   6.38763
2694550.01047,   7.40386
1442888.40651,   7.09175
612783.32901,   6.66392
697971.27737,   6.72893
362000.37902,   6.40104
242200.13397,   6.20040
29640.59905,   5.15314
16360.71861,   4.85767
702760.96431,   6.73236
