MSE, Q-LIKE
   0.00004,  -0.23877
   0.00005,  -0.23719
   0.00005,  -0.23608
   0.00005,  -0.23807
   0.00002,  -0.24477
   0.00002,  -0.24659
   0.00002,  -0.24588
   0.00002,  -0.24587
   0.00002,  -0.24513
   0.00002,  -0.24461
   0.00003,  -0.24379
   0.00003,  -0.24388
   0.00001,  -0.25121
   0.00001,  -0.25372
   0.00001,  -0.25351
   0.00001,  -0.25376
   0.00000,  -0.25611
   0.00003,  -0.24320
   0.00007,  -0.23349
   0.00009,  -0.22939
   0.00011,  -0.22534
   0.00011,  -0.22484
   0.00010,  -0.22593
   0.00020,  -0.21153
   0.00021,  -0.21109
   0.00021,  -0.21106
   0.00021,  -0.21100
   0.00022,  -0.21028
   0.00021,  -0.21090
   0.00021,  -0.21070
   0.00021,  -0.21093
   0.00018,  -0.21407
   0.00018,  -0.21406
   0.00018,  -0.21522
   0.00018,  -0.21451
   0.00016,  -0.21723
   0.00015,  -0.21818
   0.00015,  -0.21815
   0.00016,  -0.21809
   0.00015,  -0.21915
   0.00011,  -0.22550
   0.00011,  -0.22527
   0.00009,  -0.22768
   0.00010,  -0.22759
   0.00009,  -0.22791
   0.00010,  -0.22765
   0.00010,  -0.22695
   0.00005,  -0.23835
   0.00003,  -0.24364
   0.00003,  -0.24406
   0.00002,  -0.24841
   0.00000,  -0.26363
   0.00001,  -0.27076
   0.00002,  -0.27632
   0.00004,  -0.28463
   0.00004,  -0.28522
   0.00004,  -0.28531
   0.00004,  -0.28543
   0.00004,  -0.28549
   0.00005,  -0.28614
   0.00007,  -0.29270
   0.00008,  -0.29282
   0.00001,  -0.27290
   0.00001,  -0.27145
   0.00001,  -0.27123
   0.00001,  -0.27179
   0.00001,  -0.27222
   0.00001,  -0.27400
   0.00001,  -0.27409
   0.00001,  -0.27409
   0.00001,  -0.27391
   0.00001,  -0.27428
   0.00001,  -0.27432
   0.00001,  -0.27114
   0.00001,  -0.27152
   0.00001,  -0.27073
   0.00001,  -0.27028
   0.00001,  -0.27016
   0.00000,  -0.26825
   0.00000,  -0.26828
   0.00000,  -0.26346
   0.00000,  -0.26237
   0.00000,  -0.26173
   0.00000,  -0.26169
   0.00000,  -0.26285
   0.00000,  -0.26276
   0.00000,  -0.25933
   0.00000,  -0.25888
   0.00000,  -0.25796
   0.00000,  -0.25979
   0.00000,  -0.26098
   0.00000,  -0.26852
   0.00001,  -0.27016
   0.00000,  -0.25632
   0.00001,  -0.25188
   0.00001,  -0.25183
   0.00002,  -0.24665
   0.00002,  -0.24617
   0.00000,  -0.25603
   0.00001,  -0.25018
   0.00006,  -0.23383
   0.00003,  -0.24176
   0.00005,  -0.23675
   0.00010,  -0.22646
   0.00010,  -0.22614
   0.00029,  -0.20182
   0.00144,  -0.12792
   0.00357,  -0.05103
   0.00363,  -0.04927
   0.00541,  -0.00236
   0.00623,   0.01683
   0.00777,   0.04939
   0.00819,   0.05764
   0.00904,   0.07386
   0.00939,   0.08015
   0.01137,   0.11466
   0.01414,   0.15793
   0.01451,   0.16352
   0.01468,   0.16600
   0.01474,   0.16679
   0.01051,   0.10005
   0.01161,   0.11848
   0.01160,   0.11841
   0.01218,   0.12776
   0.01217,   0.12762
   0.01216,   0.12747
   0.01229,   0.12949
   0.01219,   0.12789
   0.01292,   0.13944
   0.01408,   0.15711
   0.01404,   0.15657
   0.01430,   0.16030
   0.01468,   0.16600
   0.01467,   0.16582
   0.01470,   0.16624
   0.01470,   0.16622
   0.01465,   0.16550
   0.01472,   0.16659
   0.01468,   0.16588
   0.01476,   0.16704
   0.01540,   0.17629
   0.01583,   0.18240
