MSE, Q-LIKE
   0.00009,  -0.23826
   0.00001,  -0.24185
   0.00001,  -0.24122
   0.00000,  -0.24086
   0.00000,  -0.24064
   0.00000,  -0.24085
   0.00000,  -0.24064
   0.00000,  -0.24312
   0.00000,  -0.24234
   0.00000,  -0.24166
   0.00000,  -0.24156
   0.00000,  -0.24204
   0.00000,  -0.24116
   0.00000,  -0.24133
   0.00000,  -0.23467
   0.00000,  -0.23603
   0.00000,  -0.23580
   0.00000,  -0.23591
   0.00000,  -0.23573
   0.00000,  -0.23903
   0.00000,  -0.23750
   0.00000,  -0.23642
   0.00000,  -0.23835
   0.00000,  -0.24490
   0.00000,  -0.24670
   0.00000,  -0.24601
   0.00000,  -0.24600
   0.00000,  -0.24527
   0.00000,  -0.24476
   0.00000,  -0.24396
   0.00000,  -0.24404
   0.00001,  -0.25123
   0.00000,  -0.25375
   0.00000,  -0.25355
   0.00000,  -0.25379
   0.00000,  -0.25613
   0.00001,  -0.24330
   0.00001,  -0.23385
   0.00000,  -0.22991
   0.00000,  -0.22599
   0.00000,  -0.22551
   0.00000,  -0.22657
   0.00002,  -0.21266
   0.00000,  -0.21235
   0.00000,  -0.21232
   0.00000,  -0.21226
   0.00000,  -0.21158
   0.00000,  -0.21216
   0.00000,  -0.21197
   0.00000,  -0.21219
   0.00000,  -0.21518
   0.00000,  -0.21518
   0.00000,  -0.21629
   0.00000,  -0.21561
   0.00000,  -0.21820
   0.00000,  -0.21912
   0.00000,  -0.21909
   0.00000,  -0.21903
   0.00000,  -0.22005
   0.00000,  -0.22613
   0.00000,  -0.22593
   0.00000,  -0.22825
   0.00000,  -0.22817
   0.00000,  -0.22848
   0.00000,  -0.22823
   0.00000,  -0.22755
   0.00001,  -0.23856
   0.00000,  -0.24379
   0.00000,  -0.24422
   0.00000,  -0.24849
   0.00002,  -0.26351
   0.00000,  -0.27077
   0.00000,  -0.27641
   0.00001,  -0.28485
   0.00000,  -0.28549
   0.00000,  -0.28558
   0.00000,  -0.28571
   0.00000,  -0.28576
   0.00000,  -0.28643
   0.00000,  -0.29315
   0.00000,  -0.29330
   0.00003,  -0.27276
   0.00000,  -0.27149
   0.00000,  -0.27127
   0.00000,  -0.27184
   0.00000,  -0.27227
   0.00000,  -0.27407
   0.00000,  -0.27417
   0.00000,  -0.27417
   0.00000,  -0.27398
   0.00000,  -0.27435
   0.00000,  -0.27439
   0.00000,  -0.27117
   0.00000,  -0.27156
   0.00000,  -0.27077
   0.00000,  -0.27032
   0.00000,  -0.27019
   0.00000,  -0.26827
   0.00000,  -0.26830
   0.00000,  -0.26345
   0.00000,  -0.26237
   0.00000,  -0.26173
   0.00000,  -0.26169
   0.00000,  -0.26285
   0.00000,  -0.26276
   0.00000,  -0.25933
   0.00000,  -0.25888
   0.00000,  -0.25797
   0.00000,  -0.25979
   0.00000,  -0.26098
   0.00001,  -0.26851
   0.00000,  -0.27019
   0.00002,  -0.25624
   0.00000,  -0.25192
   0.00000,  -0.25188
   0.00000,  -0.24675
   0.00000,  -0.24630
   0.00001,  -0.25600
   0.00000,  -0.25024
   0.00002,  -0.23409
   0.00001,  -0.24194
   0.00000,  -0.23706
   0.00001,  -0.22702
   0.00000,  -0.22677
   0.00005,  -0.20330
   0.00043,  -0.13389
   0.00103,  -0.06559
   0.00049,  -0.06686
   0.00068,  -0.02825
   0.00045,  -0.01424
   0.00040,   0.01063
   0.00013,   0.01583
   0.00004,   0.02771
   0.00000,   0.03225
   0.00007,   0.05785
   0.00012,   0.08897
   0.00000,   0.09251
   0.00000,   0.09424
   0.00000,   0.09479
   0.00036,   0.04811
   0.00005,   0.06056
   0.00003,   0.06044
   0.00000,   0.06710
   0.00000,   0.06700
   0.00000,   0.06689
   0.00000,   0.06834
   0.00000,   0.06720
   0.00001,   0.07549
   0.00002,   0.08807
   0.00000,   0.08762
   0.00000,   0.09024
   0.00000,   0.09425
   0.00000,   0.09412
   0.00000,   0.09441
   0.00000,   0.09440
   0.00000,   0.09389
   0.00000,   0.09466
   0.00000,   0.09416
   0.00000,   0.09497
   0.00001,   0.10146
   0.00000,   0.10567
   0.34994,   1.55292
   0.32265,   1.47556
   0.30214,   1.42283
   0.28131,   1.37357
   0.25982,   1.32687
   0.23784,   1.28312
   0.21553,   1.24245
   0.19288,   1.20476
   0.17006,   1.17010
   0.14738,   1.13876
   0.12503,   1.11069
   0.10324,   1.08583
   0.08251,   1.06439
   0.06321,   1.04629
   0.04587,   1.03153
   0.03094,   1.01998
   0.01912,   1.01164
   0.01095,   1.00634
   0.00637,   1.00355
   0.00361,   1.00196
