MSE, Q-LIKE
   0.00014,  -0.23792
   0.00003,  -0.24176
   0.00000,  -0.24124
   0.00000,  -0.24086
   0.00000,  -0.24064
   0.00000,  -0.24085
   0.00000,  -0.24064
   0.00000,  -0.24312
   0.00000,  -0.24234
   0.00000,  -0.24166
   0.00000,  -0.24156
   0.00000,  -0.24201
   0.00000,  -0.24116
   0.00000,  -0.24133
   0.00000,  -0.23467
   0.00000,  -0.23603
   0.00000,  -0.23580
   0.00000,  -0.23591
   0.00000,  -0.23572
   0.00000,  -0.23902
   0.00000,  -0.23750
   0.00000,  -0.23642
   0.00000,  -0.23835
   0.00000,  -0.24490
   0.00000,  -0.24671
   0.00000,  -0.24601
   0.00000,  -0.24600
   0.00000,  -0.24527
   0.00000,  -0.24476
   0.00000,  -0.24395
   0.00000,  -0.24404
   0.00000,  -0.25126
   0.00000,  -0.25375
   0.00000,  -0.25355
   0.00000,  -0.25379
   0.00000,  -0.25612
   0.00001,  -0.24331
   0.00001,  -0.23384
   0.00000,  -0.22990
   0.00000,  -0.22597
   0.00000,  -0.22551
   0.00000,  -0.22657
   0.00001,  -0.21269
   0.00000,  -0.21235
   0.00000,  -0.21232
   0.00000,  -0.21226
   0.00000,  -0.21158
   0.00000,  -0.21216
   0.00000,  -0.21197
   0.00000,  -0.21219
   0.00000,  -0.21518
   0.00000,  -0.21517
   0.00000,  -0.21629
   0.00000,  -0.21561
   0.00000,  -0.21820
   0.00000,  -0.21911
   0.00000,  -0.21909
   0.00000,  -0.21902
   0.00000,  -0.22005
   0.00000,  -0.22615
   0.00000,  -0.22593
   0.00000,  -0.22826
   0.00000,  -0.22817
   0.00000,  -0.22847
   0.00000,  -0.22823
   0.00000,  -0.22755
   0.00001,  -0.23857
   0.00000,  -0.24380
   0.00000,  -0.24422
   0.00000,  -0.24848
   0.00002,  -0.26353
   0.00001,  -0.27075
   0.00000,  -0.27642
   0.00000,  -0.28486
   0.00000,  -0.28548
   0.00000,  -0.28558
   0.00000,  -0.28571
   0.00000,  -0.28575
   0.00000,  -0.28643
   0.00000,  -0.29317
   0.00000,  -0.29330
   0.00002,  -0.27282
   0.00000,  -0.27148
   0.00000,  -0.27127
   0.00000,  -0.27184
   0.00000,  -0.27227
   0.00000,  -0.27406
   0.00000,  -0.27417
   0.00000,  -0.27417
   0.00000,  -0.27398
   0.00000,  -0.27435
   0.00000,  -0.27439
   0.00000,  -0.27117
   0.00000,  -0.27156
   0.00000,  -0.27076
   0.00000,  -0.27032
   0.00000,  -0.27019
   0.00000,  -0.26826
   0.00000,  -0.26830
   0.00000,  -0.26345
   0.00000,  -0.26236
   0.00000,  -0.26172
   0.00000,  -0.26169
   0.00000,  -0.26285
   0.00000,  -0.26276
   0.00000,  -0.25934
   0.00000,  -0.25888
   0.00000,  -0.25797
   0.00000,  -0.25979
   0.00000,  -0.26098
   0.00001,  -0.26850
   0.00000,  -0.27019
   0.00002,  -0.25621
   0.00000,  -0.25192
   0.00000,  -0.25188
   0.00000,  -0.24676
   0.00000,  -0.24630
   0.00001,  -0.25601
   0.00000,  -0.25023
   0.00004,  -0.23400
   0.00001,  -0.24192
   0.00001,  -0.23703
   0.00001,  -0.22703
   0.00000,  -0.22677
   0.00003,  -0.20339
   0.00041,  -0.13405
   0.00066,  -0.06747
   0.00001,  -0.06911
   0.00000,  -0.03119
   0.00003,  -0.01595
   0.00034,   0.01039
   0.00812,   0.03708
   0.00001,   0.02757
   0.00110,   0.03567
   0.00006,   0.05782
   0.00081,   0.09087
   0.00021,   0.09319
   0.00000,   0.09425
   0.00032,   0.09583
   0.00053,   0.04862
   0.00000,   0.06040
   0.00010,   0.06070
   0.00000,   0.06711
   0.00001,   0.06704
   0.00002,   0.06695
   0.00000,   0.06835
   0.00000,   0.06720
   0.00000,   0.07548
   0.00004,   0.08812
   0.00000,   0.08762
   0.00002,   0.09030
   0.00001,   0.09427
   0.00000,   0.09412
   0.00001,   0.09444
   0.00000,   0.09441
   0.00001,   0.09394
   0.00000,   0.09466
   0.00000,   0.09416
   0.00000,   0.09498
   0.00001,   0.10144
   0.00000,   0.10566
