MSE, Q-LIKE
 541.09053,   3.16248
 191.47345,   2.65365
  18.57859,   1.54353
 204.95229,   2.68680
 245.98062,   2.77587
1984.61512,   3.80483
2086.12713,   3.82956
4697.89638,   4.23279
1518.74483,   3.67223
 228.64902,   2.74023
3216.45959,   4.04450
 139.75691,   2.50084
 319.06972,   2.90326
 688.87090,   3.28152
 572.85136,   3.19090
45681.74742,   5.36648
 810.80974,   3.36216
685958.85166,   6.71974
14779.25640,   4.80359
2611.28097,   3.94120
50807.28267,   5.41958
97740.99708,   5.74626
80162.73193,   5.64731
238935.15046,   6.19279
25550.75109,   5.07644
3406028.03973,   7.52072
26312.57463,   5.09109
117871.38734,   5.83971
526385.76738,   6.58738
25843.23876,   5.08211
1232120.03859,   7.01244
11648.85403,   4.68477
9500.10751,   4.58317
1835.38702,   3.76576
 619.23285,   3.22842
16761.13127,   4.86615
 913.27828,   3.42022
 719.91729,   3.30272
15109.23133,   4.81442
3062.54211,   4.01991
3408.00262,   4.07300
36748.35618,   5.25777
 863.52931,   3.39253
 455.19151,   3.07693
6806.28921,   4.41711
2042.20534,   3.81874
67795.53231,   5.56349
6956.71287,   4.42799
3459.35248,   4.08045
 889.29270,   3.40709
 520.80401,   3.14316
 532.93134,   3.15449
 916.28252,   3.42184
 258.48675,   2.79931
  59.56971,   2.08880
  13.35838,   1.39015
 320.19639,   2.90422
 721.35687,   3.30377
3254.85842,   4.05019
2579.06575,   3.93459
4471.67116,   4.20807
2511.20547,   3.92128
5363.55899,   4.29848
27001.48051,   5.10395
1386.88219,   3.62676
  76.97439,   2.21089
7574.50696,   4.47025
  80.58378,   2.23269
  80.93389,   2.23477
 664.08770,   3.26256
5162.78844,   4.27942
  59.07742,   2.08367
 541.76009,   3.16218
4327.16801,   4.19156
16312.82862,   4.85256
3319.80036,   4.05982
22928.84861,   5.02234
12487.72218,   4.71929
 387.63749,   2.99719
4508.26795,   4.21189
1622.84034,   3.70436
 168.93812,   2.59062
4159.77678,   4.17186
 217.40817,   2.71369
 226.51561,   2.73374
  61.48424,   2.10188
4955.76189,   4.25895
 657.90517,   3.25765
1637.94368,   3.70889
1780.27596,   3.75016
 423.92150,   3.04089
1174.91887,   3.54405
 377.14181,   2.98316
38692.32888,   5.28337
4441.79570,   4.20433
1652.56664,   3.71311
1131.87453,   3.52546
  14.97885,   1.43486
15080.58289,   4.81323
 836.73290,   3.37594
2912.14682,   3.99422
2375.63382,   3.89304
 309.30965,   2.88509
 244.78861,   2.77031
6642.35458,   4.40450
  94.38304,   2.30589
 760.92389,   3.32870
 149.40652,   2.52891
  45.50004,   1.95472
 621.79099,   3.22891
 320.40525,   2.90230
1879.50178,   3.77642
1281.93970,   3.58661
 666.83326,   3.26304
2683.44674,   3.95297
 373.38792,   2.97607
1013.31349,   3.46947
 564.31965,   3.17981
  48.66024,   1.98284
 689.67430,   3.27898
14116.42076,   4.77996
  11.67190,   1.30989
  93.53422,   2.29844
3505.53559,   4.08588
  82.32888,   2.23667
2403.38544,   3.89817
4274.05011,   4.18455
2137.87585,   3.83998
 279.58489,   2.83371
 375.15837,   2.97844
1881.44730,   3.77650
 657.08968,   3.25507
 487.77950,   3.10783
 394.75246,   3.00352
 334.23585,   2.92152
6172.59865,   4.36759
 521.29750,   3.14068
7214.58956,   4.44527
3437.83548,   4.07617
1669.94607,   3.71718
2330.25524,   3.88271
3171.50989,   4.03601
14345.56984,   4.78796
 667.15380,   3.26242
7166.35714,   4.44191
26260.58262,   5.08965
7047.88544,   4.43360
 777.53719,   3.33816
8636.06214,   4.53489
13069.70001,   4.74149
7659.66494,   4.47507
7828.70192,   4.48591
13379.06106,   4.75312
16697.68552,   4.86368
 569.87627,   3.18448
3763.84696,   4.12119
12130.51851,   4.70436
11793.71700,   4.69035
1353.99608,   3.61425
2221953.19825,   7.30717
6761496.55130,   7.86351
2241870.01325,   7.31164
2562639.36929,   7.37849
125858.36790,   5.87241
222391.53939,   6.15682
164818.01931,   6.00717
1069542.92785,   6.94176
21717133.34841,   8.44690
42433783.06839,   8.78180
19583776.55232,   8.39522
69884332.54607,   9.03124
18347484.75422,   8.36262
1555264.87848,   7.12900
7756270.85338,   7.93219
1187314.59072,   6.99408
441879.35054,   6.50020
7512783.19486,   7.91625
78562.90401,   5.63773
167249.20038,   6.01494
4398628.98167,   7.64866
89444.52125,   5.70250
345226.92449,   6.37691
1324774.40499,   7.04885
6171.96205,   4.37096
6936195.42932,   7.87635
1683249.51521,   7.16855
2071794.16990,   7.27235
121622.17515,   5.85595
573418.80679,   6.63043
1095985.36916,   6.95412
118494.14788,   5.84296
372466.20587,   6.41488
81469.51313,   5.65598
459221.35419,   6.51948
17127.40762,   4.87857
44178.04339,   5.35071
661524.80291,   6.70185
66215.42502,   5.55255
44878.38196,   5.35855
18841.64995,   4.92610
1062163.69244,   6.93847
65253.74522,   5.54527
