MSE, Q-LIKE
   0.00002,  -0.72603
   0.00004,  -0.73460
   0.00005,  -0.73765
   0.00006,  -0.74263
   0.00006,  -0.74368
   0.00007,  -0.74571
   0.00009,  -0.75192
   0.00009,  -0.75193
   0.00009,  -0.75206
   0.00010,  -0.75332
   0.00010,  -0.75321
   0.00010,  -0.75362
   0.00010,  -0.75377
   0.00011,  -0.75765
   0.00009,  -0.75248
   0.00009,  -0.75262
   0.00013,  -0.76180
   0.00016,  -0.76934
   0.00016,  -0.76941
   0.00016,  -0.76848
   0.00017,  -0.77161
   0.00017,  -0.77132
   0.00017,  -0.77175
   0.00017,  -0.77186
   0.00018,  -0.77242
   0.00018,  -0.77339
   0.00019,  -0.77473
   0.00019,  -0.77420
   0.00021,  -0.77920
   0.00024,  -0.78527
   0.00025,  -0.78613
   0.00033,  -0.79908
   0.00033,  -0.79864
   0.00033,  -0.79958
   0.00033,  -0.79955
   0.00033,  -0.79928
   0.00040,  -0.80907
   0.00040,  -0.80917
   0.00040,  -0.80870
   0.00041,  -0.81051
   0.00054,  -0.82683
   0.00054,  -0.82633
   0.00058,  -0.83147
   0.00059,  -0.83217
   0.00059,  -0.83215
   0.00059,  -0.83305
   0.00059,  -0.83299
   0.00062,  -0.83597
   0.00064,  -0.83851
   0.00062,  -0.83566
   0.00063,  -0.83651
   0.00088,  -0.86211
   0.00086,  -0.85975
   0.00091,  -0.86451
   0.00151,  -0.91233
   0.00155,  -0.91498
   0.00155,  -0.91528
   0.00157,  -0.91653
   0.00157,  -0.91655
   0.00155,  -0.91540
   0.00156,  -0.91574
   0.00156,  -0.91594
   0.00157,  -0.91629
   0.00155,  -0.91493
   0.00152,  -0.91328
   0.00152,  -0.91286
   0.00152,  -0.91280
   0.00154,  -0.91450
   0.00154,  -0.91410
   0.00152,  -0.91278
   0.00153,  -0.91405
   0.00153,  -0.91400
   0.00157,  -0.91641
   0.00153,  -0.91342
   0.00155,  -0.91503
   0.00154,  -0.91444
   0.00153,  -0.91390
   0.00165,  -0.92172
   0.00157,  -0.91672
   0.00170,  -0.92558
   0.00171,  -0.92588
   0.00168,  -0.92409
   0.00167,  -0.92358
   0.00171,  -0.92572
   0.00172,  -0.92646
   0.00173,  -0.92708
   0.00174,  -0.92790
   0.00172,  -0.92632
   0.00172,  -0.92665
   0.00172,  -0.92674
   0.00177,  -0.92972
   0.00194,  -0.94071
   0.00194,  -0.94044
   0.00181,  -0.93259
   0.00173,  -0.92716
   0.00172,  -0.92695
   0.00147,  -0.90957
   0.00132,  -0.89870
   0.00038,  -0.80688
   0.00030,  -0.79503
   0.00020,  -0.77751
   0.00020,  -0.77649
   0.00019,  -0.77604
   0.00019,  -0.77602
   0.00016,  -0.76971
   0.00004,  -0.73539
   0.00031,  -0.60273
   0.00143,  -0.49303
   0.00228,  -0.43836
   0.00526,  -0.30276
   0.00546,  -0.29516
   0.00556,  -0.29166
   0.00623,  -0.26771
   0.00621,  -0.26843
   0.00622,  -0.26811
   0.00702,  -0.24129
   0.00698,  -0.24263
   0.00698,  -0.24257
   0.00775,  -0.21785
   0.00782,  -0.21579
   0.00779,  -0.21660
   0.00827,  -0.20210
   0.00826,  -0.20246
   0.00919,  -0.17519
   0.00958,  -0.16401
   0.00957,  -0.16437
   0.00955,  -0.16502
   0.00977,  -0.15887
   0.01003,  -0.15159
   0.01001,  -0.15206
   0.01026,  -0.14549
   0.01026,  -0.14543
   0.01038,  -0.14218
   0.01036,  -0.14260
   0.01046,  -0.14006
   0.01067,  -0.13440
   0.01068,  -0.13405
   0.01057,  -0.13712
   0.01057,  -0.13701
   0.01099,  -0.12597
   0.01102,  -0.12527
   0.01106,  -0.12432
