MSE, Q-LIKE
   0.00005,  -0.72832
   0.00002,  -0.72956
   0.00000,  -0.72681
   0.00000,  -0.72668
   0.00000,  -0.72638
   0.00000,  -0.72683
   0.00000,  -0.72690
   0.00000,  -0.72688
   0.00000,  -0.72637
   0.00000,  -0.72836
   0.00000,  -0.72829
   0.00000,  -0.72893
   0.00000,  -0.72946
   0.00000,  -0.72862
   0.00000,  -0.72497
   0.00000,  -0.72575
   0.00000,  -0.72467
   0.00000,  -0.72344
   0.00000,  -0.72514
   0.00000,  -0.72638
   0.00000,  -0.73518
   0.00000,  -0.73838
   0.00000,  -0.74356
   0.00000,  -0.74467
   0.00000,  -0.74680
   0.00000,  -0.75331
   0.00000,  -0.75334
   0.00000,  -0.75348
   0.00000,  -0.75481
   0.00000,  -0.75470
   0.00000,  -0.75513
   0.00000,  -0.75529
   0.00000,  -0.75939
   0.00000,  -0.75391
   0.00000,  -0.75408
   0.00000,  -0.76376
   0.00000,  -0.77185
   0.00000,  -0.77196
   0.00000,  -0.77096
   0.00000,  -0.77432
   0.00000,  -0.77401
   0.00000,  -0.77447
   0.00000,  -0.77459
   0.00000,  -0.77520
   0.00000,  -0.77625
   0.00000,  -0.77769
   0.00000,  -0.77713
   0.00000,  -0.78253
   0.00000,  -0.78913
   0.00000,  -0.79010
   0.00001,  -0.80428
   0.00000,  -0.80389
   0.00000,  -0.80492
   0.00000,  -0.80490
   0.00000,  -0.80459
   0.00000,  -0.81547
   0.00000,  -0.81565
   0.00000,  -0.81511
   0.00000,  -0.81714
   0.00001,  -0.83549
   0.00000,  -0.83509
   0.00000,  -0.84098
   0.00000,  -0.84180
   0.00000,  -0.84178
   0.00000,  -0.84282
   0.00000,  -0.84275
   0.00000,  -0.84619
   0.00000,  -0.84913
   0.00000,  -0.84583
   0.00000,  -0.84682
   0.00002,  -0.87647
   0.00000,  -0.87409
   0.00000,  -0.87978
   0.00008,  -0.93705
   0.00003,  -0.94141
   0.00001,  -0.94224
   0.00000,  -0.94403
   0.00000,  -0.94413
   0.00000,  -0.94267
   0.00000,  -0.94311
   0.00000,  -0.94336
   0.00000,  -0.94380
   0.00000,  -0.94207
   0.00000,  -0.93997
   0.00000,  -0.93943
   0.00000,  -0.93936
   0.00000,  -0.94151
   0.00000,  -0.94101
   0.00000,  -0.93933
   0.00000,  -0.94095
   0.00000,  -0.94088
   0.00000,  -0.94395
   0.00000,  -0.94014
   0.00000,  -0.94219
   0.00000,  -0.94144
   0.00000,  -0.94075
   0.00000,  -0.95070
   0.00000,  -0.94433
   0.00000,  -0.95567
   0.00000,  -0.95612
   0.00000,  -0.95381
   0.00000,  -0.95316
   0.00000,  -0.95591
   0.00000,  -0.95687
   0.00000,  -0.95767
   0.00000,  -0.95873
   0.00000,  -0.95669
   0.00000,  -0.95712
   0.00000,  -0.95723
   0.00000,  -0.96109
   0.00000,  -0.97537
   0.00000,  -0.97511
   0.00000,  -0.96477
   0.00000,  -0.95775
   0.00000,  -0.95750
   0.00001,  -0.93500
   0.00001,  -0.92145
   0.00029,  -0.80672
   0.00024,  -0.79490
   0.00025,  -0.77564
   0.00017,  -0.77626
   0.00011,  -0.77703
   0.00006,  -0.77791
   0.00004,  -0.77158
   0.00009,  -0.73444
   0.00089,  -0.59337
   0.00202,  -0.48379
   0.00252,  -0.43474
   0.00494,  -0.30752
   0.00444,  -0.30993
   0.00390,  -0.31505
   0.00382,  -0.30078
   0.00318,  -0.30907
   0.00261,  -0.31549
   0.00250,  -0.29923
   0.00191,  -0.30622
   0.00141,  -0.31111
   0.00130,  -0.29570
   0.00092,  -0.29769
   0.00060,  -0.30089
   0.00046,  -0.29239
   0.00024,  -0.29435
   0.00023,  -0.27642
   0.00011,  -0.26997
   0.00003,  -0.27077
   0.00000,  -0.27137
   0.00000,  -0.26736
   0.00000,  -0.26265
   0.00000,  -0.26296
   0.00000,  -0.25871
   0.00000,  -0.25869
   0.00000,  -0.25660
   0.00000,  -0.25687
   0.00000,  -0.25524
   0.00000,  -0.25161
   0.00000,  -0.25139
   0.00000,  -0.25335
   0.00000,  -0.25329
   0.00000,  -0.24623
   0.00000,  -0.24580
   0.00000,  -0.24520
   0.50741,   2.23021
   0.48804,   2.11851
   0.47325,   2.03988
   0.45799,   1.96426
   0.44195,   1.89024
   0.42517,   1.81826
   0.40759,   1.74841
   0.38918,   1.68071
   0.36994,   1.61544
   0.35001,   1.55312
   0.32934,   1.49373
   0.30796,   1.43734
   0.28603,   1.38438
   0.26369,   1.33499
   0.24119,   1.28954
   0.21881,   1.24820
   0.19732,   1.21187
   0.17818,   1.18207
   0.16308,   1.16015
   0.14997,   1.14220
