MSE, Q-LIKE
   0.00004,  -0.72850
   0.00001,  -0.72967
   0.00000,  -0.72684
   0.00000,  -0.72667
   0.00000,  -0.72637
   0.00000,  -0.72683
   0.00000,  -0.72690
   0.00000,  -0.72688
   0.00000,  -0.72637
   0.00000,  -0.72837
   0.00000,  -0.72829
   0.00000,  -0.72893
   0.00000,  -0.72946
   0.00000,  -0.72861
   0.00000,  -0.72496
   0.00000,  -0.72574
   0.00000,  -0.72467
   0.00000,  -0.72344
   0.00000,  -0.72512
   0.00000,  -0.72638
   0.00000,  -0.73518
   0.00000,  -0.73839
   0.00000,  -0.74354
   0.00000,  -0.74467
   0.00000,  -0.74679
   0.00000,  -0.75331
   0.00000,  -0.75334
   0.00000,  -0.75348
   0.00000,  -0.75481
   0.00000,  -0.75469
   0.00000,  -0.75513
   0.00000,  -0.75528
   0.00000,  -0.75938
   0.00000,  -0.75391
   0.00000,  -0.75407
   0.00000,  -0.76375
   0.00000,  -0.77186
   0.00000,  -0.77195
   0.00000,  -0.77094
   0.00000,  -0.77430
   0.00000,  -0.77401
   0.00000,  -0.77447
   0.00000,  -0.77459
   0.00000,  -0.77520
   0.00000,  -0.77624
   0.00000,  -0.77769
   0.00000,  -0.77712
   0.00000,  -0.78254
   0.00000,  -0.78913
   0.00000,  -0.79010
   0.00001,  -0.80428
   0.00000,  -0.80389
   0.00000,  -0.80492
   0.00000,  -0.80490
   0.00000,  -0.80458
   0.00000,  -0.81548
   0.00000,  -0.81564
   0.00000,  -0.81511
   0.00000,  -0.81714
   0.00001,  -0.83550
   0.00000,  -0.83509
   0.00000,  -0.84097
   0.00000,  -0.84180
   0.00000,  -0.84178
   0.00000,  -0.84282
   0.00000,  -0.84275
   0.00000,  -0.84619
   0.00000,  -0.84913
   0.00000,  -0.84583
   0.00000,  -0.84682
   0.00002,  -0.87647
   0.00000,  -0.87409
   0.00000,  -0.87976
   0.00007,  -0.93710
   0.00004,  -0.94130
   0.00002,  -0.94213
   0.00001,  -0.94398
   0.00000,  -0.94412
   0.00000,  -0.94266
   0.00000,  -0.94311
   0.00000,  -0.94336
   0.00000,  -0.94380
   0.00000,  -0.94204
   0.00000,  -0.93997
   0.00000,  -0.93943
   0.00000,  -0.93936
   0.00000,  -0.94151
   0.00000,  -0.94101
   0.00000,  -0.93933
   0.00000,  -0.94094
   0.00000,  -0.94088
   0.00000,  -0.94396
   0.00000,  -0.94013
   0.00000,  -0.94219
   0.00000,  -0.94144
   0.00000,  -0.94075
   0.00000,  -0.95069
   0.00000,  -0.94434
   0.00000,  -0.95569
   0.00000,  -0.95612
   0.00000,  -0.95381
   0.00000,  -0.95316
   0.00000,  -0.95591
   0.00000,  -0.95687
   0.00000,  -0.95767
   0.00000,  -0.95873
   0.00000,  -0.95669
   0.00000,  -0.95712
   0.00000,  -0.95723
   0.00000,  -0.96108
   0.00000,  -0.97535
   0.00000,  -0.97511
   0.00000,  -0.96477
   0.00000,  -0.95776
   0.00000,  -0.95750
   0.00001,  -0.93496
   0.00001,  -0.92147
   0.00030,  -0.80645
   0.00026,  -0.79442
   0.00028,  -0.77498
   0.00021,  -0.77551
   0.00015,  -0.77617
   0.00009,  -0.77740
   0.00006,  -0.77117
   0.00013,  -0.73368
   0.00104,  -0.59077
   0.00219,  -0.48097
   0.00236,  -0.43710
   0.00407,  -0.31979
   0.00303,  -0.32838
   0.00278,  -0.32912
   0.00028,  -0.33839
   0.00137,  -0.32887
   0.00048,  -0.33695
   0.00055,  -0.31794
   0.00003,  -0.32306
   0.00038,  -0.32022
   0.00023,  -0.30474
   0.00045,  -0.30159
   0.00008,  -0.30498
   0.00015,  -0.29477
   0.00020,  -0.29467
   0.00009,  -0.27742
   0.00006,  -0.27030
   0.00007,  -0.27051
   0.00002,  -0.27127
   0.00001,  -0.26732
   0.00000,  -0.26263
   0.00000,  -0.26296
   0.00000,  -0.25873
   0.00001,  -0.25865
   0.00000,  -0.25658
   0.00000,  -0.25687
   0.00000,  -0.25522
   0.00000,  -0.25162
   0.00001,  -0.25133
   0.00000,  -0.25336
   0.00000,  -0.25328
   0.00001,  -0.24619
   0.00000,  -0.24580
   0.00000,  -0.24520
