MSE, Q-LIKE
3108.93759,   4.02792
3962.93438,   4.14848
47946.92035,   5.39069
26404.52487,   5.09302
4931.96455,   4.25723
6319.75491,   4.38056
1237.42983,   3.57131
5209.41602,   4.28442
2975.69631,   4.00613
3422.45906,   4.07559
 637.00444,   3.24333
 180.60215,   2.62614
 532.34903,   3.15517
2303.91034,   3.87914
13400.33639,   4.75484
 748.56879,   3.32310
11968.78309,   4.69855
 550.92508,   3.17225
2375.97324,   3.89457
69732.51893,   5.57769
46449.31113,   5.37487
19419.58515,   4.93988
1490.87467,   3.66386
30766.74670,   5.16937
1123571.50014,   6.96639
5287.43021,   4.29203
73805.22163,   5.60606
141898.04946,   5.93249
7528.21556,   4.46785
29766.21991,   5.15290
16870.60537,   4.86976
347416.32050,   6.37982
84199.80252,   5.67186
27279.83745,   5.10939
21764.87289,   4.99676
93614.26476,   5.72479
1644.02631,   3.71240
3650.53006,   4.10799
39195.44747,   5.29020
66453.45058,   5.55369
36007.15171,   5.24786
11983.77136,   4.69932
12570.33005,   4.72313
12960.75381,   4.73838
6284.52470,   4.37800
21492.12646,   4.99047
77887.63210,   5.63295
27071.85420,   5.10557
 628.48071,   3.23761
1664.26862,   3.71842
9102.14187,   4.56234
3533.15654,   4.09172
13883.83131,   4.77265
2690.43655,   3.95647
 582.89783,   3.20067
5441.63638,   4.30643
191142.59199,   6.08132
52860.59482,   5.43949
27610.61981,   5.11544
30521.89755,   5.16545
51021.03796,   5.42182
116200.01870,   5.83274
158371.32915,   5.98738
13255.61648,   4.74960
9378.94850,   4.57728
55823.20492,   5.46669
144443.73409,   5.94139
3843.26544,   4.13357
12484.67220,   4.71977
45816.60960,   5.36810
 293.83867,   2.86508
3919.01272,   4.14328
28843.38511,   5.13719
7460.20646,   4.46333
8920.53113,   4.55231
6711.09633,   4.41067
31687.45266,   5.18408
1541.64228,   3.68055
180302.71478,   6.05216
128116.13499,   5.88149
26142.55934,   5.08820
108343.96895,   5.79779
59326.81911,   5.49711
153406.12954,   5.97147
9585.54526,   4.58822
40210.90734,   5.30300
34764.41332,   5.23037
7912.91445,   4.49274
49592.42148,   5.40764
117862.34308,   5.83983
9846.43615,   4.60156
6160.68878,   4.36818
109724.27957,   5.80410
218854.67419,   6.14895
23932.27671,   5.04410
159915.06985,   5.99221
32904.02365,   5.20289
373824.25767,   6.41643
8111.13757,   4.50496
1420.19128,   3.63987
49748.35494,   5.40915
33073.52164,   5.20544
29106.04349,   5.14168
26399.15928,   5.09299
32038.44775,   5.18957
 871.35967,   3.39849
5128.14215,   4.27682
26283.11434,   5.09080
16840.04369,   4.86881
2617.14551,   3.94258
1986.23729,   3.80576
7786.45605,   4.48445
2282.62676,   3.87461
19947.18818,   4.95310
 123.64016,   2.44132
27950.33676,   5.12129
 611.59604,   3.22278
2744.23032,   3.96561
 103.93653,   2.35728
21153.19157,   4.98228
15606.32229,   4.83058
2720.52636,   3.96114
1380.43064,   3.62470
14654.50610,   4.79922
4896.66713,   4.25328
1618.42018,   3.70352
1418.05116,   3.63805
2822.39768,   3.97944
3447.12553,   4.07877
 257.85211,   2.79844
 552.68891,   3.17265
3003.08748,   4.01024
7411.32224,   4.45955
2852.02246,   3.98461
8854.15047,   4.54817
3443.76910,   4.07832
7694.79251,   4.47828
27001.60574,   5.10403
7605.12386,   4.47254
2118.48803,   3.83717
8355.81963,   4.51936
23964.39020,   5.04460
781445.52847,   6.78488
59367.62326,   5.49730
104896.18877,   5.78153
643200.19412,   6.68758
46121.04563,   5.37127
3733.85338,   4.11876
5365.40316,   4.29901
14132.20943,   4.78127
260624.41619,   6.23615
37766.36419,   5.27152
4050.25274,   4.15917
51417.98024,   5.42558
807197.72968,   6.80110
48916.83604,   5.40073
170958.13312,   6.02559
3146529.94348,   7.48114
32951.03271,   5.20376
1071863.66556,   6.94288
1555203.33995,   7.12891
1651791.56397,   7.15904
1614829.91975,   7.14773
691001.46130,   6.72358
5495197.09916,   7.75992
2659558.61471,   7.39716
28760004.86347,   8.58736
92886451.48191,   9.17351
3231800.39869,   7.49462
64965367.62034,   8.99476
29179814.38819,   8.59462
35302767.04622,   8.68985
30282355.35273,   8.61316
38726515.53646,   8.73613
11111365.13920,   8.11196
23772009.43533,   8.49216
3242552.75426,   7.49634
34285791.00831,   8.67525
87457377.19241,   9.14341
23646964.66604,   8.48953
7394203.64596,   7.90838
6135738.65230,   7.81513
3520152.43472,   7.53741
2510560.75795,   7.36849
8701732.83539,   7.98978
3532132.01001,   7.53912
7205596.33117,   7.89547
2768396.07263,   7.41735
9011219.58889,   8.00725
4993972.87180,   7.71222
342061.86963,   6.37271
591040.70896,   6.64587
4506879.31449,   7.66094
14832291.85634,   8.25637
14482271.24299,   8.24443
9514369.78145,   8.03442
21474450.10605,   8.44136
638377.06805,   6.68436
15715829.60135,   8.28530
500253.24130,   6.56260
350853.19445,   6.38545
203589.92062,   6.11378
