MSE, Q-LIKE
   0.00004,  -0.57984
   0.00005,  -0.57819
   0.00004,  -0.58286
   0.00001,  -0.59750
   0.00001,  -0.59737
   0.00001,  -0.59437
   0.00001,  -0.59470
   0.00001,  -0.59427
   0.00002,  -0.59093
   0.00002,  -0.59059
   0.00002,  -0.59050
   0.00002,  -0.59259
   0.00000,  -0.60216
   0.00000,  -0.60230
   0.00000,  -0.60339
   0.00000,  -0.60251
   0.00000,  -0.60887
   0.00001,  -0.59933
   0.00002,  -0.59042
   0.00002,  -0.58870
   0.00004,  -0.58299
   0.00005,  -0.57767
   0.00006,  -0.57539
   0.00005,  -0.57798
   0.00005,  -0.57576
   0.00005,  -0.57692
   0.00003,  -0.58310
   0.00004,  -0.58250
   0.00004,  -0.58278
   0.00004,  -0.58285
   0.00004,  -0.58287
   0.00003,  -0.58569
   0.00003,  -0.58624
   0.00001,  -0.59463
   0.00001,  -0.59943
   0.00001,  -0.59944
   0.00000,  -0.60284
   0.00000,  -0.60340
   0.00000,  -0.60313
   0.00000,  -0.60740
   0.00000,  -0.61330
   0.00000,  -0.61202
   0.00000,  -0.61305
   0.00000,  -0.61464
   0.00000,  -0.61468
   0.00000,  -0.61053
   0.00000,  -0.60946
   0.00000,  -0.61203
   0.00000,  -0.61710
   0.00001,  -0.62696
   0.00001,  -0.63012
   0.00003,  -0.64180
   0.00003,  -0.64230
   0.00010,  -0.66253
   0.00025,  -0.69147
   0.00025,  -0.69151
   0.00025,  -0.69281
   0.00025,  -0.69258
   0.00027,  -0.69557
   0.00029,  -0.69802
   0.00042,  -0.71530
   0.00041,  -0.71468
   0.00039,  -0.71213
   0.00039,  -0.71170
   0.00038,  -0.71095
   0.00038,  -0.71000
   0.00037,  -0.70897
   0.00037,  -0.70893
   0.00037,  -0.70872
   0.00037,  -0.70917
   0.00036,  -0.70828
   0.00038,  -0.71101
   0.00039,  -0.71141
   0.00038,  -0.71082
   0.00032,  -0.70312
   0.00033,  -0.70369
   0.00032,  -0.70298
   0.00032,  -0.70307
   0.00019,  -0.68185
   0.00026,  -0.69289
   0.00026,  -0.69360
   0.00012,  -0.66700
   0.00011,  -0.66491
   0.00011,  -0.66511
   0.00010,  -0.66384
   0.00010,  -0.66255
   0.00011,  -0.66470
   0.00011,  -0.66626
   0.00011,  -0.66607
   0.00013,  -0.66921
   0.00013,  -0.66900
   0.00012,  -0.66861
   0.00012,  -0.66778
   0.00003,  -0.63970
   0.00000,  -0.62130
   0.00000,  -0.61590
   0.00007,  -0.57215
   0.00012,  -0.55874
   0.00025,  -0.53390
   0.00044,  -0.50802
   0.00049,  -0.50191
   0.00068,  -0.48167
   0.00095,  -0.45826
   0.00409,  -0.29181
   0.00443,  -0.27898
   0.00467,  -0.27002
   0.00872,  -0.14434
   0.00897,  -0.13772
   0.01218,  -0.05905
   0.01380,  -0.02343
   0.01788,   0.05798
   0.01856,   0.07073
   0.01944,   0.08662
   0.01993,   0.09542
   0.02646,   0.20330
   0.02766,   0.22161
   0.02850,   0.23414
   0.02947,   0.24850
   0.02961,   0.25053
   0.02963,   0.25073
   0.02966,   0.25124
   0.03241,   0.29033
   0.03263,   0.29339
   0.03316,   0.30075
   0.03334,   0.30328
   0.03526,   0.32921
   0.03535,   0.33049
   0.03535,   0.33042
   0.03531,   0.32992
   0.03628,   0.34281
   0.03670,   0.34835
   0.04184,   0.41334
   0.04291,   0.42645
   0.04262,   0.42289
   0.04307,   0.42831
   0.04348,   0.43331
   0.04349,   0.43340
   0.04333,   0.43147
   0.04365,   0.43531
   0.04524,   0.45427
   0.04526,   0.45446
   0.04786,   0.48473
