MSE, Q-LIKE
   0.00000,  -0.60453
   0.00000,  -0.60360
   0.00000,  -0.60185
   0.00000,  -0.60188
   0.00000,  -0.60212
   0.00000,  -0.60173
   0.00000,  -0.60349
   0.00000,  -0.60357
   0.00000,  -0.60164
   0.00000,  -0.60515
   0.00000,  -0.60488
   0.00000,  -0.60489
   0.00000,  -0.60320
   0.00000,  -0.59740
   0.00000,  -0.59053
   0.00000,  -0.58934
   0.00000,  -0.58665
   0.00000,  -0.58501
   0.00000,  -0.58083
   0.00000,  -0.58037
   0.00000,  -0.57877
   0.00000,  -0.58328
   0.00001,  -0.59749
   0.00000,  -0.59749
   0.00000,  -0.59454
   0.00000,  -0.59486
   0.00000,  -0.59443
   0.00000,  -0.59115
   0.00000,  -0.59083
   0.00000,  -0.59074
   0.00000,  -0.59278
   0.00000,  -0.60216
   0.00000,  -0.60235
   0.00000,  -0.60343
   0.00000,  -0.60256
   0.00000,  -0.60886
   0.00000,  -0.59938
   0.00000,  -0.59063
   0.00000,  -0.58899
   0.00000,  -0.58341
   0.00000,  -0.57826
   0.00000,  -0.57607
   0.00000,  -0.57857
   0.00000,  -0.57642
   0.00000,  -0.57755
   0.00000,  -0.58351
   0.00000,  -0.58294
   0.00000,  -0.58322
   0.00000,  -0.58329
   0.00000,  -0.58330
   0.00000,  -0.58604
   0.00000,  -0.58659
   0.00000,  -0.59476
   0.00000,  -0.59950
   0.00000,  -0.59953
   0.00000,  -0.60288
   0.00000,  -0.60344
   0.00000,  -0.60318
   0.00000,  -0.60741
   0.00000,  -0.61327
   0.00000,  -0.61202
   0.00000,  -0.61305
   0.00000,  -0.61464
   0.00000,  -0.61468
   0.00000,  -0.61053
   0.00000,  -0.60946
   0.00000,  -0.61203
   0.00000,  -0.61709
   0.00000,  -0.62702
   0.00000,  -0.63027
   0.00001,  -0.64216
   0.00000,  -0.64274
   0.00002,  -0.66360
   0.00004,  -0.69416
   0.00000,  -0.69478
   0.00000,  -0.69619
   0.00000,  -0.69595
   0.00000,  -0.69919
   0.00000,  -0.70188
   0.00001,  -0.72077
   0.00000,  -0.72026
   0.00000,  -0.71741
   0.00000,  -0.71695
   0.00000,  -0.71611
   0.00000,  -0.71506
   0.00000,  -0.71392
   0.00000,  -0.71388
   0.00000,  -0.71364
   0.00000,  -0.71414
   0.00000,  -0.71316
   0.00000,  -0.71618
   0.00000,  -0.71662
   0.00000,  -0.71596
   0.00000,  -0.70743
   0.00000,  -0.70809
   0.00000,  -0.70732
   0.00000,  -0.70742
   0.00002,  -0.68409
   0.00000,  -0.69625
   0.00000,  -0.69705
   0.00003,  -0.66811
   0.00000,  -0.66627
   0.00000,  -0.66653
   0.00000,  -0.66519
   0.00000,  -0.66384
   0.00000,  -0.66609
   0.00000,  -0.66774
   0.00000,  -0.66754
   0.00000,  -0.67086
   0.00000,  -0.67064
   0.00000,  -0.67023
   0.00000,  -0.66935
   0.00003,  -0.63964
   0.00003,  -0.62099
   0.00001,  -0.61581
   0.00009,  -0.57188
   0.00004,  -0.55971
   0.00006,  -0.53620
   0.00005,  -0.51264
   0.00001,  -0.50752
   0.00001,  -0.48944
   0.00002,  -0.46887
   0.00120,  -0.32400
   0.00071,  -0.31897
   0.00041,  -0.31489
   0.00133,  -0.21930
   0.00064,  -0.21989
   0.00088,  -0.16686
   0.00052,  -0.14656
   0.00070,  -0.09597
   0.00020,  -0.09095
   0.00002,  -0.08240
   0.00001,  -0.07730
   0.00025,  -0.01506
   0.00000,  -0.00604
   0.00000,   0.00077
   0.00001,   0.00853
   0.00002,   0.00965
   0.00001,   0.00975
   0.00000,   0.00999
   0.00004,   0.03088
   0.00000,   0.03233
   0.00000,   0.03619
   0.00000,   0.03751
   0.00002,   0.05102
   0.00000,   0.05161
   0.00000,   0.05157
   0.00000,   0.05132
   0.00001,   0.05795
   0.00001,   0.06078
   0.00016,   0.09388
   0.00005,   0.09998
   0.00002,   0.09811
   0.00001,   0.10076
   0.00001,   0.10321
   0.00001,   0.10323
   0.00000,   0.10228
   0.00000,   0.10416
   0.00002,   0.11344
   0.00001,   0.11347
   0.00005,   0.12813
   0.34366,   1.53435
   0.30462,   1.42897
   0.27535,   1.36022
   0.24584,   1.29859
   0.21570,   1.24275
   0.18545,   1.19311
   0.15545,   1.14958
   0.12605,   1.11192
   0.09786,   1.08006
   0.07173,   1.05406
   0.04836,   1.03355
   0.02855,   1.01823
   0.01339,   1.00788
   0.00373,   1.00203
   0.00007,   1.00004
   0.00083,   1.00040
   0.00245,   1.00115
   0.00380,   1.00175
   0.00342,   1.00159
   0.00226,   1.00106
