MSE, Q-LIKE
   0.00001,  -0.60446
   0.00000,  -0.60359
   0.00000,  -0.60183
   0.00000,  -0.60187
   0.00000,  -0.60212
   0.00000,  -0.60173
   0.00000,  -0.60349
   0.00000,  -0.60356
   0.00000,  -0.60163
   0.00000,  -0.60510
   0.00000,  -0.60487
   0.00000,  -0.60485
   0.00000,  -0.60320
   0.00000,  -0.59735
   0.00000,  -0.59055
   0.00000,  -0.58929
   0.00000,  -0.58660
   0.00000,  -0.58500
   0.00001,  -0.58074
   0.00000,  -0.58036
   0.00000,  -0.57877
   0.00000,  -0.58326
   0.00000,  -0.59759
   0.00000,  -0.59749
   0.00000,  -0.59451
   0.00000,  -0.59486
   0.00000,  -0.59441
   0.00000,  -0.59115
   0.00000,  -0.59083
   0.00000,  -0.59072
   0.00000,  -0.59279
   0.00000,  -0.60220
   0.00000,  -0.60235
   0.00000,  -0.60343
   0.00000,  -0.60255
   0.00000,  -0.60887
   0.00000,  -0.59941
   0.00000,  -0.59066
   0.00000,  -0.58897
   0.00001,  -0.58334
   0.00000,  -0.57826
   0.00000,  -0.57607
   0.00000,  -0.57856
   0.00000,  -0.57643
   0.00000,  -0.57753
   0.00000,  -0.58353
   0.00000,  -0.58293
   0.00000,  -0.58321
   0.00000,  -0.58329
   0.00000,  -0.58330
   0.00000,  -0.58604
   0.00000,  -0.58655
   0.00001,  -0.59470
   0.00000,  -0.59951
   0.00000,  -0.59951
   0.00000,  -0.60288
   0.00000,  -0.60344
   0.00000,  -0.60316
   0.00000,  -0.60742
   0.00000,  -0.61327
   0.00000,  -0.61202
   0.00000,  -0.61304
   0.00000,  -0.61464
   0.00000,  -0.61467
   0.00000,  -0.61054
   0.00000,  -0.60946
   0.00000,  -0.61202
   0.00000,  -0.61710
   0.00000,  -0.62701
   0.00000,  -0.63022
   0.00001,  -0.64216
   0.00000,  -0.64274
   0.00001,  -0.66370
   0.00005,  -0.69410
   0.00001,  -0.69468
   0.00000,  -0.69616
   0.00000,  -0.69595
   0.00000,  -0.69914
   0.00000,  -0.70183
   0.00001,  -0.72077
   0.00000,  -0.72025
   0.00000,  -0.71741
   0.00002,  -0.71671
   0.00000,  -0.71611
   0.00000,  -0.71505
   0.00000,  -0.71392
   0.00000,  -0.71387
   0.00000,  -0.71364
   0.00000,  -0.71414
   0.00000,  -0.71315
   0.00000,  -0.71618
   0.00000,  -0.71662
   0.00000,  -0.71596
   0.00000,  -0.70742
   0.00000,  -0.70809
   0.00000,  -0.70732
   0.00000,  -0.70741
   0.00002,  -0.68411
   0.00000,  -0.69625
   0.00000,  -0.69705
   0.00001,  -0.66833
   0.00000,  -0.66631
   0.00000,  -0.66652
   0.00000,  -0.66519
   0.00000,  -0.66383
   0.00000,  -0.66609
   0.00000,  -0.66774
   0.00000,  -0.66752
   0.00000,  -0.67085
   0.00000,  -0.67062
   0.00000,  -0.67023
   0.00000,  -0.66935
   0.00004,  -0.63956
   0.00003,  -0.62090
   0.00001,  -0.61578
   0.00007,  -0.57208
   0.00009,  -0.55902
   0.00010,  -0.53572
   0.00011,  -0.51194
   0.00009,  -0.50667
   0.00003,  -0.48923
   0.00006,  -0.46854
   0.00135,  -0.32252
   0.00055,  -0.32031
   0.00018,  -0.31670
   0.00090,  -0.22248
   0.00020,  -0.22282
   0.00000,  -0.17210
   0.00006,  -0.14916
   0.00001,  -0.09945
   0.00043,  -0.08978
   0.01184,  -0.04706
   0.00005,  -0.07711
   0.00079,  -0.01337
   0.00006,  -0.00583
   0.00233,   0.00803
   0.00005,   0.00870
   0.00011,   0.00999
   0.00026,   0.01069
   0.00005,   0.01014
   0.00000,   0.03073
   0.00022,   0.03315
   0.00000,   0.03619
   0.00006,   0.03771
   0.00015,   0.05147
   0.00000,   0.05162
   0.00005,   0.05174
   0.00002,   0.05137
   0.00011,   0.05831
   0.00000,   0.06076
   0.00036,   0.09452
   0.00008,   0.10006
   0.00005,   0.09823
   0.00002,   0.10077
   0.00000,   0.10318
   0.00008,   0.10347
   0.00001,   0.10231
   0.00004,   0.10426
   0.00007,   0.11358
   0.00000,   0.11346
   0.00005,   0.12813
