MSE, Q-LIKE
 231.72924,  10.17594
 211.37157,  19.58478
 213.40660,  19.36888
 179.01084,  20.02920
 174.55224,  15.68816
 183.50737,  28.92028
 203.87071,  24.45960
 194.17301,  32.45285
 158.28182,  10.05529
 181.42707,  19.92632
 200.67716,  25.73812
 193.94733,  22.59500
 157.38192,   7.50879
 140.17538,   8.76454
 139.65421,  17.43138
 128.55328,  15.00269
 129.16550,  32.08855
 122.56142,  15.97436
 114.23078,  19.92009
 105.86256,  17.99845
 112.71787,  41.39025
 121.85666,  79.97904
 191.52010,  59.02818
 194.47792,  29.21115
 223.50924,  14.05176
 262.12037,  58.45679
 218.07830,  14.56868
 330.17895,  76.35692
 377.81089,  40.08246
 295.77625,   8.47982
 304.26977,   9.85579
 526.77090,  17.77435
 569.42068,  61.53028
 533.62693,  14.71881
 223.45104,   4.77099
 618.64383,  34.79229
 534.78440,  10.50645
 484.31475,   8.16675
 732.34305,  31.99586
 684.07977,  16.68742
 718.04817,  21.86033
 480.75311,   6.49302
 559.20492,  10.20994
 608.47398,  16.41573
 566.49889,  17.50346
 495.70704,   9.38964
 640.18030,  62.18510
 555.77177,  39.39844
 446.55957,  12.34876
 426.25913,   9.94913
 437.85016,  12.65702
 270.64464,  16.09186
 275.45447,  15.89205
 272.75179,  15.61716
 257.76200,  20.97750
 235.00446,  11.82706
 190.53405,   6.96908
 224.32430,  10.59301
 154.00479,  48.73983
 169.98080,  31.90925
 145.88636,  13.58906
 151.78634,  21.14404
 129.75746,  10.83108
 163.24142,  24.88233
 240.35884,  63.31709
 295.99437,  23.95668
 290.70794,  24.02177
 253.00319,   8.74699
 288.62432,  11.71923
 322.23136,  11.82109
 317.30545,   9.69519
 340.60864,  10.68495
 276.41086,   6.55800
 353.05450,  17.43472
 354.42277,  20.36571
 334.56088,   9.59390
 279.55040,   6.73278
 402.00215,  32.75908
 415.02451,  19.31120
 355.65949,  10.56315
 444.03319, 120.82068
 432.64269,  33.65297
 383.86304,  13.05396
 403.39682,  21.18455
 338.38614,  20.37888
 272.24839,  20.88926
 225.00474,   9.99594
 350.75577,  47.51765
 287.52560,   6.43727
 310.70838,   7.19750
 426.67363,  14.23947
 392.60450,   8.20719
 455.99186,  10.65018
 397.95534,   7.45599
 545.65745,  24.78656
 472.10742,  12.52072
 480.27467,  13.36652
 528.73874,  26.67768
 448.44756,  11.30002
 407.40492,   8.10973
 502.16065,  23.53868
 569.61736,  31.08491
 456.83097,   8.64766
 396.80605,   6.79926
 527.99492,  15.69659
 409.48288,   7.37414
 513.44288,  14.08401
 257.24852,   5.43340
 355.60924,  21.75887
 343.85894,  48.97249
 181.30717,   5.88253
 217.18801,   9.69448
 173.98047,   8.51143
 186.12965,   9.87177
 160.52299,   8.65363
 240.72083,  51.99254
 256.01365,  22.95511
 230.35145,  10.83405
 231.71844,  12.97431
 244.30172,  30.75834
 251.02611,  35.59565
 177.42540,  15.94018
 189.14082,  28.94992
 160.96249,  10.31771
 195.21807, 122.45691
 155.30901,   8.96097
 188.54018,  54.74007
 181.08309,  25.95484
 216.47790, 140.48261
 169.54470,   9.93707
 180.98107,  11.63544
 179.68436,  25.95390
 211.50411,  38.96838
 185.87631,  12.43858
 209.38490,  21.27186
 181.04776,  33.39077
 159.88554,  33.44585
 141.52755,  22.67774
 139.52866,  20.52834
 150.64652,  74.76884
 168.57987,  54.36505
 157.07085,  23.19597
 151.01648,  15.09360
 162.90286,  24.20018
 220.90516,  16.70967
 230.35953,  26.25385
 225.88146,  17.96818
 229.84744,  14.75256
 419.41760,  24.30611
 502.64134, 104.21449
 483.76286,  24.92469
 687.79874,  18.36171
 354.69002,   5.30966
 635.22352,  12.22754
 599.10953,   9.72913
 387.84102,   5.53718
 662.14946,  13.73925
 747.06546,  45.10526
 741.16608,  37.76643
 734.49340,  23.93523
 522.22129,   7.10530
 680.19131,  15.06254
 788.65409, 144.67127
 939.53688,  15.32435
 660.38582,   6.05540
1112.28946,  16.86013
1413.12571,  11.50527
 642.35160,   5.30448
1748.49151,  24.60472
1291.18855,   6.80747
1171.88175,   6.26812
1146.57128,   6.18801
1660.37811,   7.75390
3544.84372,  10.27811
2072.66462,   6.09666
2872.18281,   7.07742
 805.28117,   5.51127
 193.95922,   5.42393
5154.22396,   7.88197
 143.68170,   5.53825
2101.40892,   5.83794
1709.61597,   5.78045
2228.61639,   5.86575
1567.06968,   5.76697
4826.26511,   6.42668
3825.94095,   6.15544
8340.20910,   8.96139
2658.78894,   5.95062
 240.65943,   5.70410
3493.15833,   6.09962
6454.23436,   7.25702
7180.24362,   7.63032
8071.22048,   8.71866
8502.92293,  16.69913
4729.70228,   6.71555
6586.64918,   8.25115
4528.15409,   7.05406
5380.99510,   8.22047
2777.38220,   6.15709
3462.74134,   6.74108
4504.67992,  14.23785
5199.14477,  12.41675
