MSE, Q-LIKE
  10.01142,   4.33343
   1.64525,   4.28017
   0.05083,   4.27042
   0.03346,   4.22997
   0.02185,   4.23188
   0.77789,   4.24747
   0.74609,   4.18617
   0.74834,   4.14108
   0.75938,   4.14596
   2.02330,   4.12962
  35.77585,   3.90404
  12.60489,   3.89040
   4.78208,   3.87759
   6.56384,   3.83388
   4.11541,   3.82751
   1.78911,   3.81212
   1.23349,   3.81292
  23.90024,   3.58659
   2.00408,   3.60365
   2.02333,   3.57277
   2.30557,   3.56446
   2.04218,   3.53687
   0.01117,   3.58760
   7.94044,   3.77742
  15.91731,   3.92171
   5.06535,   3.88771
   6.87575,   3.91453
   4.17767,   3.93300
   6.74974,   3.99111
   8.95150,   4.01317
   8.69729,   4.03384
   7.79739,   4.03673
   5.23541,   4.00062
   3.72718,   3.99097
  11.44862,   4.04502
   9.04397,   4.03475
   3.28140,   4.03312
   5.46417,   4.07455
   1.63228,   4.04662
   0.11286,   4.05627
   0.03110,   4.06474
   0.00552,   4.05837
   0.11939,   4.04843
   4.13952,   3.96711
   9.60794,   3.86478
   1.14221,   3.82217
   3.68972,   3.95671
   9.51410,   4.06730
   0.49616,   4.05497
   2.18771,   4.10589
   2.16001,   4.14240
   2.05092,   4.17131
   0.20816,   4.17272
   0.65052,   4.19272
   0.03310,   4.16700
   0.46630,   4.16930
   1.49350,   4.17451
   0.57238,   4.15350
   0.04268,   4.16211
   0.11977,   4.15297
   2.85495,   4.20751
   1.19164,   4.20734
   0.02536,   4.20279
   0.00492,   4.20252
   0.00038,   4.19077
   0.00570,   4.19761
   4.50549,   4.10212
   8.35073,   3.99265
   4.43330,   3.94572
   5.35406,   3.85592
   2.85741,   3.81143
   8.37258,   3.73009
   0.79117,   3.72746
   0.62150,   3.67289
   2.36321,   3.76621
   4.49113,   3.82612
   2.95144,   3.82745
   2.04381,   3.80891
   0.56951,   3.78271
   0.59041,   3.79182
   3.02282,   3.65997
   1.19348,   3.65818
   2.00450,   3.65070
   0.43780,   3.64615
   0.01516,   3.64876
   0.03593,   3.63772
   0.22171,   3.63834
   0.50048,   3.69699
   0.03165,   3.67771
   0.11221,   3.69148
   0.85788,   3.63595
   0.50079,   3.70367
   0.62564,   3.69905
   1.00355,   3.72143
   4.66204,   3.63896
   5.61612,   3.57994
   4.90627,   3.53284
   2.82235,   3.52553
   1.13446,   3.52390
   0.01608,   3.58183
   0.04897,   3.57142
   0.05162,   3.57670
   0.04631,   3.58783
   4.78102,   3.77201
   0.36909,   3.75865
   0.08014,   3.76701
   0.05341,   3.78952
  23.99612,   4.09832
  15.19239,   4.13848
   7.15410,   4.13963
  47.65522,   4.36916
  20.21823,   4.33718
  23.28542,   4.33898
  19.03516,   4.33759
  13.16273,   4.33231
   7.55213,   4.33353
   4.73982,   4.33363
   2.50235,   4.33246
   2.73914,   4.34444
   0.19091,   4.33087
   0.48844,   4.33350
   0.42549,   4.34230
  25.42016,   4.50874
   4.55574,   4.54835
   0.14287,   4.57141
  31.32900,   4.74209
   0.05210,   4.76319
   1.08744,   4.77608
   8.31890,   4.83669
  10.87612,   4.84614
  32.64291,   4.85046
   4.36323,   4.90632
 275.84835,   5.26073
  13.42099,   5.23515
   0.00493,   5.24713
  80.81516,   5.41385
   6.72782,   5.41284
   0.43197,   5.49733
  50.92666,   5.53087
   0.00584,   5.60374
   2.19694,   5.61287
   3.82295,   5.62752
   0.46503,   5.62320
  55.10700,   5.69768
   1.52883,   5.70613
   0.20890,   5.69444
   0.55071,   5.70184
   2.89403,   5.69182
   2.43401,   5.67972
   0.95724,   5.67786
   2.69771,   5.69612
   0.82876,   5.68780
  96.89535,   5.59841
   9.79765,   5.58826
   2.52382,   5.60486
  76.53308,   5.50813
   0.03753,   5.49974
  22.08087,   5.41711
   2.47431,   5.39682
  26.94381,   5.29233
  47.54180,   5.38367
