MSE, Q-LIKE
  24.04873,   4.34591
  25.91463,   4.30343
   1.43062,   4.27148
   1.42764,   4.23100
   1.87299,   4.23322
   0.34540,   4.24711
   0.01426,   4.18557
   0.29436,   4.14068
   0.05990,   4.14534
   0.16963,   4.12799
  26.78956,   3.89565
  11.10580,   3.88873
   0.94096,   3.87244
   7.81861,   3.83553
   0.09472,   3.82141
   0.46725,   3.81000
   0.07338,   3.81100
  15.00343,   3.57129
   0.58770,   3.60031
   0.29061,   3.56840
   1.17103,   3.56244
   0.08282,   3.53153
   0.96590,   3.59059
   4.37568,   3.76729
  19.21423,   3.93042
   6.80764,   3.89140
   9.91487,   3.92102
   9.38884,   3.94311
  14.11081,   4.00467
   8.20488,   4.01190
  16.80124,   4.04794
  12.11197,   4.04382
   2.80643,   3.99684
   4.54932,   3.99227
   1.71842,   4.03022
   1.15465,   4.02298
   0.32501,   4.02918
   2.15422,   4.07022
   0.59280,   4.04525
   0.16669,   4.05632
   2.37331,   4.06706
   0.11477,   4.05849
   1.10089,   4.04946
   7.26418,   3.97042
   5.78511,   3.86004
   0.39229,   3.82097
   0.68098,   3.95189
  18.50125,   4.08203
   1.25697,   4.05590
   1.98567,   4.10566
   4.05588,   4.14448
   4.61066,   4.17396
   3.70346,   4.17617
   0.80586,   4.19286
   0.07462,   4.16704
   0.46380,   4.16930
   2.29231,   4.17514
   1.43801,   4.15422
   0.28598,   4.16234
   0.18866,   4.15303
   1.67483,   4.20641
   0.92780,   4.20710
   2.37804,   4.20491
   0.95122,   4.20335
   0.03357,   4.19080
   1.00418,   4.19849
   2.57415,   4.10044
  14.54495,   3.99843
   2.42493,   3.94339
   3.12195,   3.85293
   3.75669,   3.81276
   5.02614,   3.72474
   2.95904,   3.73139
   0.22682,   3.67203
   1.19844,   3.76343
   0.42862,   3.81732
   1.87977,   3.82515
   0.95547,   3.80659
   0.02735,   3.78159
   1.69303,   3.79420
   1.77368,   3.65745
   0.05451,   3.65565
   2.51239,   3.65175
   0.02225,   3.64517
   0.01224,   3.64876
   0.19364,   3.63811
   0.00077,   3.63780
   1.10597,   3.69855
   0.07253,   3.67780
   0.00000,   3.69121
   0.31365,   3.63469
   0.78858,   3.70439
   0.16378,   3.69809
   0.02457,   3.71948
   3.64278,   3.63695
   7.11161,   3.58304
   4.49570,   3.53188
   1.37840,   3.52176
   4.26820,   3.53184
   0.08759,   3.58203
   0.37962,   3.57233
   0.37817,   3.57759
   0.70629,   3.58953
   7.41247,   3.77941
   0.00393,   3.75788
   0.01313,   3.76687
   0.00003,   3.78942
  19.62767,   4.09047
  21.30804,   4.14755
   6.54661,   4.13890
  37.23592,   4.35764
  13.82723,   4.33142
  26.59562,   4.34220
  10.87521,   4.33043
  12.93909,   4.33212
   2.35865,   4.32959
   2.03191,   4.33165
   4.49254,   4.33392
   5.90636,   4.34675
   5.47653,   4.33468
   0.71973,   4.33366
   0.42590,   4.34230
  25.08400,   4.50853
  36.23670,   4.56567
   2.61795,   4.57246
  40.29590,   4.74560
  41.95320,   4.77720
   5.43952,   4.77713
  51.59463,   4.84482
   0.96351,   4.84408
   2.23748,   4.84455
   7.51627,   4.90713
 259.36863,   5.25762
 748.32140,   5.38578
  18.78419,   5.24890
 196.47571,   5.42556
  74.69141,   5.41717
  23.54773,   5.49866
   5.58186,   5.52849
  70.05777,   5.60689
   2.04699,   5.61286
   2.64969,   5.62745
  40.72488,   5.62532
   3.55593,   5.69530
   5.63673,   5.70631
  73.83850,   5.69722
  11.76999,   5.70233
   0.16979,   5.69171
  11.36537,   5.68009
   1.37569,   5.67788
   4.82624,   5.69621
   9.01717,   5.68813
 154.08099,   5.60077
   7.21205,   5.58814
  15.71828,   5.60556
 129.44029,   5.51075
  11.91482,   5.50044
   5.61130,   5.41601
  49.56860,   5.39999
  13.75146,   5.29123
  24.54690,   5.38156
