,Ticker,Security,Sector,Subsector,HQLocation,DateFirstAdded,CIK,Founded,CurrentDate,MarketCap | Current,MarketCap | Q4_2019,MarketCap | Q3_2019,MarketCap | Q2_2019,MarketCap | Q1_2019,MarketCap | Q4_2018,EnterpriseValue | Current,EnterpriseValue | Q4_2019,EnterpriseValue | Q3_2019,EnterpriseValue | Q2_2019,EnterpriseValue | Q1_2019,EnterpriseValue | Q4_2018,TrailingP/E | Current,TrailingP/E | Q4_2019,TrailingP/E | Q3_2019,TrailingP/E | Q2_2019,TrailingP/E | Q1_2019,TrailingP/E | Q4_2018,ForwardP/E | Current,ForwardP/E | Q4_2019,ForwardP/E | Q3_2019,ForwardP/E | Q2_2019,ForwardP/E | Q1_2019,ForwardP/E | Q4_2018,PEGRatioE[5yr] | Current,PEGRatioE[5yr] | Q4_2019,PEGRatioE[5yr] | Q3_2019,PEGRatioE[5yr] | Q2_2019,PEGRatioE[5yr] | Q1_2019,PEGRatioE[5yr] | Q4_2018,Price/Sales(ttm) | Current,Price/Sales(ttm) | Q4_2019,Price/Sales(ttm) | Q3_2019,Price/Sales(ttm) | Q2_2019,Price/Sales(ttm) | Q1_2019,Price/Sales(ttm) | Q4_2018,Price/Book(mrq) | Current,Price/Book(mrq) | Q4_2019,Price/Book(mrq) | Q3_2019,Price/Book(mrq) | Q2_2019,Price/Book(mrq) | Q1_2019,Price/Book(mrq) | Q4_2018,EnterpriseValue/Revenue | Current,EnterpriseValue/Revenue | Q4_2019,EnterpriseValue/Revenue | Q3_2019,EnterpriseValue/Revenue | Q2_2019,EnterpriseValue/Revenue | Q1_2019,EnterpriseValue/Revenue | Q4_2018,EnterpriseValue/EBITDA | Current,EnterpriseValue/EBITDA | Q4_2019,EnterpriseValue/EBITDA | Q3_2019,EnterpriseValue/EBITDA | Q2_2019,EnterpriseValue/EBITDA | Q1_2019,EnterpriseValue/EBITDA | Q4_2018,StockPriceHistory | Beta(5YMonthly),StockPriceHistory | 52-WeekChange,StockPriceHistory | S&P50052-WeekChange,StockPriceHistory | 52WeekHigh,StockPriceHistory | 52WeekLow,StockPriceHistory | 50-DayMA,StockPriceHistory | 200-DayMA,ShareStatistics | AvgVol(3mth),ShareStatistics | AvgVol(10day),ShareStatistics | SharesOutstanding,ShareStatistics | Float,ShareStatistics | %HeldbyInsiders,ShareStatistics | %HeldbyInstitutions,ShareStatistics | SharesShort,ShareStatistics | ShortRatio,ShareStatistics | Short%ofFloat,ShareStatistics | Short%ofSharesOutstanding,ShareStatistics | SharesShort(priormth) ,Dividends&Splits | ForwardAnnualDividendRate,Dividends&Splits | ForwardAnnualDividendYield,Dividends&Splits | TrailingAnnualDividendRate,Dividends&Splits | TrailingAnnualDividendYield,Dividends&Splits | 5YearAverageDividendYield,Dividends&Splits | PayoutRatio,Dividends&Splits | DividendDate,Dividends&Splits | Ex-DividendDate,Dividends&Splits | LastSplitFactor,Dividends&Splits | LastSplitDate,FiscalYear | FiscalYearEnds,FiscalYear | MostRecentQuarter,Profitability | ProfitMargin,Profitability | OperatingMargin,ManagementEffectiveness | ROA,ManagementEffectiveness | ROE,IncomeStatement | Revenue(ttm),IncomeStatement | RevenuePerShare(ttm),IncomeStatement | QuarterlyRevenueGrowth(yoy),IncomeStatement | GrossProfit(ttm),IncomeStatement | EBITDA,IncomeStatement | NetIncomeAvitoCommon(ttm),IncomeStatement | DilutedEPS(ttm),IncomeStatement | EarningsGrowth(yoy),BalanceSheet | TotalCash(mrq),BalanceSheet | TotalCashPerShare(mrq),BalanceSheet | TotalDebt(mrq),BalanceSheet | TotalDebt/Equity(mrq),BalanceSheet | CurrentRatio(mrq),BalanceSheet | BookValuePerShare(mrq),CashFlowStatement | OperatingCashFlow(ttm),CashFlowStatement | LeveredFreeCashFlow(ttm),MSE_LTSM,QLIKE_LTSM,MSE_LTSM2,QLIKE_LTSM2,MSE_RNN,QLIKE_RNN,MSE_GARCH,QLIKE_GARCH
0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",30/11/1982,'0000320193,1977,1.13T,1.29T,995.15B,910.64B,895.67B,746.08B,1.13T,1.30T,1.01T,943.18B,923.97B,794.26B,20.35,24.7,19.01,16.58,15.57,13.24,19.23,22.17,17.27,15.97,16.58,,1.55,2.03,2.04,1.45,1.82,,4.41,5.25,4.09,3.68,3.56,2.97,12.63,14.23,10.32,8.47,7.42,6.96,4.23,14.11,15.76,17.53,15.93,9.42,13.61,43.87,50.16,60.04,51.78,28.17,1.29,36.06%,-7.21%,327.85,170.27,285.2,269.56,48.61M,77.43M,4.38B,4.37B,0.07%,61.92%,38.43M,0.65,0.88%,0.88%,40.89M,3.08,1.19%,3.04,1.18%,1.6,23.94%,"Feb 12, 2020","Feb 06, 2020",7:01,"Jun 08, 2014","Sep 27, 2019","Dec 27, 2019",21.49%,24.71%,11.58%,55.47%,267.68B,58.99,8.90%,98.39B,78.12B,57.53B,12.6,11.40%,107.16B,24.49,116.75B,130.4,1.6,20.42,73.22B,45.59B,45.59B,875.3125455,4.624107517,7.88914584,4.379050497,14.7661886,4.380813011,1027.865811,23.10923788
1,AXP,American Express Co,Financials,Consumer Finance,"New York, New York",30/6/1976,'0000004962,1850,75.17B,100.84B,97.11B,103.08B,91.68B,80.74B,,,,,,,11.68,15.05,14.64,15.72,13.82,22.53,10.37,13.83,13.37,15.15,13.46,,0.96,1.55,1.68,3.88,,,2.51,3.45,3.37,3.6,3.25,3.15,3.26,4.38,4.21,4.62,4.1,3.76,,,,,,,,,,,,,1.09,-14.65%,-7.21%,138.13,67,109.67,118.65,5.81M,11.18M,805.78M,654.36M,0.21%,86.90%,8.76M,1.57,,1.47%,7.84M,1.72,1.84%,1.64,1.76%,1.48,20.53%,"May 07, 2020","Apr 01, 2020",10000:8753,"Oct 02, 2005","Dec 30, 2019","Dec 30, 2019",16.91%,21.49%,3.49%,29.80%,39.98B,48.29,8.60%,27.32B,,6.63B,7.99,-15.80%,24B,29.7,65.4B,283.48,1.75,28.48,13.63B,,,2553.5515,5.006115832,13.64109067,4.286601239,22.22886191,4.290248145,1374.170387,23.21226046
2,BA,Boeing Company,Industrials,Aerospace & Defense,"Chicago, Illinois",,'0000012927,1916,101.87B,183.37B,214.12B,204.80B,215.30B,183.06B,119.14B,197.11B,223.73B,211.82B,220.59B,184.95B,,49.66,44.4,20.86,21.37,18.98,41.67,16.31,17.01,21.69,18.87,,6.12,0.99,0.92,1.67,1.41,,1.33,2.14,2.36,2.1,2.21,1.97,,,,1.64k,633.91,,1.56,11.01,11.2,13.45,9.63,6.53,162.32,-133.91,114.38,-77.67,74.1,38.64,1.35,-58.62%,-11.36%,398.66,89,243.48,324.05,15.68M,52.77M,564.23M,531.71M,0.11%,68.42%,9.53M,0.87,1.69%,1.69%,9.04M,,,8.22,4.55%,2.35,,"Mar 05, 2020","Feb 12, 2020",2:01,"Jun 08, 1997","Dec 30, 2019","Dec 30, 2019",-0.83%,-2.75%,-1.05%,,76.56B,135.26,-36.80%,4.76B,169M,-636M,-1.12,,10.03B,17.81,28.53B,,1.05,-15.31,-2.45B,-2.85B,-2.85B,4826.718818,5.34784608,118.7624705,4.645209128,135.6936579,4.645560958,2267.65354,17.90719727
3,CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Trucks,"Deerfield, Illinois",,'0000018230,1925,60.78B,81.24B,69.81B,77.94B,77.98B,73.13B,90.16B,111.24B,98.66B,106.59B,106.68B,100.90B,10.29,13.98,11.72,12.65,13.21,20.27,12.08,13.23,9.97,10.88,10.96,,2.81,1.92,0.61,0.66,0.66,,1.17,1.53,1.32,1.46,1.48,1.44,4.17,5.46,4.7,4.97,5.52,4.61,1.68,8.46,7.73,7.39,7.92,7.04,8.34,52.45,35.84,36.41,35.46,46.56,1.42,-18.44%,-7.21%,150.55,87.5,119.13,133.73,4.52M,6.94M,552.66M,548.95M,0.18%,67.38%,7.88M,1.39,1.38%,1.43%,9.45M,4.12,3.73%,3.95,3.57%,3.03,35.20%,"Feb 19, 2020","Jan 16, 2020",2:01,"Jul 13, 2005","Dec 30, 2019","Dec 30, 2019",11.32%,15.08%,6.46%,42.45%,53.8B,95.8,-8.40%,14.46B,10.61B,6.09B,10.74,4.80%,7.3B,13.27,38.32B,261.92,1.47,26.52,6.91B,2.8B,2.8B,766.5127064,4.635600671,18.1088128,4.397175827,26.62643544,4.401447852,949.1262739,21.56655627
4,CSCO,Cisco Systems,Information Technology,Communications Equipment,"San Jose, California",1/12/1993,'0000858877,,172.09B,194.96B,201.49B,235.45B,241.31B,209.21B,161.03B,185.42B,192.74B,224.50B,226.56B,192.18B,15.79,18.24,18.2,19.3,20.65,152.55,12.61,14.12,14.22,16.16,16.45,15.8,2.4,2.61,2.23,2.12,2.26,1.86,3.39,3.86,4.08,4.96,5.16,4.5,4.84,5.66,6,6.4,5.92,4.77,3.12,15.45,14.65,16.72,17.48,15.44,9.39,44.69,44.56,51.35,52.6,47.42,1.2,-24.84%,-11.36%,58.26,32.4,41.22,45.73,30.74M,45.56M,4.24B,4.24B,0.04%,74.42%,49.53M,1.15,1.17%,1.17%,36.88M,1.44,3.55%,1.4,3.45%,2.96,54.47%,"Apr 21, 2020","Apr 01, 2020",2:01,"Mar 22, 2000","Jul 26, 2019","Jan 24, 2020",21.44%,28.06%,9.37%,28.97%,51.55B,12.04,-3.50%,32.67B,16.2B,11.05B,2.56,2.00%,27.06B,6.38,17.07B,48.04,1.81,8.38,15.66B,11.28B,11.28B,787.3458811,4.60309798,17.64266906,4.400948503,24.3839542,4.402998945,1009.471398,22.83955296
5,CVX,Chevron Corp.,Energy,Integrated Oil & Gas,"San Ramon, California",,'0000093410,1879,143.54B,226.82B,224.26B,237.05B,234.46B,207.01B,164.77B,247.92B,246.34B,261.38B,258.58B,233.37B,49.6,17.29,15.36,17.21,15.91,14.64,49.75,17.15,15.62,17.36,17.45,,1.23,8.24,7.52,15.35,15.44,,1.03,1.57,1.48,1.51,1.48,1.34,1,1.46,1.43,1.52,1.52,1.35,1.18,7.17,7.08,7.2,7.56,5.79,4.63,30.23,28.62,24.97,31.24,22.57,1.06,-37.99%,-7.21%,127.34,51.6,90.66,110.84,12.01M,25.51M,1.89B,1.88B,0.05%,68.53%,21.63M,1.51,1.14%,1.15%,21.17M,5.16,6.76%,4.76,6.23%,4.08,309.09%,"Mar 09, 2020","Feb 13, 2020",2:01,"Sep 12, 2004","Dec 30, 2019","Dec 30, 2019",2.09%,7.49%,2.67%,1.89%,139.86B,74.32,-14.30%,59.75B,29.02B,2.92B,1.54,,5.75B,3.06,30.86B,21.25,1.07,76.62,27.31B,12.5B,12.5B,3062.921125,5.20278128,51.41170864,4.278746634,50.78690041,4.281008049,1704.74971,42.01603106
6,DIS,The Walt Disney Company,Communication Services,Movies & Entertainment,"Burbank, California",30/6/1976,'0001001039,,190.22B,257.59B,232.10B,251.31B,199.59B,164.47B,231.46B,299.15B,283.61B,298.16B,215.80B,181.20B,18.88,23.07,17.31,15.65,15.19,13.12,22.78,27.1,21.41,21.46,15.95,14.88,3.82,3.34,3.19,3.19,1.8,1.22,2.45,3.46,3.19,3.52,2.81,2.78,2.12,2.9,2.57,2.77,3.93,3.35,3.08,14.34,14.85,14.73,14.46,11.84,11.98,69.7,95.59,78.59,26.12,41.89,1.04,-14.32%,-11.36%,153.41,79.07,116.34,133.71,17.41M,31.85M,1.81B,1.8B,0.20%,66.52%,28.87M,1.38,1.60%,1.60%,19.37M,1.76,1.67%,1.76,1.67%,1.42,31.54%,"Jan 15, 2020","Dec 12, 2019",10000:9865,"Jun 12, 2007","Sep 27, 2019","Dec 27, 2019",13.81%,15.11%,4.72%,12.93%,75.12B,43.31,36.30%,27.55B,16.08B,9.79B,5.94,-24.40%,6.83B,3.79,51.93B,50.03,0.8,50.4,6.12B,8.59B,8.59B,1206.60882,4.718047448,17.94787503,4.28057272,28.92962418,4.285154674,965.5661716,22.91864994
7,GS,Goldman Sachs Group,Financials,Investment Banking & Brokerage,"New York, New York",22/7/2002,'0000886982,,57.01B,79.86B,74.09B,74.85B,70.41B,61.43B,,,,,,,7.88,10.27,8.69,8.51,7.6,11.84,7.52,9.53,8.13,8.73,7.73,,1.64,,10.17,10.92,0.33,,1.87,2.78,2.48,2.46,2.24,1.98,0.72,1.01,0.93,0.93,0.89,0.81,,,,,,,,,,,,,1.36,-19.52%,-11.36%,250.46,130.85,194.38,215.4,4.22M,6.91M,343.87M,341.76M,1.36%,76.98%,6.76M,1.45,1.98%,1.97%,5.04M,5,3.02%,4.15,2.50%,1.43,19.73%,"Mar 29, 2020","Feb 27, 2020",,,"Dec 30, 2019","Dec 30, 2019",23.86%,33.32%,0.88%,9.22%,35.48B,95.48,22.40%,31.06B,,7.87B,21.03,-24.50%,644.03B,"1,787.14",453.57B,493.13,1.7,218.38,23.87B,,,1623.592161,4.727872355,32.55811015,4.322073481,49.26630227,4.32550545,1223.124859,24.26220292
8,HD,Home Depot,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",31/3/1988,'0000354950,,209.80B,248.82B,256.90B,235.12B,224.63B,207.30B,245.04B,281.68B,288.83B,267.44B,252.05B,231.32B,19.04,22.67,23.36,21.54,20.94,20.04,18.52,21.93,21.41,21.05,20.08,17.73,1.63,1.99,3.2,3.05,2.95,1.54,1.94,2.27,2.38,2.2,2.15,2.01,,,,,,157.05,2.22,10.93,10.61,8.67,9.55,8.73,13.46,70.16,63.3,48.85,60.6,58.85,0.93,-2.60%,-11.36%,247.36,140.63,214.66,224.26,6.42M,12.06M,1.09B,1.07B,0.11%,72.51%,9.86M,1.48,0.90%,0.90%,9.5M,6,3.07%,5.58,2.86%,2.05,53.07%,"Mar 25, 2020","Mar 10, 2020",3:02,"Dec 30, 1999","Feb 01, 2020","Feb 01, 2020",10.20%,14.37%,20.79%,,110.22B,100.85,-2.70%,37.57B,18.14B,11.24B,10.25,5.80%,2.13B,1.99,37.38B,,1.08,-2.89,13.72B,8.51B,8.51B,1681.577166,4.7324639,26.02867813,4.18679437,35.44927261,4.193988095,1262.297795,27.5918406
9,IBM,International Business Machines,Information Technology,IT Consulting & Other Services,"Armonk, New York",,'0000051143,1911,100.29B,118.91B,128.79B,122.27B,125.56B,101.45B,159.58B,179.58B,160.82B,159.14B,159.38B,133.87B,10.68,15.57,15.04,14.55,14.84,18.16,8.44,9.92,10.76,9.88,10.12,,3.65,22.56,1.58,1.71,2.07,,1.31,1.56,1.68,1.59,1.62,1.3,4.81,6.61,7.3,7.41,7.45,5.13,2.07,8.25,8.92,8.31,8.77,6.15,9.08,29.95,44.39,36.09,45.03,23.33,1.31,-24.61%,-11.36%,158.75,90.56,127.82,135.43,6.73M,8.46M,888.41M,885.82M,0.11%,58.87%,19.13M,2.65,2.16%,2.15%,18.93M,6.48,5.74%,6.43,5.70%,3.9,60.83%,"Mar 09, 2020","Feb 06, 2020",2:01,"May 26, 1999","Dec 30, 2019","Dec 30, 2019",12.23%,13.98%,4.89%,49.77%,77.15B,86.95,0.10%,36.49B,16.84B,9.43B,10.57,88.10%,8.87B,10,68.16B,324.79,1.02,23.49,14.77B,16.83B,16.83B,845.4533591,4.536296056,10.65080606,4.203475427,24.25792118,4.208510431,805.3770768,38.39148001
