ticker,date,returns,t-5,t-20
UNH,20/4/2017,0.013530126,0.007072724,0.012510781
V,20/4/2017,0.015599073,0.009667052,0.005044886
VZ,20/4/2017,-0.010829845,0.003867964,0.005513147
WBA,20/4/2017,0.00754407,-0.003013349,0.006236017
WMT,20/4/2017,0.009855713,-0.012624647,0.009320303
XOM,20/4/2017,0.00646052,0.013530126,0.01854349
AAPL,21/4/2017,-0.0011934,0.015599073,0.010188924
AXP,21/4/2017,-0.005373774,-0.010829845,0.003772559
BA,21/4/2017,0.006023458,0.00754407,0.007518873
CAT,21/4/2017,-0.003591848,0.009855713,0.004119706
CSCO,21/4/2017,-0.000304738,0.00646052,0.012905668
CVX,21/4/2017,9.55E-05,-0.0011934,-0.003238296
DIS,21/4/2017,-0.003049114,-0.005373774,0.004749855
GS,21/4/2017,-0.005503076,0.006023458,0.007006481
HD,21/4/2017,0.008606458,-0.003591848,-0.001436777
IBM,21/4/2017,-0.011829752,-0.000304738,0.007072724
INTC,21/4/2017,0.003869529,9.55E-05,0.009667052
JNJ,21/4/2017,-0.000902685,-0.003049114,0.003867964
JPM,21/4/2017,-0.012039811,-0.005503076,-0.003013349
KO,21/4/2017,-0.000464298,0.008606458,-0.012624647
MCD,21/4/2017,0.001050513,-0.011829752,0.013530126
MMM,21/4/2017,0.001778672,0.003869529,0.015599073
MRK,21/4/2017,-0.010551478,-0.000902685,-0.010829845
MSFT,21/4/2017,0.013740463,-0.012039811,0.00754407
NKE,21/4/2017,-0.009751935,-0.000464298,0.009855713
PFE,21/4/2017,-0.00296377,0.001050513,0.00646052
PG,21/4/2017,-0.007947971,0.001778672,-0.0011934
TRV,21/4/2017,0.001850808,-0.010551478,-0.005373774
UNH,21/4/2017,-0.002214985,0.013740463,0.006023458
V,21/4/2017,0,-0.009751935,-0.003591848
WBA,21/4/2017,-0.001307519,-0.00296377,-0.000304738
WMT,21/4/2017,0.001871461,-0.007947971,9.55E-05
XOM,21/4/2017,-0.003950454,0.001850808,-0.003049114
AAPL,22/4/2017,0,-0.002214985,-0.005503076
AXP,22/4/2017,0,0,0.008606458
BA,22/4/2017,0,-0.001307519,-0.011829752
CAT,22/4/2017,0,0.001871461,0.003869529
CSCO,22/4/2017,0,-0.003950454,-0.000902685
CVX,22/4/2017,0,0,-0.012039811
DIS,22/4/2017,0,0,-0.000464298
GS,22/4/2017,0,0,0.001050513
HD,22/4/2017,0,0,0.001778672
IBM,22/4/2017,0,0,-0.010551478
INTC,22/4/2017,0,0,0.013740463
JNJ,22/4/2017,0,0,-0.009751935
JPM,22/4/2017,0,0,-0.00296377
KO,22/4/2017,0,0,-0.007947971
MCD,22/4/2017,0,0,0.001850808
MMM,22/4/2017,0,0,-0.002214985
MRK,22/4/2017,0,0,0
MSFT,22/4/2017,0,0,-0.001307519
NKE,22/4/2017,0,0,0.001871461
PFE,22/4/2017,0,0,-0.003950454
PG,22/4/2017,0,0,0
TRV,22/4/2017,0,0,0
UNH,22/4/2017,0,0,0
V,22/4/2017,0,0,0
VZ,22/4/2017,0,0,0
WBA,22/4/2017,0,0,0
WMT,22/4/2017,0,0,0
XOM,22/4/2017,0,0,0
AAPL,23/4/2017,0,0,0
AXP,23/4/2017,0,0,0
BA,23/4/2017,0,0,0
CAT,23/4/2017,0,0,0
CSCO,23/4/2017,0,0,0
CVX,23/4/2017,0,0,0
DIS,23/4/2017,0,0,0
GS,23/4/2017,0,0,0
HD,23/4/2017,0,0,0
IBM,23/4/2017,0,0,0
INTC,23/4/2017,0,0,0
JNJ,23/4/2017,0,0,0
JPM,23/4/2017,0,0,0
KO,23/4/2017,0,0,0
MCD,23/4/2017,0,0,0
MMM,23/4/2017,0,0,0
MRK,23/4/2017,0,0,0
MSFT,23/4/2017,0,0,0
NKE,23/4/2017,0,0,0
PFE,23/4/2017,0,0,0
PG,23/4/2017,0,0,0
TRV,23/4/2017,0,0,0
UNH,23/4/2017,0,0,0
V,23/4/2017,0,0,0
VZ,23/4/2017,0,0,0
WBA,23/4/2017,0,0,0
WMT,23/4/2017,0,0,0
XOM,23/4/2017,0,0,0
AAPL,24/4/2017,0.009629622,0,0
AXP,24/4/2017,0.010805314,0,0
BA,24/4/2017,0.009313672,0,0
CSCO,24/4/2017,0.014015827,0,0
CVX,24/4/2017,0.009915042,0,0
DIS,24/4/2017,-0.00646622,0.009629622,0
HD,24/4/2017,0.012600284,0.010805314,0
IBM,24/4/2017,0.002307144,0.009313672,0
INTC,24/4/2017,0.011838959,0.014015827,0
JNJ,24/4/2017,0.009280577,0.009915042,0
KO,24/4/2017,0.004875831,-0.00646622,0
MCD,24/4/2017,0.006146328,0.012600284,0
MMM,24/4/2017,0.014255819,0.002307144,0
MRK,24/4/2017,0.004039463,0.011838959,0
MSFT,24/4/2017,0.01701791,0.009280577,0
NKE,24/4/2017,-0.006803689,0.004875831,0
PFE,24/4/2017,0.00297258,0.006146328,0
PG,24/4/2017,0.010494229,0.014255819,0
TRV,24/4/2017,0.012342488,0.004039463,0
UNH,24/4/2017,0.006835436,0.01701791,0
V,24/4/2017,0.007679569,-0.006803689,0.009629622
VZ,24/4/2017,-0.004233066,0.00297258,0.010805314
WBA,24/4/2017,0.002975186,0.010494229,0.009313672
WMT,24/4/2017,-0.002134848,0.012342488,0.014015827
XOM,24/4/2017,0.00520537,0.006835436,0.009915042
AAPL,25/4/2017,0.006196149,0.007679569,-0.00646622
AXP,25/4/2017,0.002237462,-0.004233066,0.012600284
BA,25/4/2017,0.007964346,0.002975186,0.002307144
CSCO,25/4/2017,0.00420669,-0.002134848,0.011838959
CVX,25/4/2017,0.007552244,0.00520537,0.009280577
DIS,25/4/2017,0.013016748,0.006196149,0.004875831
GS,25/4/2017,0.015276453,0.002237462,0.006146328
HD,25/4/2017,0.007505287,0.007964346,0.014255819
IBM,25/4/2017,-0.002239616,0.00420669,0.004039463
INTC,25/4/2017,0.003265265,0.007552244,0.01701791
JNJ,25/4/2017,0.004394115,0.013016748,-0.006803689
JPM,25/4/2017,0.008685811,0.015276453,0.00297258
KO,25/4/2017,-0.003927847,0.007505287,0.010494229
MMM,25/4/2017,0.0046336,-0.002239616,0.012342488
MRK,25/4/2017,0.002574673,0.003265265,0.006835436
MSFT,25/4/2017,0.005775509,0.004394115,0.007679569
NKE,25/4/2017,-0.000360688,0.008685811,-0.004233066
PFE,25/4/2017,0.000592626,-0.003927847,0.002975186
PG,25/4/2017,0.005025115,0.0046336,-0.002134848
TRV,25/4/2017,0.006220462,0.002574673,0.00520537
UNH,25/4/2017,0.009922806,0.005775509,0.006196149
V,25/4/2017,0.002830685,-0.000360688,0.002237462
VZ,25/4/2017,-0.0074388,0.000592626,0.007964346
WMT,25/4/2017,0.003610469,0.005025115,0.00420669
XOM,25/4/2017,0.007643749,0.006220462,0.007552244
AAPL,26/4/2017,-0.005881378,0.009922806,0.013016748
AXP,26/4/2017,-0.00136428,0.002830685,0.015276453
BA,26/4/2017,-0.009808725,-0.0074388,0.007505287
CAT,26/4/2017,0.002298491,0.003610469,-0.002239616
CSCO,26/4/2017,-0.000598403,0.007643749,0.003265265
CVX,26/4/2017,-0.006090269,-0.005881378,0.004394115
DIS,26/4/2017,0.003472764,-0.00136428,0.008685811
GS,26/4/2017,-0.00189753,-0.009808725,-0.003927847
HD,26/4/2017,0.007776396,0.002298491,0.0046336
IBM,26/4/2017,-0.002057571,-0.000598403,0.002574673
INTC,26/4/2017,0.001627319,-0.006090269,0.005775509
JNJ,26/4/2017,0.000648219,0.003472764,-0.000360688
JPM,26/4/2017,0.001926094,-0.00189753,0.000592626
KO,26/4/2017,0.003015561,0.007776396,0.005025115
MCD,26/4/2017,-0.006069332,-0.002057571,0.006220462
MMM,26/4/2017,-0.000666139,0.001627319,0.009922806
MRK,26/4/2017,0.006420621,0.000648219,0.002830685
MSFT,26/4/2017,-0.001325284,0.001926094,-0.0074388
NKE,26/4/2017,-0.005229941,0.003015561,0.003610469
PFE,26/4/2017,0.002665909,-0.006069332,0.007643749
TRV,26/4/2017,0.005687455,-0.000666139,-0.005881378
UNH,26/4/2017,0.00195381,0.006420621,-0.00136428
V,26/4/2017,-0.003148286,-0.001325284,-0.009808725
VZ,26/4/2017,0.014132872,-0.005229941,0.002298491
WBA,26/4/2017,0,0.002665909,-0.000598403
WMT,26/4/2017,0.005063241,0.005687455,-0.006090269
XOM,26/4/2017,-0.004037665,0.00195381,0.003472764
AAPL,27/4/2017,0.000765444,-0.003148286,-0.00189753
AXP,27/4/2017,-0.002359684,0.014132872,0.007776396
BA,27/4/2017,0.00830988,0,-0.002057571
CAT,27/4/2017,-0.018918297,0.005063241,0.001627319
CSCO,27/4/2017,0.01047891,-0.004037665,0.000648219
CVX,27/4/2017,-0.005750344,0.000765444,0.001926094
DIS,27/4/2017,0.002249492,-0.002359684,0.003015561
GS,27/4/2017,-0.001724116,0.00830988,-0.006069332
HD,27/4/2017,0.012320073,-0.018918297,-0.000666139
IBM,27/4/2017,0.001624412,0.01047891,0.006420621
INTC,27/4/2017,0.013539667,-0.005750344,-0.001325284
JNJ,27/4/2017,0.001862163,0.002249492,-0.005229941
JPM,27/4/2017,-0.00927295,-0.001724116,0.002665909
KO,27/4/2017,-0.005319154,0.012320073,0.005687455
MCD,27/4/2017,0.000212973,0.001624412,0.00195381
MMM,27/4/2017,0.005692111,0.013539667,-0.003148286
MRK,27/4/2017,-0.001914024,0.001862163,0.014132872
MSFT,27/4/2017,0.006486724,-0.00927295,0
NKE,27/4/2017,0.005620152,-0.005319154,0.005063241
PFE,27/4/2017,0.000295636,0.000212973,-0.004037665
PG,27/4/2017,-0.000569558,0.005692111,0.000765444
TRV,27/4/2017,0.001229423,-0.001914024,-0.002359684
UNH,27/4/2017,0.001433554,0.006486724,0.00830988
V,27/4/2017,-0.002396003,0.005620152,-0.018918297
VZ,27/4/2017,-0.014569255,0.000295636,0.01047891
WBA,27/4/2017,-0.000349357,-0.000569558,-0.005750344
WMT,27/4/2017,0.000132521,0.001229423,0.002249492
XOM,27/4/2017,-0.001719989,0.001433554,-0.001724116
AAPL,28/4/2017,-0.000973528,-0.002396003,0.012320073
AXP,28/4/2017,-0.013444625,-0.014569255,0.001624412
BA,28/4/2017,0.00878733,-0.000349357,0.013539667
CAT,28/4/2017,-0.004090581,0.000132521,0.001862163
CSCO,28/4/2017,0.009481631,-0.001719989,-0.00927295
CVX,28/4/2017,0.011661937,-0.000973528,-0.005319154
DIS,28/4/2017,-0.002071814,-0.013444625,0.000212973
GS,28/4/2017,-0.008901104,0.00878733,0.005692111
HD,28/4/2017,-0.000128218,-0.004090581,-0.001914024
IBM,28/4/2017,-0.000187154,0.009481631,0.006486724
JNJ,28/4/2017,-0.002181966,0.011661937,0.005620152
JPM,28/4/2017,-0.006962768,-0.002071814,0.000295636
KO,28/4/2017,0.003254958,-0.008901104,-0.000569558
MCD,28/4/2017,-0.006672784,-0.000128218,0.001229423
MMM,28/4/2017,-0.001427702,-0.000187154,0.001433554
MRK,28/4/2017,-0.003994725,-0.002181966,-0.002396003
MSFT,28/4/2017,0.002783217,-0.006962768,-0.014569255
NKE,28/4/2017,-0.001081779,0.003254958,-0.000349357
PFE,28/4/2017,0.001771896,-0.006672784,0.000132521
PG,28/4/2017,-0.004105533,-0.001427702,-0.001719989
TRV,28/4/2017,-0.004092977,-0.003994725,-0.000973528
UNH,28/4/2017,0.001431502,0.002783217,-0.013444625
V,28/4/2017,-0.004148538,-0.001081779,0.00878733
VZ,28/4/2017,-0.016284604,0.001771896,-0.004090581
WBA,28/4/2017,0.00756795,-0.004105533,0.009481631
WMT,28/4/2017,-0.00344638,-0.004092977,0.011661937
XOM,28/4/2017,0.004799505,0.001431502,-0.002071814
AAPL,29/4/2017,0,-0.004148538,-0.008901104
AXP,29/4/2017,0,-0.016284604,-0.000128218
BA,29/4/2017,0,0.00756795,-0.000187154
CAT,29/4/2017,0,-0.00344638,-0.002181966
CSCO,29/4/2017,0,0.004799505,-0.006962768
CVX,29/4/2017,0,0,0.003254958
DIS,29/4/2017,0,0,-0.006672784
GS,29/4/2017,0,0,-0.001427702
HD,29/4/2017,0,0,-0.003994725
IBM,29/4/2017,0,0,0.002783217
INTC,29/4/2017,0,0,-0.001081779
JNJ,29/4/2017,0,0,0.001771896
JPM,29/4/2017,0,0,-0.004105533
KO,29/4/2017,0,0,-0.004092977
MCD,29/4/2017,0,0,0.001431502
MMM,29/4/2017,0,0,-0.004148538
MRK,29/4/2017,0,0,-0.016284604
MSFT,29/4/2017,0,0,0.00756795
NKE,29/4/2017,0,0,-0.00344638
PFE,29/4/2017,0,0,0.004799505
PG,29/4/2017,0,0,0
TRV,29/4/2017,0,0,0
UNH,29/4/2017,0,0,0
V,29/4/2017,0,0,0
VZ,29/4/2017,0,0,0
WBA,29/4/2017,0,0,0
WMT,29/4/2017,0,0,0
XOM,29/4/2017,0,0,0
AAPL,30/4/2017,0,0,0
AXP,30/4/2017,0,0,0
BA,30/4/2017,0,0,0
CAT,30/4/2017,0,0,0
CSCO,30/4/2017,0,0,0
CVX,30/4/2017,0,0,0
DIS,30/4/2017,0,0,0
GS,30/4/2017,0,0,0
HD,30/4/2017,0,0,0
IBM,30/4/2017,0,0,0
INTC,30/4/2017,0,0,0
JNJ,30/4/2017,0,0,0
JPM,30/4/2017,0,0,0
KO,30/4/2017,0,0,0
MCD,30/4/2017,0,0,0
MMM,30/4/2017,0,0,0
MRK,30/4/2017,0,0,0
MSFT,30/4/2017,0,0,0
NKE,30/4/2017,0,0,0
PFE,30/4/2017,0,0,0
PG,30/4/2017,0,0,0
TRV,30/4/2017,0,0,0
UNH,30/4/2017,0,0,0
V,30/4/2017,0,0,0
VZ,30/4/2017,0,0,0
WBA,30/4/2017,0,0,0
WMT,30/4/2017,0,0,0
XOM,30/4/2017,0,0,0
AXP,1/5/2017,-0.000252114,0,0
BA,1/5/2017,-0.013201253,0,0
CAT,1/5/2017,-0.0025425,0,0
CSCO,1/5/2017,-0.002935237,0,0
CVX,1/5/2017,-0.007309977,0,0
DIS,1/5/2017,-0.007525885,-0.000252114,0
GS,1/5/2017,0.004691557,-0.013201253,0
HD,1/5/2017,-0.012107579,-0.0025425,0
IBM,1/5/2017,-0.009046131,-0.002935237,0
INTC,1/5/2017,0.004426022,-0.007309977,0
JNJ,1/5/2017,-0.001052839,-0.007525885,0
JPM,1/5/2017,0.000689828,0.004691557,0
KO,1/5/2017,0.001622199,-0.012107579,0
MCD,1/5/2017,0.008718519,-0.009046131,0
MMM,1/5/2017,-0.005208598,0.004426022,0
MRK,1/5/2017,0.000802149,-0.001052839,0
MSFT,1/5/2017,0.01387664,0.000689828,0
NKE,1/5/2017,-0.007579944,0.001622199,0
PFE,1/5/2017,-0.004127323,0.008718519,0
PG,1/5/2017,-0.002748242,-0.005208598,0
TRV,1/5/2017,-0.00394543,0.000802149,-0.000252114
UNH,1/5/2017,-0.001658351,0.01387664,-0.013201253
V,1/5/2017,0.000438557,-0.007579944,-0.0025425
VZ,1/5/2017,-0.000653436,-0.004127323,-0.002935237
WBA,1/5/2017,-0.000924404,-0.002748242,-0.007309977
WMT,1/5/2017,0.000665242,-0.00394543,-0.007525885
XOM,1/5/2017,0.005021276,-0.001658351,0.004691557
AAPL,2/5/2017,0.006344509,0.000438557,-0.012107579
AXP,2/5/2017,0.00391278,-0.000653436,-0.009046131
BA,2/5/2017,0.005756794,-0.000924404,0.004426022
CAT,2/5/2017,-0.004803783,0.000665242,-0.001052839
CSCO,2/5/2017,0.007948101,0.005021276,0.000689828
CVX,2/5/2017,-0.005287208,0.006344509,0.001622199
DIS,2/5/2017,-0.003137858,0.00391278,0.008718519
GS,2/5/2017,0.001200785,0.005756794,-0.005208598
HD,2/5/2017,0.004798691,-0.004803783,0.000802149
IBM,2/5/2017,0.001636889,0.007948101,0.01387664
INTC,2/5/2017,0.01817669,-0.005287208,-0.007579944
JNJ,2/5/2017,0.002918678,-0.003137858,-0.004127323
JPM,2/5/2017,-0.006432532,0.001200785,-0.002748242
KO,2/5/2017,0.003933495,0.004798691,-0.00394543
MCD,2/5/2017,0.000566914,0.001636889,-0.001658351
MMM,2/5/2017,0.008829241,0.01817669,0.000438557
MRK,2/5/2017,0.005129869,0.002918678,-0.000653436
MSFT,2/5/2017,-0.001584853,-0.006432532,-0.000924404
NKE,2/5/2017,0.001454772,0.003933495,0.000665242
PFE,2/5/2017,-0.005032665,0.000566914,0.005021276
PG,2/5/2017,-0.009989639,0.008829241,0.006344509
TRV,2/5/2017,-0.006766783,0.005129869,0.00391278
UNH,2/5/2017,-0.002577295,-0.001584853,0.005756794
V,2/5/2017,0.014025787,0.001454772,-0.004803783
VZ,2/5/2017,0.000653863,-0.005032665,0.007948101
WBA,2/5/2017,-0.007517865,-0.009989639,-0.005287208
WMT,2/5/2017,0.003854618,-0.006766783,-0.003137858
XOM,2/5/2017,-0.000121737,-0.002577295,0.001200785
AAPL,3/5/2017,-0.003050444,0.014025787,0.004798691
AXP,3/5/2017,-0.008926338,0.000653863,0.001636889
BA,3/5/2017,-0.000272462,-0.007517865,0.01817669
CAT,3/5/2017,0.000295436,0.003854618,0.002918678
CSCO,3/5/2017,0.000292311,-0.000121737,-0.006432532
CVX,3/5/2017,0.012908169,-0.003050444,0.003933495
GS,3/5/2017,0.005286026,-0.008926338,0.000566914
HD,3/5/2017,0.000322755,-0.000272462,0.008829241
IBM,3/5/2017,-0.002954003,0.000295436,0.005129869
INTC,3/5/2017,0.007711735,0.000292311,-0.001584853
JNJ,3/5/2017,-0.002991159,0.012908169,0.001454772
JPM,3/5/2017,0.005780362,0.005286026,-0.005032665
KO,3/5/2017,-0.001613323,0.000322755,-0.009989639
MCD,3/5/2017,0.00984213,-0.002954003,-0.006766783
MMM,3/5/2017,0.005596992,0.007711735,-0.002577295
MRK,3/5/2017,0.014832574,-0.002991159,0.014025787
MSFT,3/5/2017,-0.00317439,0.005780362,0.000653863
NKE,3/5/2017,-0.009805731,-0.001613323,-0.007517865
PFE,3/5/2017,-0.004165263,0.00984213,0.003854618
PG,3/5/2017,0.00243567,0.005596992,-0.000121737
TRV,3/5/2017,0.003738694,0.014832574,-0.003050444
UNH,3/5/2017,-0.009188127,-0.00317439,-0.008926338
V,3/5/2017,-0.001080542,-0.009805731,-0.000272462
VZ,3/5/2017,0.005227772,-0.004165263,0.000295436
WBA,3/5/2017,-0.000232947,0.00243567,0.000292311
WMT,3/5/2017,0.003178004,0.003738694,0.012908169
XOM,3/5/2017,0.007922084,-0.009188127,0.005286026
AAPL,4/5/2017,-0.003604144,-0.001080542,0.000322755
AXP,4/5/2017,-0.006342906,0.005227772,-0.002954003
BA,4/5/2017,-0.001744928,-0.000232947,0.007711735
CSCO,4/5/2017,-0.002043928,0.003178004,-0.002991159
CVX,4/5/2017,-0.017897299,0.007922084,0.005780362
DIS,4/5/2017,-0.004031625,-0.003604144,-0.001613323
GS,4/5/2017,0.001237272,-0.006342906,0.00984213
HD,4/5/2017,-0.000903273,-0.001744928,0.005596992
IBM,4/5/2017,0.00264762,-0.002043928,0.014832574
INTC,4/5/2017,-0.003515295,-0.017897299,-0.00317439
JNJ,4/5/2017,0.005027183,-0.004031625,-0.009805731
JPM,4/5/2017,0.001149428,0.001237272,-0.004165263
KO,4/5/2017,0.007848538,-0.000903273,0.00243567
MCD,4/5/2017,0.005819636,0.00264762,0.003738694
MMM,4/5/2017,0.009512787,-0.003515295,-0.009188127
MRK,4/5/2017,-0.003929067,0.005027183,-0.001080542
MSFT,4/5/2017,-0.003908856,0.001149428,0.005227772
NKE,4/5/2017,-0.00110021,0.007848538,-0.000232947
PFE,4/5/2017,-0.0005976,0.005819636,0.003178004
PG,4/5/2017,0.000231469,0.009512787,0.007922084
TRV,4/5/2017,0,-0.003929067,-0.003604144
UNH,4/5/2017,0.008577609,-0.003908856,-0.006342906
V,4/5/2017,0.001947165,-0.00110021,-0.001744928
VZ,4/5/2017,-0.005850622,-0.0005976,-0.002043928
WBA,4/5/2017,0.003030457,0.000231469,-0.017897299
WMT,4/5/2017,0.007655737,0,-0.004031625
XOM,4/5/2017,-0.012817556,0.008577609,0.001237272
AAPL,5/5/2017,0.01658348,0.001947165,-0.000903273
AXP,5/5/2017,-0.000127741,-0.005850622,0.00264762
BA,5/5/2017,0.010597056,0.003030457,-0.003515295
CAT,5/5/2017,0.00251495,0.007655737,0.005027183
CSCO,5/5/2017,0.006143916,-0.012817556,0.001149428
CVX,5/5/2017,0.009350298,0.01658348,0.007848538
